Name,Discounted Price,Original Price,Images,Ingredients,Directions,Warnings,Details
"Sparkling Ice® Slush, Fruit Punch",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b154cb89-b72d-47c3-abf7-485bbe43bf49.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_629f4c90-275f-4023-a1ef-df194e47253c.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_547cbe7f-c27b-4d31-b76e-a7f3116ab02e.png 4x","Filtered Water, High Fructose Corn Syrup, Sugar, Glycerin, Citric Acid, Natural And Artificial Flavors, Malic Acid, Gum Acacia, Xanthan Gum, Sodium Benzoate (preservative), Potassium Sorbate (preservative), Sucralose, Red 40, Blue 1",{},"Warning: Cap is small part and poses a choking hazard particularly for children., Do not microwave. Consume in one sitting.",
"Sparkling Ice® Slush, Lemonade",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_848e807f-7dc2-4e45-ab71-84fd6ba3e5a7.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_601ce5e3-cc53-42b1-bd1e-a7aa2dc859e7.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c1f0f58a-999a-42f5-81ea-f010d8ef448f.png 4x","Filtered Water, High Fructose Corn Syrup, Sugar, Glycerin, Natural Flavors, Citric Acid, Malic Acid, Gum Acacia, Xanthan Gum, Sodium Benzoate (preservative), Potassium Sorbate (preservative), Sucralose, Yellow 5",{},Do not microwave. Consume in one sitting. Warning: Cap is a small part and poses a chocking hazard particularly for children.,Used with permission from The ICEE Company. Coldest drink in town. Freeze. Squeeze. Enjoy!
"ICEE Slushy, Strawberry Flavored",,, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_605eaad3-6a8b-43da-98b3-04dfbfb242e2.png 4x,"Water, High Fructose Corn Syrup, Sugar, Monopropylene Glycol, Glycerin, Citric Acid, Malic Acid, Artificial Flavors, Gum Acacia, Xanthan Gum, Sodium Benzoate & Potassium Sorbate (preservatives), Red 40, Sucralose",Freeze pouch. Squeeze pouch. Drink pouch. Do not microwave.,,The pooch is in a pouch! Contains no fruit juice. www.Slushpuppiepouches.com. Product of USA.
"Slush Puppie Slush, Blue Raspberry",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ffdb1a33-c2fc-4c71-aa0b-f238f4ebf24a.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7d638aa8-6761-4c4f-af55-1c9dd15909f9.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_768dadf2-94ff-4d87-ba29-429c6ad6f8b5.png 4x","Filtered Water, High Fructose Corn Syrup, Sugar, Glycerin, Citric Acid, Malic Acid, Artificial Flavors, Gum Acacia, Xanthan Gum, Sodium Benzoate (Preservative), Potassium Sorbate (Preservative), Sucralose, Blue 1, Red 40.",{},"Warning: Cap is a choking hazard particularly for children., Do not microwave. Consume in one sitting.",Freeze. Squeeze. Enjoy! 10 points.
"ICEE Slush, Orange Flavored",,, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5ee2f6a9-0b71-4c01-ba9c-0a5a27b264f8.png 4x,"Filtered Water, High Fructose Corn Syrup, Sugar, Glycerin, Citric Acid, Natural And Artificial Flavors, Malic Acid, Gum Acacia, Xanthan Gum, Sodium Benzoate (preservative), Potassium Sorbate (preservative), Sucralose, Yellow 6, Red 40.",Freeze pouch. Squeeze pouch. Drink pouch. Do not microwave.,,Coldest drink in town. Contains no fruit juice. www.ICEEpouches.com. Product of USA.
Dee Best Slush Dipper,,, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_87e23ccd-61d5-43c1-b1b0-bc94b961b4cd.jpg 4x,,,,
"OWYN Protein Shake, Non-Dairy, Cookies & Creamless",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b4d9a488-4e08-4062-ac36-982ab27950db.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_90e9fb84-5362-49e5-ae3c-5f72199b144d.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a8f8f73b-0c0b-484d-a30b-8cc60df12d7d.png 4x","Water, Owyn Protein Blend (Pea Protein, Organic Pumpkin Seed Protein, Flaxseed Oil), Soluble Fiber, Organic Cane Sugar, Sunflower Oil, Natural Flavors, Cocoa Powder, Sunflower Lecithin, Guar Gum, Monk Fruit Extract, Himalayan Pink Sea Salt, Greens Blend (Broccoli, Kale, Spinach).",{},,"Only what you need. What's inside matters. Nothing but the truth. This is a snack. Free from the top 8 allergens. Tested for top 8 allergens. Owyn's products are independently tested for detection of the top 8 allergens every lot, every time."
