Name,Price,Images,Details
New Amsterdam 80 PR Vodka,$13.99,"https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f0d13640-afd2-40d9-8ab1-488f5d01bf05.png, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0f8b53b7-1854-4489-ba8b-c0aa9fbf4151.png, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_927ddd1c-9d4b-4f10-ad04-4035b89f39f4.png, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_856dd7dc-2c01-4c51-8bf9-7d18ff3470eb.png","New Amsterdam Vodka is five times distilled and three times filtered for a clean, crisp taste. This classic, award-winning vodka uses the finest grains, going through a unique distillation process to deliver unmatched smoothness in every sip. Ideal for a night out on the town, or a night in with your friends, New Amsterdam is perfect mixed into your favorite cocktails, and pairs well with home court wins, all your favorite people in one room, and unforgettable nights. Because here at New Amsterdam Vodka, we know that everyday wins feel like absolute triumphs when they happen with your crew."
Jack Daniel's Old No. 7 Tennessee Whiskey,$23.99,"https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a1023c1f-9dd7-4d9d-b414-054048bce05f.png, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9590869a-2556-4ea4-8731-0bf95d7659f4.jpg, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9e3c929f-2aaa-4876-a43c-b4410aafeffd.jpg, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_cd88fd74-0ce6-4e70-8a99-b4c883c21c05.jpg","Jack Daniel's Old No. 7 Tennessee Whiskey is one of the world's best-selling whiskeys with a smooth character and flavor, true to Mr. Jack Daniel's original recipe. This American whiskey is made from the finest corn, rye and barley malt mixed with the iron-free water that flows from the Cave Spring right on grounds of the distillery. From there, Jack Daniel's Tennessee Whiskey is charcoal mellowed, drop by drop, through 10 feet of sugar maple charcoal, which imparts the distinct smoothness of this best-in-class whiskey. Finally, Jack Daniel's Tennessee Whiskey is matured in handcrafted, charred white oak barrels until the tasters decide it's ready. Jack Daniel's Old No. 7 is perfect with great music and in great company. Enjoy it neat, on the rocks, or in your favorite cocktails and alcohol drinks, like an Old Fashioned or Whiskey Sour cocktail. Please Drink Responsibly."
Baileys Original Irish Cream Liqueur,$27.99,"https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8d26ff33-f291-4894-b4c6-3fde5ccf45a5.jpg, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_58cb6607-ff52-44b1-8e34-f595c8f16f84.jpg, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8305241c-00bc-44ba-b873-91434a84c1e6.jpg, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8548339e-e9a2-43e4-90be-c6a82447b39c.jpg","Baileys Original, the world's number one Irish cream liqueur, blends fine Irish whiskey, dairy cream, sumptuous chocolate, and vanilla for a velvety-smooth texture. Enjoy it neat, over ice, or in coffee. It's the ultimate, indulgent treat."
Johnnie Walker Black Label Scotch,$35.99,"https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_06f968b4-305c-4328-bdb0-45db2cf4a768.jpg, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_64a7f435-a491-4a7b-a094-ec6c2a3a538e.jpg, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_82051881-cece-4cfd-badc-83f0f422702e.jpg, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_84b64644-c301-4c05-89d7-4ed52a139563.jpg","Indulge in the unmistakably big-tasting and vibrant Johnnie Walker Black Label Blended Scotch Whisky, full of flavor with the volume turned up. Each sip bursts with layers of smooth and delicious big flavors all proudly on show."
Espolon Blanco Tequila,$32.99,https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_858d16c1-bc60-4020-8342-50f343b65f21.jpg,"Inspired by and a tribute to Mexican culture, Espolòn Tequila is named for the spur of the iconic rooster, a historic symbol of strength nobility and national pride. Espolon was established in 1998 as a tequila for the people. Unaged, Espolon Blanco is the purest expression of Espolòn tequila."
Kahlúa Original Rum and Coffee Liqueur,$33.99,"https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0773be4a-2927-49e9-8a5e-f779147273f6.jpg, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d1294e49-b1d7-4948-90f1-4520735e2806.jpg, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_daace138-0ae5-4972-aec4-1ca6cf9869c7.jpg, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_92760b59-d5b9-4361-8847-bb06c07bde24.jpg","Kahlua Original is a versatile rum and coffee liqueur perfect for enjoying in your favorite cocktails during special times with friends and family. The delectable flavors of savory coffee, delicate vanilla and luscious caramel are carefully crafted. This liqueur features high-quality ingredients like the finest Arabica coffee and sugarcane from rural Veracruz, Mexico. A treat for any coffee drink lover, the easy-drinking, smooth liquor can be enjoyed over ice or in classic alcohol drinks and cocktails like a White Russian, Espresso Martini or Mudslide. Try Kahlua Original in dessert recipes or in your favorite cup of coffee or cold brew. Add a twist to your Kahlua-infused creations with mint leaves or whipped cream to satisfy any sweet tooth. Kahlua is committed to partnering with local farmers from the Mexican countryside, as an approach to supporting sustainable development. Enjoy Responsibly., RUM AND COFFEE LIQUEUR: A blend of rum and coffee liqueur perfect for coffee, cocktails and desserts, INCLUDES: One 750 mL bottle of Kahlua Original Rum and Coffee Liqueur; 40 proof or 20% alcohol by volume; Enjoy responsibly, DRINKS FOR ALL OCCASIONS: These delectable cocktail mixers can be served over ice or used to make classic coffee drinks like White Russians, Espresso Martinis and Mudslides, A DELICIOUS COMBINATION: Kahlua Original marries the rich flavors of luscious savory coffee, vanilla and caramel, BEST ENJOYED: This Kahlua liqueur is best when mixed with ingredients such as milk or cream and served over ice"
Bombay® Sapphire Dry Gin,$26.99,"https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1cc09615-9b52-4b8a-a624-8d529b586057.jpg, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_016cfcb6-fd6c-47b8-a2af-52868c9b3e97.png, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_19431c22-064f-42e4-99a9-9d0ddc347417.jpg, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_62609b3e-cadb-4f3d-a051-db798268e95a.jpg","Bombay Sapphire Gin is premium London dry gin known for its distinctive blue liquor bottle. Bombay Sapphire revolutionized the spirits category in the 1980s with its vapour-infusion process. Delicately balanced and incredibly versatile, Bombay gin boasts ten exotic botanicals from around the world. Bombay Sapphire gin is a reflection of the rigorous selection process and uncompromising approach to producing fresh, clean, bright flavors that are perfect for creating exceptional mixed drinks. Each sip features notes of juniper, citrus coriander, peppers and spices. They come together to give Bombay Sapphire gin a smooth and complex taste. Create sophisticated alcohol drinks, including a sparkling lemon spritz, gin martini, tom collins and Gin and Tonic. Pair this hard liquor with food like seafood, cheeses and fruits. Bombay Gin provides the perfect canvas for any cocktail mixer, including vodka cocktails. Enjoy Bombay Responsibly., • One 750 mL bottle of Bombay Sapphire Gin, • World famous gin known for its distinctive blue liquor bottle; great gift idea for cocktail enthusiasts, • Gin is ideal for cocktails; made with ten botanicals that create a balanced, bright, fresh flavor, • Bombay Sapphire uses a unique vapor infusion that draws distinctive flavors from botanicals, • Create sophisticated alcoholic drinks, including a sparkling lemon spritz, gin martini, tom collins and Gin and Tonic"
Ketel One Vodka,$26.99,"https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_dd37fe19-696a-41c5-a8d2-e44f18bc402c.jpg, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_43a25575-0644-41a7-8ee0-d189b1597cf3.jpg, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_650f1678-eed4-472b-b391-c3b7b30592ea.jpg, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_dc8287dd-93d9-41d3-bf01-f60024f9b4f4.jpg","Ketel One Vodka has an exceptionally smooth, crisp taste and is meticulously crafted using non-GMO grain. Perfect for any vodka soda. Great as a gift or for any celebration."
Crown Royal 80 PR Canadian Whiskey,$26.99,"https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f3e2b7f8-9cc8-4259-9c73-de35fe66ef22.jpg, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_99f733dd-d8c7-441d-8780-8956639c9d9f.jpg, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f9868a86-8e57-49d3-a7da-843050a6c084.jpg, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c2007d87-b9ef-468c-820f-a4228a6578e5.jpg",Crown Royal Fine De Luxe Blended Canadian Whisky has a silky texture and hints of oak and sweet vanilla for a refined flavor. Best enjoyed in a classic old-fashioned cocktail. It was awarded a Gold Medal in 2023 at the San Francisco World Spirits Competition.
Smirnoff No. 21 80 Proof Vodka,$12.99,"https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a75f652e-5efa-4944-9fc5-c11b56e94c9f.jpg, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_db915cca-8658-4e18-a7a8-2cf125353bfb.jpg, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f8ba47c6-14e9-4e1b-babd-459af61e7b4a.jpg, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6dae0821-3977-43a9-9192-99a824d2f90d.jpg","Holding the title of the World’s No.1 Vodka, Smirnoff No. 21 offers a distinct dry finish, with unparalleled smoothness and clarity. Each bottle carries Kosher certification, and this award-winning liquor is crafted without gluten. Enjoy neat or in cocktails."
