name,price,img,Description
"petnc NATURAL CARE, Hip & Joint, All Dog, Liver, 90 Soft Chews, 6.3 oz (180 g)","₨3,104.73","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cen/cen27591/r/31.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cen/cen27591/r/33.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cen/cen27591/r/31.jpg",
"California Gold Nutrition, LactoBif® Pet Probiotics, 5 Billion CFU, 60 Veggie Capsules",,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn01054/r/113.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn01054/r/112.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn01054/r/118.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn01054/r/93.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn01054/r/119.jpg",
"petnc NATURAL CARE, Pre & Probiotic Soft Chews, All Dog, Liver, 120 Soft Chews, 6.3 oz (180 g)","₨3,697.92","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cen/cen27974/r/24.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cen/cen27974/r/27.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cen/cen27974/r/24.jpg",
"Life Extension, Cat Mix, 3.52 oz (100 g)","₨5,828.61","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/lex/lex19321/r/115.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/lex/lex19321/r/121.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/lex/lex19321/r/115.jpg",
"California Gold Nutrition, Pet Smell Good Grooming Mist, For Cats & Dogs, Lavender, 8 fl oz (237 ml)",,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cfa/cfa01502/r/95.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cfa/cfa01502/r/96.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cfa/cfa01502/r/94.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cfa/cfa01502/r/77.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg",
"Charlie and Frank, Pet Omega-3 Fish Oil, For Cats & Dogs, 3.3 fl oz (100 ml)",,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cfa/cfa01396/r/61.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cfa/cfa01396/r/64.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cfa/cfa01396/r/61.jpg",
"Pet Naturals, Daily Probiotic, For Cats, All Sizes, 30 Chews, 1.27 oz (36 g)",,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/pen/pen97533/r/13.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/pen/pen97533/r/14.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/pen/pen97533/r/13.jpg",
"Earth Friendly Products, Ecos, Stain + Odor Remover, Lemon, 22 fl oz (650 ml)","₨2,801.54","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/efp/efp09707/r/8.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/efp/efp09707/r/9.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/efp/efp09707/r/8.jpg",
"petnc NATURAL CARE, Hip & Joint, Level 3, Liver, 45 Chewables","₨2,442.15","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cen/cen27480/r/52.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cen/cen27480/r/55.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cen/cen27480/r/52.jpg",
