Name,Discounted Price,Original Price,Images,Highlights,Gluten Free,Details,Directions,Warnings,Ingredients,Peanut Free,"Craving a drink with a kick? The On the Rocks Tres Generaciones Jalapeno Pineapple Margarita RTD Cocktail is the perfect combination of sweet and spicy. Made with Plata tequila, triple sec, pineapple, and jalapeño peppers, this premium cocktail will bring the bar to you. Crafted with natural ingredients and cane sugar, it's free of preservatives and ready to serve. Simply pour over ice for a refreshing drink that's perfect for any occasion—whether it's an unconventional setting or not. Get your hands on this bar-quality cocktail today through Instacart same-day delivery or pickup."
Christian Brothers VS Brandy,,$11.49," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_024df46d-b3c7-4ad1-9990-bd21ef4fc350.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_51290aea-7c7a-4015-bab5-733e78e1f4a2.jpg 4x",,,"Enjoy a drink that's endlessly smooth with Christian Brothers VS Brandy, a brandy liquor made from the finest grape varietals. The brandy alcohol Incorporates the same time-honored copper pot still production method perfected over 75 years ago, creating a rich flavor and full body that's enhanced by slow aging in hand-selected Bourbon barrels for a minimum of two years.",{},Must be over 21 to drink.,,,
"Fireball Cinnamon Whiskey, Cinnamon Whisky, Liquor, 66 Proof",,$14.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c4b85e75-5069-4511-869a-46e0ac5f0104.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_914e3a35-510c-4c81-82e9-2c3a61c265dc.jpg 4x",,,"Free Your Fire with the heavenly taste and ferocious burn of Fireball Cinnamon Whisky. Fireball is the perfectly blended Canadian whisky made with real cinnamon for a fiery kick of red hot cinnamon flavor. Fireball is America’s #1 shot brand and #1 whiskey brand, making this cinnamon whisky the iconic choice for celebrating with friends at home or your favorite bar. At 33% alcohol by volume, a Fireball shot is the perfect whiskey shot for pregaming before a chill night out. Fireball Canadian Whisky also tastes great when enjoyed straight or added to your favorite mixed drinks or a classic cocktail. The cinnamon flare of Fireball hard liquor also enhances your favorite hard seltzer, hard cider and other alcoholic drinks. With countless ways to enjoy Fireball Cinnamon Whisky, bending the rules is easy - and delicious. Store Fireball at room temperature or store and pour straight from your freezer to enjoy an icy, spicy shot. Fireball is one of a kind, not to be replaced by any other copycat cinnamon whiskey. Fireball tastes like heaven and burns like hell.,• One 750ml plastic bottle of Fireball Cinnamon Whisky, 66 Proof,• A one-of-a-kind flavored whiskey made with real cinnamon, Fireball delivers an iconic fiery kick of red hot cinnamon flavor to any alcoholic beverage,• At 33% alcohol by volume, Fireball whisky is delicious on the rocks and in a variety of alcoholic beverages, whiskey cocktails and mixed drinks,• Fireball Cinnamon Whisky is the #1 shot brand and #1 whiskey brand in the U.S.,• Celebrate any occasion with a shot of Fireball whisky, whether you crushed that big presentation at work or your favorite team just scored a touchdown",Best enjoyed however you enjoy it - perfect with a splash of this and a squeeze of that,"Government Warning: (1) According To The Surgeon General Women Should Not Drink Alcoholic Beverages During Pregnancy Because Of The Risk Of Birth Defects. (2) Consumption Of Alcoholic Beverages Impairs Your Ability To Drive A Car Or Operate Machinery, And May Cause Health Problems.",Grain,,
Don Julio Reposado Tequila,$70.09,$96.59, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1795f102-2c78-4c3a-b429-7927a9d430a1.jpg 4x,,,"Crafted from blue Weber agave and aged 8 months in American white-oak barrels. With a golden amber color and rich, smooth finish, it blends citrus, vanilla, stone fruits, and spice. Perfect neat, on the rocks, or in cocktails like Margaritas or Palomas.",Aged at least 6 months,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
Rancho La Gloria Strawberry Margarita,,, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3f093737-4c3b-4626-bfb9-1aaa0069b2c7.jpg 4x,,,"Crafted with fresh lime, ripe strawberry juice and agave wine, this refreshing margarita is a convenient cocktail for barbecues and beach days. Pour over ice or enjoy right out of the bottle for a perfectly tasty warm-weather libation.",Refrigerate after opening.,"Contains sulfites. Government Warning: (1) According to the surgeon general, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.","Made with 100% De Agave Wine and natural flavors,13.9% ABV",,
Elijah Craig 94PR Kentucky Straight Bourbon Whiskey,$38.39,$44.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_bc9a45c3-c770-49e0-bf31-7f3f310b1022.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a489e8c1-2e7c-41d6-b740-99c009a52076.jpg 4x",,,"Discover the Greatness Within with Elijah Craig Small Batch Kentucky Straight Bourbon Whiskey. It's distilled, aged and bottled in Kentucky. Each Small Batch of Bourbon is made from a mingling of 8 to 12-year-old barrels and is bottled at 94 proof. Ideal for easy summer cocktails like Whiskey, Tea and Lemonade or a Mint Julep. Elijah Craig Small Batch Bourbon has a 47% alcohol by volume.",{},Must be over 21 to drink.,,,
Don Julio Anejo Tequila,$80.69,$103.19, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a2aabcda-dbe1-463f-addd-ed86d10a388e.jpg 4x,,,"Crafted from blue Weber agave and aged 18 months in American white-oak, Don Julio Anejo Tequila offers a smooth, rich flavor with caramel and vanilla notes. Enjoy neat, on the rocks, or in cocktails. A perfect tequila gift showcasing Mexican craftsmanship.","This premium, aged tequila is a true expression of luxury, perfect for sipping neat, on the rocks, or in an unforgettable cocktail","GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
Cutwater Ginger Beer & Lime Flavor Vodka Mule 4 Pack 12 fl oz Cans,$15.89,$22.49," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0198c7c2-bdfd-41f0-bfdc-f235bb862bc0.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3559ec0e-cc42-47da-a2d2-f905a9ddfb93.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_765b250a-b53d-404a-971a-134de713f4e4.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_040b57f7-8593-4eb3-8d2f-688f69fb2438.jpg 4x",Gluten Free,,"Get ready to elevate your canned cocktail experience with Cutwater Vodka Mule. This bar-quality canned cocktail is made with real award-winning vodka and it's the perfect choice for any occasion. At 7% Alc / Vol , you can enjoy the sweet, spicy flavor of the vodka and ginger beer with just the right amount of flavor. As you take your first sip, you'll be hit by a blend of flavors that tantalize the taste buds. Whether it's a summer day at the beach or an evening full of friends and laughter, this ready to drink vodka mule cocktail is perfect. But what really sets Cutwater Vodka Mule apart from others is that it’s gluten-free! Cutwater Vodka Mule will always be there to provide a refreshingly smooth bar-quality cocktail experience that won't disappoint - grab a Cutwater Vodka Mule and let yourself enjoy!",Chill or drink on ice.,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",Made with 1+ shots real vodka.,,
Jack Daniel's Tennessee Fire,,$20.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2d63e5f3-5474-46b1-997c-7b2feca056fe.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_dfea3853-b994-4b27-9383-8efda86cfc59.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_dfaca8e1-f0b0-410e-8b3b-150b703f55f4.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f235306a-b9fa-4226-bf46-821eb1456a40.jpg 4x",,,"Jack Daniel's Tennessee Fire is a blend of Jack Daniel’s Tennessee Whiskey and cinnamon liqueur, creating a taste that’s one-of-a-kind and unmistakably Jack. The blend of Jack Daniel's Tennessee Whiskey mixed with a unique cinnamon liqueur delivers a surprisingly smooth finish with a cinnamon spice flavor. Try Jack Daniel's Tennessee Fire in cocktails and mixed drinks, drink it as a chilled shot, or pair this alcohol liquor with a cool pint of hard cider for a balance of flavors. This whiskey is perfect for sharing with friends or enjoying during a relaxing night at home. With hints of cinnamon and the bold character of Jack, Jack Daniel’s Tennessee Fire offers a taste that's unexpected. Please Drink Responsibly.",Jack Daniel’s Tennessee Fire is best enjoyed as a chilled shot.,Please drink responsibly,,,
Crown Royal Vanilla Flavored Whisky,$31.79,$40.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1a4b04b4-9020-46fb-83bd-755428cbb14d.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9ac7b891-e3f7-4109-982c-cb997343b7b6.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9104c3f7-ccf0-46c2-999d-41f99d4be2d1.jpg 4x",,,"Crown Royal Vanilla Flavored Whisky is infused with strong notes of rich, vanilla bean with delicate hints of oak for a refined flavor. It is perfect for a Vanilla Lager cocktail.","Infused with strong notes of rich, vanilla bean with delicate hints of oak for a refined flavor","GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",Bourbon Vanilla.,,
"Bacardí® Gold Rum, Gluten Free",$27.79,$35.69," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6ac26ebf-6fbd-4b8f-a871-31b9eb9eb0d5.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f3fcb712-59e6-4aef-9091-dfb7a7af6d5c.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_301ef46a-7ee7-4a0a-82d2-8897774dcbab.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7ef6ceb3-f35a-4e4e-a07c-8bc058717791.png 4x",Gluten Free,,"BACARDI Gold Rum is the perfect aged rum that you can casually sip or mix into any number of cocktails. This light-bodied rum is filtered through a secret blend of charcoal, mellowed for one to two years in toasted American white oak barrels, and blended to create a light golden rum with a soft oak flavor. This gluten free BACARDI Rum imparts notes of vanilla, ginger root and toasted with a dry and slightly sweet finish. When you are out with your friends enjoying the moment, use this rum liquor to bring depth and character to classic rum cocktails like the Cuba Libre, Ginger Snap or Rum and Cola. BACARDI is the oldest and largest family-owned rum company in the world. Please Drink Responsibly.,• One 1.75 L bottle of BACARDI Gold Rum,• Light rum is filtered through a secret blend of charcoal and mellowed for one to two years in toasted American white oak barrels,• Golden rum offers a rich, toasted and soft oak flavor that's easy to mix and simple to enjoy,• Aged rum that delivers aromatic notes of dry vanilla, ginger root, and toasted almond with a slightly sweet finish,• Mix this gluten free drink mixer into a number of alcohol drinks like a Cuba Libre cocktail, Ginger Snap or Rum and Cola","Fill a tall glass with plenty of cubed ice. Squeeze in two lime wedges. Add 1 part of Bacardi Gold, 2 parts of your favorite cola and stir.","WARNING: Drinking distilled spirits, beer, coolers, wine and other alcoholic beverages may increase cancer risk, and, during pregnancy, can cause birth defects. For more information go to www.P65Warnings.ca.gov/alcohol.",Superior Gold Rum.,,
