Product Name,Discount Price,Actual Price,Color,SKU,Image URLs,US Size,CA Size,UK Size,AU Size,EU Size,BR Size,FR Size,RU Size,Style,Type,Material,Neckline,Sleeve Style,Length,Pattern Type,Decoration,Fit Type,Occasion,Package Include,Fabric Elasticity,Sheer,Care Instructions,Sleeve Type,Waist Line,With Belt
3 Piece Lounge Set Crewneck Sleeveless Tank Top Long Sleeve Open Front Coat Pants Sweatsuit,$16.29,$21.72,Khaki,SKU: ODS4317-bwss2-kh,"""https://image.geeko.ltd/small/43ffc03b-2d01-4440-8042-c385e0195046-53634-pc"", ""https://image.geeko.ltd/small/43ffc03b-2d01-4440-8042-c385e0195046-53634-pc"", ""https://image.geeko.ltd/small/43ffc03b-2d01-4440-8042-c385e0195046-53634-pc-sec"", ""https://image.geeko.ltd/small/43ffc03b-2d01-4440-8042-c385e0195046-53634-pc-0"", ""https://image.geeko.ltd/small/43ffc03b-2d01-4440-8042-c385e0195046-53634-pc-1"", ""https://image.geeko.ltd/small/43ffc03b-2d01-4440-8042-c385e0195046-53634-pc-2"", ""https://image.geeko.ltd/small/43ffc03b-2d01-4440-8042-c385e0195046-53634-pc-3"", ""https://image.geeko.ltd/small/43ffc03b-2d01-4440-8042-c385e0195046-53634-pc-4""","L(8-10), M(6), S(4), XL(12), XXL(14)","L, M, S, XL, XXL","L(12-14), M(10), S(8), XL(16), XXL(18)","L(12-14), M(10), S(8), XL(16), XXL(18)","L(40-42), M(38), S(36), XL(44), XXL(46)","G(L), M(M), P(S), GG(XL), EG(XXL)","L(40-42), M(38), S(36), XL(44), XXL(46)","L, M, S, XL, XXL", Casual, Suit Set," 5%Elastane,95%Polyester", Round Neck, Sleeveless, Long, Plain, Drawstring, Regular, Daily," 3PCS, 1*Pants Set, 1*Cardigan", Slight Stretch, No," Machine wash, do not dry clean",,,
Plus Size Contrast Binding Ruffles Top & Straight Leg Pants Set,$14.59,$19.45,,SKU: LPU3501D-bwcr-or,"""https://image.geeko.ltd/small/32fa5bfa-9e12-4d8a-9802-e9b964623dea-93415-pc"", ""https://image.geeko.ltd/small/32fa5bfa-9e12-4d8a-9802-e9b964623dea-93415-pc-sec"", ""https://image.geeko.ltd/small/32fa5bfa-9e12-4d8a-9802-e9b964623dea-93415-pc-0""","0XL(12), 1XL(14), 2XL(16), 3XL(18), 4XL(20)","0XL, 1XL, 2XL, 3XL, 4XL","0XL(16), 1XL(18), 2XL(20), 3XL(22), 4XL(24)","0XL(16), 1XL(18), 2XL(20), 3XL(22), 4XL(24)","0XL(44), 1XL(46), 2XL(48), 3XL(50), 4XL(52)","G(0XL), G1(1XL), G2(2XL), G3(3XL), G4(4XL)","44(0XL), 46(1XL), 48(2XL), 50(3XL), 52(4XL)","0XL, 1XL, 2XL, 3XL, 4XL", Elegant, Pants Sets," 97%Polyester,3%Spandex", V-Neck, Short Sleeve, Long, Contrast Paneled," Ruffles,Contrast Binding", Regular," Daily,Work", 1*Pants Set, Non-Stretch, No, Machine wash or professional dry clean,, High Waist,
Camouflage Print Zip Up Top & Drawstring Pants Set,$16.15,$21.53,,SKU: JLY700A2-bwss-cf,"""https://image.geeko.ltd/small/46e9be72-bb67-4e9c-ab54-d7fcc957aa52-33692-pc"", ""https://image.geeko.ltd/small/46e9be72-bb67-4e9c-ab54-d7fcc957aa52-33692-pc"", ""https://image.geeko.ltd/small/46e9be72-bb67-4e9c-ab54-d7fcc957aa52-33692-pc-sec"", ""https://image.geeko.ltd/small/46e9be72-bb67-4e9c-ab54-d7fcc957aa52-33692-pc-0"", ""https://image.geeko.ltd/small/46e9be72-bb67-4e9c-ab54-d7fcc957aa52-33692-pc-1"", ""https://image.geeko.ltd/small/46e9be72-bb67-4e9c-ab54-d7fcc957aa52-33692-pc-2"", ""https://image.geeko.ltd/small/46e9be72-bb67-4e9c-ab54-d7fcc957aa52-33692-pc-3"", ""https://image.geeko.ltd/small/46e9be72-bb67-4e9c-ab54-d7fcc957aa52-33692-pc-4"", ""https://image.geeko.ltd/small/46e9be72-bb67-4e9c-ab54-d7fcc957aa52-33692-pc-5""","L(8-10), M(6), S(4), XL(12)","L, M, S, XL","L(12-14), M(10), S(8), XL(16)","L(12-14), M(10), S(8), XL(16)","L(40-42), M(38), S(36), XL(44)","G(L), M(M), P(S), GG(XL)","L(40-42), M(38), S(36), XL(44)","L, M, S, XL", Casual, Pants Sets," 95%Polyester,5%Elastane", Turn-down Collar, Short Sleeve, Long, Camouflage," Drawstring,Pocket,Zipper", Regular, Daily, 1*Pants Set, Medium Stretch, No, Machine wash or professional dry clean,,,
3PCS Plants Print Shirt & Shorts Set With Crop Top,$14.75,$19.67,Red,SKU: LZR12842F-bwvg2-r,"""https://image.geeko.ltd/small/0c695a3e-0595-40c0-9c0a-8b11bf32386c-10138-pc"", ""https://image.geeko.ltd/small/0c695a3e-0595-40c0-9c0a-8b11bf32386c-10138-pc-sec"", ""https://image.geeko.ltd/small/0c695a3e-0595-40c0-9c0a-8b11bf32386c-10138-pc-0"", ""https://image.geeko.ltd/small/0c695a3e-0595-40c0-9c0a-8b11bf32386c-10138-pc-1"", ""https://image.geeko.ltd/small/0c695a3e-0595-40c0-9c0a-8b11bf32386c-10138-pc-2"", ""https://image.geeko.ltd/small/0c695a3e-0595-40c0-9c0a-8b11bf32386c-10138-pc-3"", ""https://image.geeko.ltd/small/0c695a3e-0595-40c0-9c0a-8b11bf32386c-10138-pc-4""","L(8-10), M(6), S(4), XL(12)","L, M, S, XL","L(12-14), M(10), S(8), XL(16)","L(12-14), M(10), S(8), XL(16)","L(40-42), M(38), S(36), XL(44)","G(L), M(M), P(S), GG(XL)","L(40-42), M(38), S(36), XL(44)","L, M, S, XL"," Casual,Chic"," Shorts Set,Suit Set"," 97%Polyester,3%Elastane"," Halter,Turn-down Collar"," Lantern Sleeve,Long Sleeve,Spaghetti Strap", Above Knee," Floral,Plain,Plants"," Frill Hem,Lantern Sleeve,Pocket,Shirred", Regular," Daily,Vacation", 3PCS Shorts Set (With Top), Slight Stretch, No, Machine wash or professional dry clean,,,
3PCS Plants Print Shirt & Shorts Set With Crop Top,$14.75,$19.67,Multicolor,SKU: LZR12842J-bwvg2-mu,"""https://image.geeko.ltd/small/33a2a950-3e0d-408b-b08c-9f35524cbc94-02227-pc"", ""https://image.geeko.ltd/small/33a2a950-3e0d-408b-b08c-9f35524cbc94-02227-pc-sec"", ""https://image.geeko.ltd/small/33a2a950-3e0d-408b-b08c-9f35524cbc94-02227-pc-0"", ""https://image.geeko.ltd/small/33a2a950-3e0d-408b-b08c-9f35524cbc94-02227-pc-1"", ""https://image.geeko.ltd/small/33a2a950-3e0d-408b-b08c-9f35524cbc94-02227-pc-2"", ""https://image.geeko.ltd/small/33a2a950-3e0d-408b-b08c-9f35524cbc94-02227-pc-3""","L(8-10), M(6), S(4), XL(12)","L, M, S, XL","L(12-14), M(10), S(8), XL(16)","L(12-14), M(10), S(8), XL(16)","L(40-42), M(38), S(36), XL(44)","G(L), M(M), P(S), GG(XL)","L(40-42), M(38), S(36), XL(44)","L, M, S, XL"," Casual,Chic"," Shorts Set,Suit Set"," 97%Polyester,3%Elastane"," Halter,Turn-down Collar"," Lantern Sleeve,Long Sleeve,Spaghetti Strap", Above Knee," Floral,Plain,Plants"," Frill Hem,Lantern Sleeve,Pocket,Shirred", Regular," Daily,Vacation", 3PCS Shorts Set (With Top), Slight Stretch, No, Machine wash or professional dry clean,,,
3PCS Plants Print Shirt & Shorts Set With Crop Top,$14.75,$19.67,Yellow,SKU: LZR12842A-bwvg2-y,"""https://image.geeko.ltd/small/5799953e-76e4-4317-925c-1a270e914502-36434-pc"", ""https://image.geeko.ltd/small/5799953e-76e4-4317-925c-1a270e914502-36434-pc-sec"", ""https://image.geeko.ltd/small/5799953e-76e4-4317-925c-1a270e914502-36434-pc-0"", ""https://image.geeko.ltd/small/5799953e-76e4-4317-925c-1a270e914502-36434-pc-1"", ""https://image.geeko.ltd/small/5799953e-76e4-4317-925c-1a270e914502-36434-pc-2"", ""https://image.geeko.ltd/small/5799953e-76e4-4317-925c-1a270e914502-36434-pc-3""","L(8-10), M(6), S(4), XL(12)","L, M, S, XL","L(12-14), M(10), S(8), XL(16)","L(12-14), M(10), S(8), XL(16)","L(40-42), M(38), S(36), XL(44)","G(L), M(M), P(S), GG(XL)","L(40-42), M(38), S(36), XL(44)","L, M, S, XL"," Casual,Chic"," Shorts Set,Suit Set"," 97%Polyester,3%Elastane"," Halter,Turn-down Collar"," Lantern Sleeve,Long Sleeve,Spaghetti Strap", Above Knee," Floral,Plain,Plants"," Frill Hem,Lantern Sleeve,Pocket,Shirred", Regular," Daily,Vacation", 3PCS Shorts Set (With Top), Slight Stretch, No, Machine wash or professional dry clean,,,
Plain Crop Top & High Waist Pants Set,$14.77,$19.69,,SKU: ODL1497-bwss2-gr,"""https://image.geeko.ltd/small/1816572d-64ad-4a3b-9536-09e69ca59ffa-79176-pc"", ""https://image.geeko.ltd/small/1816572d-64ad-4a3b-9536-09e69ca59ffa-79176-pc"", ""https://image.geeko.ltd/small/1816572d-64ad-4a3b-9536-09e69ca59ffa-79176-pc-sec"", ""https://image.geeko.ltd/small/1816572d-64ad-4a3b-9536-09e69ca59ffa-79176-pc-0"", ""https://image.geeko.ltd/small/1816572d-64ad-4a3b-9536-09e69ca59ffa-79176-pc-1"", ""https://image.geeko.ltd/small/1816572d-64ad-4a3b-9536-09e69ca59ffa-79176-pc-2"", ""https://image.geeko.ltd/small/1816572d-64ad-4a3b-9536-09e69ca59ffa-79176-pc-3""","L(8-10), M(6), S(4), XL(12)","L, M, S, XL","L(12-14), M(10), S(8), XL(16)","L(12-14), M(10), S(8), XL(16)","L(40-42), M(38), S(36), XL(44)","G(L), M(M), P(S), GG(XL)","L(40-42), M(38), S(36), XL(44)","L, M, S, XL", Casual, Pants Sets," 95%Polyester,5%Elastane", Square Neck, Sleeveless, Long, Plain, Zipper, Regular, Daily, 1*Pants Set (Without Belt), Slight Stretch, No, Machine wash or professional dry clean,,, No
3PCS Tropical Print Lantern Sleeve Shirt & Shorts Set With Crop Top,$15.37,$20.49,Red,SKU: LZR12842F-bwvg2-r,"""https://image.geeko.ltd/small/0c695a3e-0595-40c0-9c0a-8b11bf32386c-10138-pc"", ""https://image.geeko.ltd/small/0c695a3e-0595-40c0-9c0a-8b11bf32386c-10138-pc-sec"", ""https://image.geeko.ltd/small/0c695a3e-0595-40c0-9c0a-8b11bf32386c-10138-pc-0"", ""https://image.geeko.ltd/small/0c695a3e-0595-40c0-9c0a-8b11bf32386c-10138-pc-1"", ""https://image.geeko.ltd/small/0c695a3e-0595-40c0-9c0a-8b11bf32386c-10138-pc-2"", ""https://image.geeko.ltd/small/0c695a3e-0595-40c0-9c0a-8b11bf32386c-10138-pc-3"", ""https://image.geeko.ltd/small/0c695a3e-0595-40c0-9c0a-8b11bf32386c-10138-pc-4""","L(8-10), M(6), S(4), XL(12)","L, M, S, XL","L(12-14), M(10), S(8), XL(16)","L(12-14), M(10), S(8), XL(16)","L(40-42), M(38), S(36), XL(44)","G(L), M(M), P(S), GG(XL)","L(40-42), M(38), S(36), XL(44)","L, M, S, XL"," Casual,Chic"," Shorts Set,Suit Set"," 97%Polyester,3%Elastane"," Halter,Turn-down Collar"," Lantern Sleeve,Long Sleeve,Spaghetti Strap", Above Knee, Tropical," Frill Hem,Lantern Sleeve,Pocket,Shirred", Regular," Daily,Vacation", 3PCS Shorts Set (With Top), Slight Stretch, No, Machine wash or professional dry clean,,,
3PCS Tropical Print Lantern Sleeve Shirt & Shorts Set With Crop Top,$15.37,$20.49,Multicolor,SKU: LZR12842J-bwvg2-mu,"""https://image.geeko.ltd/small/33a2a950-3e0d-408b-b08c-9f35524cbc94-02227-pc"", ""https://image.geeko.ltd/small/33a2a950-3e0d-408b-b08c-9f35524cbc94-02227-pc-sec"", ""https://image.geeko.ltd/small/33a2a950-3e0d-408b-b08c-9f35524cbc94-02227-pc-0"", ""https://image.geeko.ltd/small/33a2a950-3e0d-408b-b08c-9f35524cbc94-02227-pc-1"", ""https://image.geeko.ltd/small/33a2a950-3e0d-408b-b08c-9f35524cbc94-02227-pc-2"", ""https://image.geeko.ltd/small/33a2a950-3e0d-408b-b08c-9f35524cbc94-02227-pc-3""","L(8-10), M(6), S(4), XL(12)","L, M, S, XL","L(12-14), M(10), S(8), XL(16)","L(12-14), M(10), S(8), XL(16)","L(40-42), M(38), S(36), XL(44)","G(L), M(M), P(S), GG(XL)","L(40-42), M(38), S(36), XL(44)","L, M, S, XL"," Casual,Chic"," Shorts Set,Suit Set"," 97%Polyester,3%Elastane"," Halter,Turn-down Collar"," Lantern Sleeve,Long Sleeve,Spaghetti Strap", Above Knee, Tropical," Frill Hem,Lantern Sleeve,Pocket,Shirred", Regular," Daily,Vacation", 3PCS Shorts Set (With Top), Slight Stretch, No, Machine wash or professional dry clean,,,
3PCS Tropical Print Lantern Sleeve Shirt & Shorts Set With Crop Top,$15.37,$20.49,Yellow,SKU: LZR12842A-bwvg2-y,"""https://image.geeko.ltd/small/5799953e-76e4-4317-925c-1a270e914502-36434-pc"", ""https://image.geeko.ltd/small/5799953e-76e4-4317-925c-1a270e914502-36434-pc-sec"", ""https://image.geeko.ltd/small/5799953e-76e4-4317-925c-1a270e914502-36434-pc-0"", ""https://image.geeko.ltd/small/5799953e-76e4-4317-925c-1a270e914502-36434-pc-1"", ""https://image.geeko.ltd/small/5799953e-76e4-4317-925c-1a270e914502-36434-pc-2"", ""https://image.geeko.ltd/small/5799953e-76e4-4317-925c-1a270e914502-36434-pc-3""","L(8-10), M(6), S(4), XL(12)","L, M, S, XL","L(12-14), M(10), S(8), XL(16)","L(12-14), M(10), S(8), XL(16)","L(40-42), M(38), S(36), XL(44)","G(L), M(M), P(S), GG(XL)","L(40-42), M(38), S(36), XL(44)","L, M, S, XL"," Casual,Chic"," Shorts Set,Suit Set"," 97%Polyester,3%Elastane"," Halter,Turn-down Collar"," Lantern Sleeve,Long Sleeve,Spaghetti Strap", Above Knee, Tropical," Frill Hem,Lantern Sleeve,Pocket,Shirred", Regular," Daily,Vacation", 3PCS Shorts Set (With Top), Slight Stretch, No, Machine wash or professional dry clean,,,
