Product Name,Discount Price,Actual Price,Color,SKU,Image URLs,Style,Type,Material,Pattern Type,Occasion,Package Include
1pc Rhinestone Heart Pendant Necklace Wedding Jewelry,$4.87,$6.49,,SKU: XZ506-bwls2-si,"""https://image.geeko.ltd/small/9c3533e4-b5fe-48f3-bbe0-dd16378fa2cb-02646-pc"", ""https://image.geeko.ltd/small/9c3533e4-b5fe-48f3-bbe0-dd16378fa2cb-02646-pc"", ""https://image.geeko.ltd/small/9c3533e4-b5fe-48f3-bbe0-dd16378fa2cb-02646-pc-sec"", ""https://image.geeko.ltd/small/9c3533e4-b5fe-48f3-bbe0-dd16378fa2cb-02646-pc-0"", ""https://image.geeko.ltd/small/9c3533e4-b5fe-48f3-bbe0-dd16378fa2cb-02646-pc-1"", ""https://image.geeko.ltd/small/9c3533e4-b5fe-48f3-bbe0-dd16378fa2cb-02646-pc-2"", ""https://image.geeko.ltd/small/9c3533e4-b5fe-48f3-bbe0-dd16378fa2cb-02646-pc-3"", ""https://image.geeko.ltd/small/9c3533e4-b5fe-48f3-bbe0-dd16378fa2cb-02646-pc-4""", Chic, Pendant Necklaces, Copper, Heart," Evening,Party,Wedding Guest,Christmas", 1PC Necklace
Halloween Dark Goth Punk Rose Flower Heart Shaped Drop Earrings,$4.04,$5.39,,SKU: SYS91686-bwls2-bk,"""https://image.geeko.ltd/small/681439cf-2dc3-4a9f-80b0-fa5d71447868-58434-pc"", ""https://image.geeko.ltd/small/681439cf-2dc3-4a9f-80b0-fa5d71447868-58434-pc-sec"", ""https://image.geeko.ltd/small/681439cf-2dc3-4a9f-80b0-fa5d71447868-58434-pc-0""",, Drop Earring, Alloy, Halloween,, 1Pair Earrings
