Product Name,Discount Price,Actual Price,Color,SKU,Image URLs,US Size,CA Size,UK Size,AU Size,EU Size,BR Size,FR Size,RU Size,Style,Pattern Type,Material,Neckline,Sleeve Style,Length,Occasion,Package Include,Type,Decoration,Fit Type,Fabric Elasticity,Sheer,Care Instructions,Sleeve Type
O-Neck Knit Sleeveless Basic Slim Fit Tummy Control Tank Casual Top,,$7.76,Pink,SKU: MJ0433-bwdf2-pi,"""https://image.geeko.ltd/small/b51cfa57-cb55-425e-8ae0-db6573451735-75832-pc"", ""https://image.geeko.ltd/small/b51cfa57-cb55-425e-8ae0-db6573451735-75832-pc"", ""https://image.geeko.ltd/small/b51cfa57-cb55-425e-8ae0-db6573451735-75832-pc-sec"", ""https://image.geeko.ltd/small/b51cfa57-cb55-425e-8ae0-db6573451735-75832-pc-0"", ""https://image.geeko.ltd/small/b51cfa57-cb55-425e-8ae0-db6573451735-75832-pc-1"", ""https://image.geeko.ltd/small/b51cfa57-cb55-425e-8ae0-db6573451735-75832-pc-2"", ""https://image.geeko.ltd/small/b51cfa57-cb55-425e-8ae0-db6573451735-75832-pc-3""","L(8-10), M(6), S(4), XL(12), XXL(14)","L, M, S, XL, XXL","L(12-14), M(10), S(8), XL(16), XXL(18)","L(12-14), M(10), S(8), XL(16), XXL(18)","L(40-42), M(38), S(36), XL(44), XXL(46)","G(L), M(M), P(S), GG(XL), EG(XXL)","L(40-42), M(38), S(36), XL(44), XXL(46)","L, M, S, XL, XXL"," Basics,Casual", Plain," 94%Viscose,6%Elastane", O-neck, Sleeveless, Regular, Daily, 1* Top, Tank, Others, Skinny, Non-Stretch, Semi-Sheer," Machine wash, do not dry clean",
O-Neck Knit Sleeveless Basic Slim Fit Tummy Control Tank Casual Top,,$7.76,Rose Pink,SKU: MJ0433-bwdf2-rop,"""https://image.geeko.ltd/small/cfd5521c-d4a5-4196-9331-ace19875398a-99269-pc"", ""https://image.geeko.ltd/small/cfd5521c-d4a5-4196-9331-ace19875398a-99269-pc"", ""https://image.geeko.ltd/small/cfd5521c-d4a5-4196-9331-ace19875398a-99269-pc-sec"", ""https://image.geeko.ltd/small/cfd5521c-d4a5-4196-9331-ace19875398a-99269-pc-0"", ""https://image.geeko.ltd/small/cfd5521c-d4a5-4196-9331-ace19875398a-99269-pc-1"", ""https://image.geeko.ltd/small/cfd5521c-d4a5-4196-9331-ace19875398a-99269-pc-2"", ""https://image.geeko.ltd/small/cfd5521c-d4a5-4196-9331-ace19875398a-99269-pc-3"", ""https://image.geeko.ltd/small/cfd5521c-d4a5-4196-9331-ace19875398a-99269-pc-4""","L(8-10), M(6), S(4), XL(12), XXL(14)","L, M, S, XL, XXL","L(12-14), M(10), S(8), XL(16), XXL(18)","L(12-14), M(10), S(8), XL(16), XXL(18)","L(40-42), M(38), S(36), XL(44), XXL(46)","G(L), M(M), P(S), GG(XL), EG(XXL)","L(40-42), M(38), S(36), XL(44), XXL(46)","L, M, S, XL, XXL"," Basics,Casual", Plain," 94%Viscose,6%Elastane", O-neck, Sleeveless, Regular, Daily, 1* Top, Tank, Others, Skinny, Non-Stretch, Semi-Sheer," Machine wash, do not dry clean",
O-Neck Knit Sleeveless Basic Slim Fit Tummy Control Tank Casual Top,,$7.76,Coffee,SKU: MJ0433-bwdf2-co,"""https://image.geeko.ltd/small/50b89215-abf1-4142-9a98-21462870f6b2-42732-pc"", ""https://image.geeko.ltd/small/50b89215-abf1-4142-9a98-21462870f6b2-42732-pc"", ""https://image.geeko.ltd/small/50b89215-abf1-4142-9a98-21462870f6b2-42732-pc-sec"", ""https://image.geeko.ltd/small/50b89215-abf1-4142-9a98-21462870f6b2-42732-pc-0"", ""https://image.geeko.ltd/small/50b89215-abf1-4142-9a98-21462870f6b2-42732-pc-1"", ""https://image.geeko.ltd/small/50b89215-abf1-4142-9a98-21462870f6b2-42732-pc-2"", ""https://image.geeko.ltd/small/50b89215-abf1-4142-9a98-21462870f6b2-42732-pc-3"", ""https://image.geeko.ltd/small/50b89215-abf1-4142-9a98-21462870f6b2-42732-pc-4"", ""https://image.geeko.ltd/small/50b89215-abf1-4142-9a98-21462870f6b2-42732-pc-5"", ""https://image.geeko.ltd/small/50b89215-abf1-4142-9a98-21462870f6b2-42732-pc-6"", ""https://image.geeko.ltd/small/50b89215-abf1-4142-9a98-21462870f6b2-42732-pc-7"", ""https://image.geeko.ltd/small/50b89215-abf1-4142-9a98-21462870f6b2-42732-pc-8"", ""https://image.geeko.ltd/small/50b89215-abf1-4142-9a98-21462870f6b2-42732-pc-9""","L(8-10), M(6), S(4), XL(12), XXL(14)","L, M, S, XL, XXL","L(12-14), M(10), S(8), XL(16), XXL(18)","L(12-14), M(10), S(8), XL(16), XXL(18)","L(40-42), M(38), S(36), XL(44), XXL(46)","G(L), M(M), P(S), GG(XL), EG(XXL)","L(40-42), M(38), S(36), XL(44), XXL(46)","L, M, S, XL, XXL"," Basics,Casual", Plain," 94%Viscose,6%Elastane", O-neck, Sleeveless, Regular, Daily, 1* Top, Tank, Others, Skinny, Non-Stretch, Semi-Sheer," Machine wash, do not dry clean",
O-Neck Knit Sleeveless Basic Slim Fit Tummy Control Tank Casual Top,,$7.76,Khaki,SKU: MJ0433-bwdf2-kh,"""https://image.geeko.ltd/small/9143cda4-5d8f-4aee-9750-c50770142169-67209-pc"", ""https://image.geeko.ltd/small/9143cda4-5d8f-4aee-9750-c50770142169-67209-pc"", ""https://image.geeko.ltd/small/9143cda4-5d8f-4aee-9750-c50770142169-67209-pc-sec"", ""https://image.geeko.ltd/small/9143cda4-5d8f-4aee-9750-c50770142169-67209-pc-0"", ""https://image.geeko.ltd/small/9143cda4-5d8f-4aee-9750-c50770142169-67209-pc-1"", ""https://image.geeko.ltd/small/9143cda4-5d8f-4aee-9750-c50770142169-67209-pc-2"", ""https://image.geeko.ltd/small/9143cda4-5d8f-4aee-9750-c50770142169-67209-pc-3""","L(8-10), M(6), S(4), XL(12), XXL(14)","L, M, S, XL, XXL","L(12-14), M(10), S(8), XL(16), XXL(18)","L(12-14), M(10), S(8), XL(16), XXL(18)","L(40-42), M(38), S(36), XL(44), XXL(46)","G(L), M(M), P(S), GG(XL), EG(XXL)","L(40-42), M(38), S(36), XL(44), XXL(46)","L, M, S, XL, XXL"," Basics,Casual", Plain," 94%Viscose,6%Elastane", O-neck, Sleeveless, Regular, Daily, 1* Top, Tank, Others, Skinny, Non-Stretch, Semi-Sheer," Machine wash, do not dry clean",
O-Neck Knit Sleeveless Basic Slim Fit Tummy Control Tank Casual Top,,$7.76,Army Green,SKU: MJ0433-bwdf2-ag,"""https://image.geeko.ltd/small/9b83f1fe-3c65-47ea-b8b1-9acf4180487d-42889-pc"", ""https://image.geeko.ltd/small/9b83f1fe-3c65-47ea-b8b1-9acf4180487d-42889-pc"", ""https://image.geeko.ltd/small/9b83f1fe-3c65-47ea-b8b1-9acf4180487d-42889-pc-sec"", ""https://image.geeko.ltd/small/9b83f1fe-3c65-47ea-b8b1-9acf4180487d-42889-pc-0"", ""https://image.geeko.ltd/small/9b83f1fe-3c65-47ea-b8b1-9acf4180487d-42889-pc-1"", ""https://image.geeko.ltd/small/9b83f1fe-3c65-47ea-b8b1-9acf4180487d-42889-pc-2"", ""https://image.geeko.ltd/small/9b83f1fe-3c65-47ea-b8b1-9acf4180487d-42889-pc-3""","L(8-10), M(6), S(4), XL(12), XXL(14)","L, M, S, XL, XXL","L(12-14), M(10), S(8), XL(16), XXL(18)","L(12-14), M(10), S(8), XL(16), XXL(18)","L(40-42), M(38), S(36), XL(44), XXL(46)","G(L), M(M), P(S), GG(XL), EG(XXL)","L(40-42), M(38), S(36), XL(44), XXL(46)","L, M, S, XL, XXL"," Basics,Casual", Plain," 94%Viscose,6%Elastane", O-neck, Sleeveless, Regular, Daily, 1* Top, Tank, Others, Skinny, Non-Stretch, Semi-Sheer," Machine wash, do not dry clean",
O-Neck Knit Sleeveless Basic Slim Fit Tummy Control Tank Casual Top,,$7.76,White,SKU: MJ0433-bwdf2-w,"""https://image.geeko.ltd/small/bc982015-af27-48c5-98bb-20dd5b9956a6-45229-pc"", ""https://image.geeko.ltd/small/bc982015-af27-48c5-98bb-20dd5b9956a6-45229-pc"", ""https://image.geeko.ltd/small/bc982015-af27-48c5-98bb-20dd5b9956a6-45229-pc-sec"", ""https://image.geeko.ltd/small/bc982015-af27-48c5-98bb-20dd5b9956a6-45229-pc-0"", ""https://image.geeko.ltd/small/bc982015-af27-48c5-98bb-20dd5b9956a6-45229-pc-1"", ""https://image.geeko.ltd/small/bc982015-af27-48c5-98bb-20dd5b9956a6-45229-pc-2"", ""https://image.geeko.ltd/small/bc982015-af27-48c5-98bb-20dd5b9956a6-45229-pc-3""","L(8-10), M(6), S(4), XL(12), XXL(14)","L, M, S, XL, XXL","L(12-14), M(10), S(8), XL(16), XXL(18)","L(12-14), M(10), S(8), XL(16), XXL(18)","L(40-42), M(38), S(36), XL(44), XXL(46)","G(L), M(M), P(S), GG(XL), EG(XXL)","L(40-42), M(38), S(36), XL(44), XXL(46)","L, M, S, XL, XXL"," Basics,Casual", Plain," 94%Viscose,6%Elastane", O-neck, Sleeveless, Regular, Daily, 1* Top, Tank, Others, Skinny, Non-Stretch, Semi-Sheer," Machine wash, do not dry clean",
O-Neck Knit Sleeveless Basic Slim Fit Tummy Control Tank Casual Top,,$7.76,Red,SKU: MJ0433-bwdf2-r,"""https://image.geeko.ltd/small/55f6e4d8-2427-42f0-a19e-ec1bd5b70853-42675-pc"", ""https://image.geeko.ltd/small/55f6e4d8-2427-42f0-a19e-ec1bd5b70853-42675-pc"", ""https://image.geeko.ltd/small/55f6e4d8-2427-42f0-a19e-ec1bd5b70853-42675-pc-sec"", ""https://image.geeko.ltd/small/55f6e4d8-2427-42f0-a19e-ec1bd5b70853-42675-pc-0"", ""https://image.geeko.ltd/small/55f6e4d8-2427-42f0-a19e-ec1bd5b70853-42675-pc-1"", ""https://image.geeko.ltd/small/55f6e4d8-2427-42f0-a19e-ec1bd5b70853-42675-pc-2"", ""https://image.geeko.ltd/small/55f6e4d8-2427-42f0-a19e-ec1bd5b70853-42675-pc-3""","L(8-10), M(6), S(4), XL(12), XXL(14)","L, M, S, XL, XXL","L(12-14), M(10), S(8), XL(16), XXL(18)","L(12-14), M(10), S(8), XL(16), XXL(18)","L(40-42), M(38), S(36), XL(44), XXL(46)","G(L), M(M), P(S), GG(XL), EG(XXL)","L(40-42), M(38), S(36), XL(44), XXL(46)","L, M, S, XL, XXL"," Basics,Casual", Plain," 94%Viscose,6%Elastane", O-neck, Sleeveless, Regular, Daily, 1* Top, Tank, Others, Skinny, Non-Stretch, Semi-Sheer," Machine wash, do not dry clean",
O-Neck Knit Sleeveless Basic Slim Fit Tummy Control Tank Casual Top,,$7.76,Wine Red,SKU: MJ0433-bwdf2-wr,"""https://image.geeko.ltd/small/b8443ea6-387c-47f7-9f08-7c36a0246de8-42701-pc"", ""https://image.geeko.ltd/small/b8443ea6-387c-47f7-9f08-7c36a0246de8-42701-pc"", ""https://image.geeko.ltd/small/b8443ea6-387c-47f7-9f08-7c36a0246de8-42701-pc-sec"", ""https://image.geeko.ltd/small/b8443ea6-387c-47f7-9f08-7c36a0246de8-42701-pc-0"", ""https://image.geeko.ltd/small/b8443ea6-387c-47f7-9f08-7c36a0246de8-42701-pc-1"", ""https://image.geeko.ltd/small/b8443ea6-387c-47f7-9f08-7c36a0246de8-42701-pc-2"", ""https://image.geeko.ltd/small/b8443ea6-387c-47f7-9f08-7c36a0246de8-42701-pc-3""","L(8-10), M(6), S(4), XL(12), XXL(14)","L, M, S, XL, XXL","L(12-14), M(10), S(8), XL(16), XXL(18)","L(12-14), M(10), S(8), XL(16), XXL(18)","L(40-42), M(38), S(36), XL(44), XXL(46)","G(L), M(M), P(S), GG(XL), EG(XXL)","L(40-42), M(38), S(36), XL(44), XXL(46)","L, M, S, XL, XXL"," Basics,Casual", Plain," 94%Viscose,6%Elastane", O-neck, Sleeveless, Regular, Daily, 1* Top, Tank, Others, Skinny, Non-Stretch, Semi-Sheer," Machine wash, do not dry clean",
O-Neck Knit Sleeveless Basic Slim Fit Tummy Control Tank Casual Top,,$7.76,Yellow,SKU: MJ0433-bwdf2-y,"""https://image.geeko.ltd/small/0c39be33-d8e6-412a-8649-c40d1f6273ea-43883-pc"", ""https://image.geeko.ltd/small/0c39be33-d8e6-412a-8649-c40d1f6273ea-43883-pc"", ""https://image.geeko.ltd/small/0c39be33-d8e6-412a-8649-c40d1f6273ea-43883-pc-sec"", ""https://image.geeko.ltd/small/0c39be33-d8e6-412a-8649-c40d1f6273ea-43883-pc-0"", ""https://image.geeko.ltd/small/0c39be33-d8e6-412a-8649-c40d1f6273ea-43883-pc-1"", ""https://image.geeko.ltd/small/0c39be33-d8e6-412a-8649-c40d1f6273ea-43883-pc-2"", ""https://image.geeko.ltd/small/0c39be33-d8e6-412a-8649-c40d1f6273ea-43883-pc-3""","L(8-10), M(6), S(4), XL(12), XXL(14)","L, M, S, XL, XXL","L(12-14), M(10), S(8), XL(16), XXL(18)","L(12-14), M(10), S(8), XL(16), XXL(18)","L(40-42), M(38), S(36), XL(44), XXL(46)","G(L), M(M), P(S), GG(XL), EG(XXL)","L(40-42), M(38), S(36), XL(44), XXL(46)","L, M, S, XL, XXL"," Basics,Casual", Plain," 94%Viscose,6%Elastane", O-neck, Sleeveless, Regular, Daily, 1* Top, Tank, Others, Skinny, Non-Stretch, Semi-Sheer," Machine wash, do not dry clean",
O-Neck Knit Sleeveless Basic Slim Fit Tummy Control Tank Casual Top,,$7.76,Light Green,SKU: MJ0433-bwdf2-lgr,"""https://image.geeko.ltd/small/f5ee43fc-4d9b-4662-bf95-266e84b2164c-52271-pc"", ""https://image.geeko.ltd/small/f5ee43fc-4d9b-4662-bf95-266e84b2164c-52271-pc"", ""https://image.geeko.ltd/small/f5ee43fc-4d9b-4662-bf95-266e84b2164c-52271-pc-sec"", ""https://image.geeko.ltd/small/f5ee43fc-4d9b-4662-bf95-266e84b2164c-52271-pc-0"", ""https://image.geeko.ltd/small/f5ee43fc-4d9b-4662-bf95-266e84b2164c-52271-pc-1"", ""https://image.geeko.ltd/small/f5ee43fc-4d9b-4662-bf95-266e84b2164c-52271-pc-2"", ""https://image.geeko.ltd/small/f5ee43fc-4d9b-4662-bf95-266e84b2164c-52271-pc-3""","L(8-10), M(6), S(4), XL(12), XXL(14)","L, M, S, XL, XXL","L(12-14), M(10), S(8), XL(16), XXL(18)","L(12-14), M(10), S(8), XL(16), XXL(18)","L(40-42), M(38), S(36), XL(44), XXL(46)","G(L), M(M), P(S), GG(XL), EG(XXL)","L(40-42), M(38), S(36), XL(44), XXL(46)","L, M, S, XL, XXL"," Basics,Casual", Plain," 94%Viscose,6%Elastane", O-neck, Sleeveless, Regular, Daily, 1* Top, Tank, Others, Skinny, Non-Stretch, Semi-Sheer," Machine wash, do not dry clean",
O-Neck Knit Sleeveless Basic Slim Fit Tummy Control Tank Casual Top,,$7.76,Orange,SKU: MJ0433-bwdf2-or,"""https://image.geeko.ltd/small/e9756ff5-7f61-4f08-ad7d-1b88d5029595-33922-pc"", ""https://image.geeko.ltd/small/e9756ff5-7f61-4f08-ad7d-1b88d5029595-33922-pc"", ""https://image.geeko.ltd/small/e9756ff5-7f61-4f08-ad7d-1b88d5029595-33922-pc-sec"", ""https://image.geeko.ltd/small/e9756ff5-7f61-4f08-ad7d-1b88d5029595-33922-pc-0"", ""https://image.geeko.ltd/small/e9756ff5-7f61-4f08-ad7d-1b88d5029595-33922-pc-1"", ""https://image.geeko.ltd/small/e9756ff5-7f61-4f08-ad7d-1b88d5029595-33922-pc-2"", ""https://image.geeko.ltd/small/e9756ff5-7f61-4f08-ad7d-1b88d5029595-33922-pc-3"", ""https://image.geeko.ltd/small/e9756ff5-7f61-4f08-ad7d-1b88d5029595-33922-pc-4""","L(8-10), M(6), S(4), XL(12), XXL(14)","L, M, S, XL, XXL","L(12-14), M(10), S(8), XL(16), XXL(18)","L(12-14), M(10), S(8), XL(16), XXL(18)","L(40-42), M(38), S(36), XL(44), XXL(46)","G(L), M(M), P(S), GG(XL), EG(XXL)","L(40-42), M(38), S(36), XL(44), XXL(46)","L, M, S, XL, XXL"," Basics,Casual", Plain," 94%Viscose,6%Elastane", O-neck, Sleeveless, Regular, Daily, 1* Top, Tank, Others, Skinny, Non-Stretch, Semi-Sheer," Machine wash, do not dry clean",
Eyelet Embroidery Shirred Long Sleeve Top,$13.32,$17.76,,SKU: WMJY0005-bwbc-gr,"""https://image.geeko.ltd/small/30a8dcd6-7899-4245-992c-307a9e45e99a-03777-pc"", ""https://image.geeko.ltd/small/30a8dcd6-7899-4245-992c-307a9e45e99a-03777-pc"", ""https://image.geeko.ltd/small/30a8dcd6-7899-4245-992c-307a9e45e99a-03777-pc-sec"", ""https://image.geeko.ltd/small/30a8dcd6-7899-4245-992c-307a9e45e99a-03777-pc-0"", ""https://image.geeko.ltd/small/30a8dcd6-7899-4245-992c-307a9e45e99a-03777-pc-1"", ""https://image.geeko.ltd/small/30a8dcd6-7899-4245-992c-307a9e45e99a-03777-pc-2"", ""https://image.geeko.ltd/small/30a8dcd6-7899-4245-992c-307a9e45e99a-03777-pc-3"", ""https://image.geeko.ltd/small/30a8dcd6-7899-4245-992c-307a9e45e99a-03777-pc-4""","L(8-10), M(6), S(4)","L, M, S","L(12-14), M(10), S(8)","L(12-14), M(10), S(8)","L(40-42), M(38), S(36)","G(L), M(M), P(S)","L(40-42), M(38), S(36)","L, M, S", Chic, Plain, 100%Polyester, Turn-down Collar, Long Sleeve, Regular, Daily, 1* Shirt, Shirt," Button,Eyelet Embroidery,Shirred", Regular, Slight Stretch, No, Machine wash or professional dry clean,
Embroidery Buttoned Notched Collar Top,$15.92,$21.23,,SKU: ODL1986-bwdf-w,"""https://image.geeko.ltd/small/12a1a7b2-6d0e-44dc-9237-6216ad32d4ff-01305-pc"", ""https://image.geeko.ltd/small/12a1a7b2-6d0e-44dc-9237-6216ad32d4ff-01305-pc-sec"", ""https://image.geeko.ltd/small/12a1a7b2-6d0e-44dc-9237-6216ad32d4ff-01305-pc-0"", ""https://image.geeko.ltd/small/12a1a7b2-6d0e-44dc-9237-6216ad32d4ff-01305-pc-1"", ""https://image.geeko.ltd/small/12a1a7b2-6d0e-44dc-9237-6216ad32d4ff-01305-pc-2"", ""https://image.geeko.ltd/small/12a1a7b2-6d0e-44dc-9237-6216ad32d4ff-01305-pc-3"", ""https://image.geeko.ltd/small/12a1a7b2-6d0e-44dc-9237-6216ad32d4ff-01305-pc-4"", ""https://image.geeko.ltd/small/12a1a7b2-6d0e-44dc-9237-6216ad32d4ff-01305-pc-5""","L(8-10), M(6), S(4), XL(12)","L, M, S, XL","L(12-14), M(10), S(8), XL(16)","L(12-14), M(10), S(8), XL(16)","L(40-42), M(38), S(36), XL(44)","G(L), M(M), P(S), GG(XL)","L(40-42), M(38), S(36), XL(44)","L, M, S, XL", Chic, Plain, 100%Polyester, Notched Collar, Long Sleeve, Regular, Daily, 1* Shirt, Shirt," Button,Embroidery", Regular, Slight Stretch, No, Machine wash or professional dry clean,
Tribal Print Sleeveless Tied Detail Tank Top,$5.20,$6.93,,SKU: LHZY2055A4-bwbc-mu,"""https://image.geeko.ltd/small/523bd68a-7a35-4aa6-b73b-61122364f641-25361-pc"", ""https://image.geeko.ltd/small/523bd68a-7a35-4aa6-b73b-61122364f641-25361-pc-sec"", ""https://image.geeko.ltd/small/523bd68a-7a35-4aa6-b73b-61122364f641-25361-pc-0""","L(8-10), M(6), XL(12)","L, M, XL","L(12-14), M(10), XL(16)","L(12-14), M(10), XL(16)","L(40-42), M(38), XL(44)","G(L), M(M), GG(XL)","L(40-42), M(38), XL(44)","L, M, XL"," Chic,Boho", Tribal, 100%Polyester, Round Neck, Sleeveless, Regular," Daily,Vacation", 1*Top, Tank, Tied Detail, Regular, Slight Stretch, No, Machine wash or professional dry clean,
1PC Floral Pattern Beaded Decor Knit Tank Top Sleeveless Shirt,$9.74,$12.99,Blue,SKU: ODS5175-bwdf2-bl,"""https://image.geeko.ltd/small/8f05a27c-0cff-4de3-b273-58fc411ed472-97037-pc"", ""https://image.geeko.ltd/small/8f05a27c-0cff-4de3-b273-58fc411ed472-97037-pc"", ""https://image.geeko.ltd/small/8f05a27c-0cff-4de3-b273-58fc411ed472-97037-pc-sec"", ""https://image.geeko.ltd/small/8f05a27c-0cff-4de3-b273-58fc411ed472-97037-pc-0"", ""https://image.geeko.ltd/small/8f05a27c-0cff-4de3-b273-58fc411ed472-97037-pc-1"", ""https://image.geeko.ltd/small/8f05a27c-0cff-4de3-b273-58fc411ed472-97037-pc-2"", ""https://image.geeko.ltd/small/8f05a27c-0cff-4de3-b273-58fc411ed472-97037-pc-3"", ""https://image.geeko.ltd/small/8f05a27c-0cff-4de3-b273-58fc411ed472-97037-pc-4"", ""https://image.geeko.ltd/small/8f05a27c-0cff-4de3-b273-58fc411ed472-97037-pc-5""","L(8-10), M(6), S(4), XL(12)","L, M, S, XL","L(12-14), M(10), S(8), XL(16)","L(12-14), M(10), S(8), XL(16)","L(40-42), M(38), S(36), XL(44)","G(L), M(M), P(S), GG(XL)","L(40-42), M(38), S(36), XL(44)","L, M, S, XL"," Casual,Chic", Floral," 97%Polyester,3%Elastane", U-Neck, Sleeveless, Regular," Daily,Vacation", 1* Top, Tank, Beaded, Skinny, Medium Stretch, No," Hand wash, do not dry clean",
1PC Floral Pattern Beaded Decor Knit Tank Top Sleeveless Shirt,$9.74,$12.99,Pink,SKU: ODS5175-bwdf2-pi,"""https://image.geeko.ltd/small/13d61e7e-8703-41b4-ac15-671d74fa4d30-27252-pc"", ""https://image.geeko.ltd/small/13d61e7e-8703-41b4-ac15-671d74fa4d30-27252-pc"", ""https://image.geeko.ltd/small/13d61e7e-8703-41b4-ac15-671d74fa4d30-27252-pc-sec"", ""https://image.geeko.ltd/small/13d61e7e-8703-41b4-ac15-671d74fa4d30-27252-pc-0"", ""https://image.geeko.ltd/small/13d61e7e-8703-41b4-ac15-671d74fa4d30-27252-pc-1"", ""https://image.geeko.ltd/small/13d61e7e-8703-41b4-ac15-671d74fa4d30-27252-pc-2"", ""https://image.geeko.ltd/small/13d61e7e-8703-41b4-ac15-671d74fa4d30-27252-pc-3""","L(8-10), M(6), S(4), XL(12), XXL(14)","L, M, S, XL, XXL","L(12-14), M(10), S(8), XL(16), XXL(18)","L(12-14), M(10), S(8), XL(16), XXL(18)","L(40-42), M(38), S(36), XL(44), XXL(46)","G(L), M(M), P(S), GG(XL), EG(XXL)","L(40-42), M(38), S(36), XL(44), XXL(46)","L, M, S, XL, XXL"," Casual,Chic", Floral," 97%Polyester,3%Elastane", U-Neck, Sleeveless, Regular," Daily,Vacation", 1* Top, Tank, Beaded, Skinny, Medium Stretch, No," Hand wash, do not dry clean",
1PC Floral Pattern Beaded Decor Knit Tank Top Sleeveless Shirt,$9.74,$12.99,White,SKU: ODS5175-bwdf2-w,"""https://image.geeko.ltd/small/0e2435bd-5c15-4217-9ef8-a0bc901055da-45845-pc"", ""https://image.geeko.ltd/small/0e2435bd-5c15-4217-9ef8-a0bc901055da-45845-pc"", ""https://image.geeko.ltd/small/0e2435bd-5c15-4217-9ef8-a0bc901055da-45845-pc-sec"", ""https://image.geeko.ltd/small/0e2435bd-5c15-4217-9ef8-a0bc901055da-45845-pc-0"", ""https://image.geeko.ltd/small/0e2435bd-5c15-4217-9ef8-a0bc901055da-45845-pc-1"", ""https://image.geeko.ltd/small/0e2435bd-5c15-4217-9ef8-a0bc901055da-45845-pc-2"", ""https://image.geeko.ltd/small/0e2435bd-5c15-4217-9ef8-a0bc901055da-45845-pc-3"", ""https://image.geeko.ltd/small/0e2435bd-5c15-4217-9ef8-a0bc901055da-45845-pc-4"", ""https://image.geeko.ltd/small/0e2435bd-5c15-4217-9ef8-a0bc901055da-45845-pc-5"", ""https://image.geeko.ltd/small/0e2435bd-5c15-4217-9ef8-a0bc901055da-45845-pc-6""","L(8-10), M(6), S(4), XL(12)","L, M, S, XL","L(12-14), M(10), S(8), XL(16)","L(12-14), M(10), S(8), XL(16)","L(40-42), M(38), S(36), XL(44)","G(L), M(M), P(S), GG(XL)","L(40-42), M(38), S(36), XL(44)","L, M, S, XL"," Casual,Chic", Floral," 97%Polyester,3%Elastane", U-Neck, Sleeveless, Regular," Daily,Vacation", 1* Top, Tank, Beaded, Skinny, Medium Stretch, No," Hand wash, do not dry clean",
1PC Floral Pattern Beaded Decor Knit Tank Top Sleeveless Shirt,$9.74,$12.99,Hot Pink,SKU: ODS5175-bwdf2-hp,"""https://image.geeko.ltd/small/6d84506e-a8a3-43c3-ae33-555b62ad667e-47044-pc"", ""https://image.geeko.ltd/small/6d84506e-a8a3-43c3-ae33-555b62ad667e-47044-pc"", ""https://image.geeko.ltd/small/6d84506e-a8a3-43c3-ae33-555b62ad667e-47044-pc-sec"", ""https://image.geeko.ltd/small/6d84506e-a8a3-43c3-ae33-555b62ad667e-47044-pc-0"", ""https://image.geeko.ltd/small/6d84506e-a8a3-43c3-ae33-555b62ad667e-47044-pc-1"", ""https://image.geeko.ltd/small/6d84506e-a8a3-43c3-ae33-555b62ad667e-47044-pc-2"", ""https://image.geeko.ltd/small/6d84506e-a8a3-43c3-ae33-555b62ad667e-47044-pc-3"", ""https://image.geeko.ltd/small/6d84506e-a8a3-43c3-ae33-555b62ad667e-47044-pc-4""","L(8-10), M(6), S(4), XL(12)","L, M, S, XL","L(12-14), M(10), S(8), XL(16)","L(12-14), M(10), S(8), XL(16)","L(40-42), M(38), S(36), XL(44)","G(L), M(M), P(S), GG(XL)","L(40-42), M(38), S(36), XL(44)","L, M, S, XL"," Casual,Chic", Floral," 97%Polyester,3%Elastane", U-Neck, Sleeveless, Regular," Daily,Vacation", 1* Top, Tank, Beaded, Skinny, Medium Stretch, No," Hand wash, do not dry clean",
1PC Floral Pattern Beaded Decor Knit Tank Top Sleeveless Shirt,$9.74,$12.99,Black,SKU: ODS5175-bwdf2-bk,"""https://image.geeko.ltd/small/e1c68fd5-d100-4377-a593-8cb0e157198b-70996-pc"", ""https://image.geeko.ltd/small/e1c68fd5-d100-4377-a593-8cb0e157198b-70996-pc"", ""https://image.geeko.ltd/small/e1c68fd5-d100-4377-a593-8cb0e157198b-70996-pc-sec"", ""https://image.geeko.ltd/small/e1c68fd5-d100-4377-a593-8cb0e157198b-70996-pc-0"", ""https://image.geeko.ltd/small/e1c68fd5-d100-4377-a593-8cb0e157198b-70996-pc-1"", ""https://image.geeko.ltd/small/e1c68fd5-d100-4377-a593-8cb0e157198b-70996-pc-2"", ""https://image.geeko.ltd/small/e1c68fd5-d100-4377-a593-8cb0e157198b-70996-pc-3"", ""https://image.geeko.ltd/small/e1c68fd5-d100-4377-a593-8cb0e157198b-70996-pc-4""","L(8-10), M(6), S(4), XL(12)","L, M, S, XL","L(12-14), M(10), S(8), XL(16)","L(12-14), M(10), S(8), XL(16)","L(40-42), M(38), S(36), XL(44)","G(L), M(M), P(S), GG(XL)","L(40-42), M(38), S(36), XL(44)","L, M, S, XL"," Casual,Chic", Floral," 97%Polyester,3%Elastane", U-Neck, Sleeveless, Regular," Daily,Vacation", 1* Top, Tank, Beaded, Skinny, Medium Stretch, No," Hand wash, do not dry clean",
