Product Name,Discount Price,Actual Price,Color,SKU,Image URLs,US Size,CA Size,UK Size,AU Size,EU Size,BR Size,FR Size,RU Size,Style,Type,Material,Neckline,Sleeve Style,Length,Pattern Type,Decoration,Fit Type,Occasion,Package Include,Fabric Elasticity,Sheer,Care Instructions,With Belt
Bow Decor Ruffle Hem Lace Garter Bustier Set,$6.82,$9.1,,SKU: ODF3116-bwir2-bl,"""https://image.geeko.ltd/small/c36809bd-4607-497a-b82e-b7efa30e21ea-01458-pc"", ""https://image.geeko.ltd/small/c36809bd-4607-497a-b82e-b7efa30e21ea-01458-pc-sec"", ""https://image.geeko.ltd/small/c36809bd-4607-497a-b82e-b7efa30e21ea-01458-pc-0"", ""https://image.geeko.ltd/small/c36809bd-4607-497a-b82e-b7efa30e21ea-01458-pc-1"", ""https://image.geeko.ltd/small/c36809bd-4607-497a-b82e-b7efa30e21ea-01458-pc-2"", ""https://image.geeko.ltd/small/c36809bd-4607-497a-b82e-b7efa30e21ea-01458-pc-3"", ""https://image.geeko.ltd/small/c36809bd-4607-497a-b82e-b7efa30e21ea-01458-pc-4"", ""https://image.geeko.ltd/small/c36809bd-4607-497a-b82e-b7efa30e21ea-01458-pc-5""","L(8-10), M(6), S(4), XL(12)","L, M, S, XL","L(12-14), M(10), S(8), XL(16)","L(12-14), M(10), S(8), XL(16)","L(40-42), M(38), S(36), XL(44)","G(L), M(M), P(S), GG(XL)","L(40-42), M(38), S(36), XL(44)","L, M, S, XL"," Romantic,Sexy", Sexy Sets, 100%Lace, V-Neck, Sleeveless, Regular, Plain," Bowknot,Ruffles", Skinny, Christmas, 1*Bustier Set (Without Stockings), Slight Stretch, Semi-Sheer," Hand wash, do not dry clean",
Cutout Contrast Lace Thong Panty,$4.37,$5.83,Black,SKU: HM5007-bwir2-bk,"""https://image.geeko.ltd/small/2dcf638b-657d-4fea-a935-417aab8b5ea7-03026-pc"", ""https://image.geeko.ltd/small/2dcf638b-657d-4fea-a935-417aab8b5ea7-03026-pc-sec"", ""https://image.geeko.ltd/small/2dcf638b-657d-4fea-a935-417aab8b5ea7-03026-pc-0""","2XL(16), 3XL(18), L(8-10), M(6), S(4), XL(12)","2XL, 3XL, L, M, S, XL","2XL(20), 3XL(22), L(12-14), M(10), S(8), XL(16)","2XL(20), 3XL(22), L(12-14), M(10), S(8), XL(16)","2XL(48), 3XL(50), L(40-42), M(38), S(36), XL(44)","G2(2XL), G3(3XL), G(L), M(M), P(S), GG(XL)","48(2XL), 50(3XL), L(40-42), M(38), S(36), XL(44)","2XL, 3XL, L, M, S, XL", Sexy, Thong, Polyester,,, Regular, Plain," Contrast Lace,Cutout", Regular, Daily, 1*Thong,,,,
Cutout Contrast Lace Thong Panty,$4.37,$5.83,White,SKU: HM5007-bwir2-w,"""https://image.geeko.ltd/small/8cc26957-6602-4bb7-bc53-c1f5efaedf37-03190-pc"", ""https://image.geeko.ltd/small/8cc26957-6602-4bb7-bc53-c1f5efaedf37-03190-pc-sec"", ""https://image.geeko.ltd/small/8cc26957-6602-4bb7-bc53-c1f5efaedf37-03190-pc-0"", ""https://image.geeko.ltd/small/8cc26957-6602-4bb7-bc53-c1f5efaedf37-03190-pc-1"", ""https://image.geeko.ltd/small/8cc26957-6602-4bb7-bc53-c1f5efaedf37-03190-pc-2"", ""https://image.geeko.ltd/small/8cc26957-6602-4bb7-bc53-c1f5efaedf37-03190-pc-3"", ""https://image.geeko.ltd/small/8cc26957-6602-4bb7-bc53-c1f5efaedf37-03190-pc-4"", ""https://image.geeko.ltd/small/8cc26957-6602-4bb7-bc53-c1f5efaedf37-03190-pc-5""","2XL(16), 3XL(18), L(8-10), M(6), S(4), XL(12)","2XL, 3XL, L, M, S, XL","2XL(20), 3XL(22), L(12-14), M(10), S(8), XL(16)","2XL(20), 3XL(22), L(12-14), M(10), S(8), XL(16)","2XL(48), 3XL(50), L(40-42), M(38), S(36), XL(44)","G2(2XL), G3(3XL), G(L), M(M), P(S), GG(XL)","48(2XL), 50(3XL), L(40-42), M(38), S(36), XL(44)","2XL, 3XL, L, M, S, XL", Sexy, Thong, Polyester,,, Regular, Plain," Contrast Lace,Cutout", Regular, Daily, 1*Thong,,,,
Floral Pattern Sheer Mesh Patch Babydoll,$9.07,$12.09,,SKU: SQY3110-bwir2-gr,"""https://image.geeko.ltd/small/b81fb6f0-c953-4963-9b20-22d319f18060-01225-pc"", ""https://image.geeko.ltd/small/b81fb6f0-c953-4963-9b20-22d319f18060-01225-pc"", ""https://image.geeko.ltd/small/b81fb6f0-c953-4963-9b20-22d319f18060-01225-pc-sec"", ""https://image.geeko.ltd/small/b81fb6f0-c953-4963-9b20-22d319f18060-01225-pc-0"", ""https://image.geeko.ltd/small/b81fb6f0-c953-4963-9b20-22d319f18060-01225-pc-1"", ""https://image.geeko.ltd/small/b81fb6f0-c953-4963-9b20-22d319f18060-01225-pc-2"", ""https://image.geeko.ltd/small/b81fb6f0-c953-4963-9b20-22d319f18060-01225-pc-3"", ""https://image.geeko.ltd/small/b81fb6f0-c953-4963-9b20-22d319f18060-01225-pc-4""","L(8-10), M(6), S(4)","L, M, S","L(12-14), M(10), S(8)","L(12-14), M(10), S(8)","L(40-42), M(38), S(36)","G(L), M(M), P(S)","L(40-42), M(38), S(36)","L, M, S"," Romantic,Sexy", Babydolls, Polyester, V-Neck, Spaghetti Strap, Mini, Floral," Embroidery,Sheer Mesh", Regular, Home, 1*Babydoll(With Choker & Panty & Wristbands), Slight Stretch, Semi-Sheer," Hand wash, do not dry clean",
Contrast Lace Crisscross Babydoll Without Thong,,$9.1,,SKU: YY6035-bwir-gr,"""https://image.geeko.ltd/small/cade03f7-84aa-4207-b4b2-feae32f8244c-01674-pc"", ""https://image.geeko.ltd/small/cade03f7-84aa-4207-b4b2-feae32f8244c-01674-pc"", ""https://image.geeko.ltd/small/cade03f7-84aa-4207-b4b2-feae32f8244c-01674-pc-sec"", ""https://image.geeko.ltd/small/cade03f7-84aa-4207-b4b2-feae32f8244c-01674-pc-0"", ""https://image.geeko.ltd/small/cade03f7-84aa-4207-b4b2-feae32f8244c-01674-pc-1"", ""https://image.geeko.ltd/small/cade03f7-84aa-4207-b4b2-feae32f8244c-01674-pc-2"", ""https://image.geeko.ltd/small/cade03f7-84aa-4207-b4b2-feae32f8244c-01674-pc-3"", ""https://image.geeko.ltd/small/cade03f7-84aa-4207-b4b2-feae32f8244c-01674-pc-4"", ""https://image.geeko.ltd/small/cade03f7-84aa-4207-b4b2-feae32f8244c-01674-pc-5"", ""https://image.geeko.ltd/small/cade03f7-84aa-4207-b4b2-feae32f8244c-01674-pc-6"", ""https://image.geeko.ltd/small/cade03f7-84aa-4207-b4b2-feae32f8244c-01674-pc-7"", ""https://image.geeko.ltd/small/cade03f7-84aa-4207-b4b2-feae32f8244c-01674-pc-8""","2XL(16), L(8-10), M(6), S(4), XL(12)","2XL, L, M, S, XL","2XL(20), L(12-14), M(10), S(8), XL(16)","2XL(20), L(12-14), M(10), S(8), XL(16)","2XL(48), L(40-42), M(38), S(36), XL(44)","G2(2XL), G(L), M(M), P(S), GG(XL)","48(2XL), L(40-42), M(38), S(36), XL(44)","2XL, L, M, S, XL"," Romantic,Sexy", Babydolls, 100%Rib-Knit, V-Neck, Spaghetti Strap, Mini, Contrast Paneled," Contrast Lace,Criss Cross,Slit", Regular, Home, 1*Babydoll(Without Thong), Slight Stretch, No, Machine wash or professional dry clean,
Pearls Decor Multi Straps Lace Lingerie Set,$5.85,$7.8,,SKU: ODF3660-bwir2-bk,"""https://image.geeko.ltd/small/208c4c0e-c5ce-48a4-a325-a8b5d1836d13-27224-pc"", ""https://image.geeko.ltd/small/208c4c0e-c5ce-48a4-a325-a8b5d1836d13-27224-pc"", ""https://image.geeko.ltd/small/208c4c0e-c5ce-48a4-a325-a8b5d1836d13-27224-pc-sec"", ""https://image.geeko.ltd/small/208c4c0e-c5ce-48a4-a325-a8b5d1836d13-27224-pc-0"", ""https://image.geeko.ltd/small/208c4c0e-c5ce-48a4-a325-a8b5d1836d13-27224-pc-1"", ""https://image.geeko.ltd/small/208c4c0e-c5ce-48a4-a325-a8b5d1836d13-27224-pc-2"", ""https://image.geeko.ltd/small/208c4c0e-c5ce-48a4-a325-a8b5d1836d13-27224-pc-3"", ""https://image.geeko.ltd/small/208c4c0e-c5ce-48a4-a325-a8b5d1836d13-27224-pc-4""","L(8-10), M(6), S(4), XL(12)","L, M, S, XL","L(12-14), M(10), S(8), XL(16)","L(12-14), M(10), S(8), XL(16)","L(40-42), M(38), S(36), XL(44)","G(L), M(M), P(S), GG(XL)","L(40-42), M(38), S(36), XL(44)","L, M, S, XL"," Romantic,Sexy", Sexy Sets, Polyester, Low Cut, Sleeveless, Regular, Plain," Contrast Lace,Pearls", Skinny, Home, 1*Bra Set, Non-Stretch, Semi-Sheer," Hand wash, do not dry clean",
Floral Lace Sheer Crisscross Teddy Bodysuit,$5.62,$7.49,,SKU: DE4178-bwls1-w,"""https://image.geeko.ltd/small/ec9e0e36-c07d-4b81-a636-c4e936288fd3-36896-pc"", ""https://image.geeko.ltd/small/ec9e0e36-c07d-4b81-a636-c4e936288fd3-36896-pc-sec""","L(8-10), M(6), S(4)","L, M, S","L(12-14), M(10), S(8)","L(12-14), M(10), S(8)","L(40-42), M(38), S(36)","G(L), M(M), P(S)","L(40-42), M(38), S(36)","L, M, S", Sexy,," Lace, 100% Polyester", V-Neck, Spaghetti Strap, Regular, Lace,,, Bedroom, 1*Woman Lingerie,,,,
Cutout Spaghetti Strap Lace Lingerie Set,$6.16,$8.21,,SKU: T1162-bwir2-bk,"""https://image.geeko.ltd/small/b082c1d7-a2c8-46ff-81fb-7c9ef1db3d85-12579-pc"", ""https://image.geeko.ltd/small/b082c1d7-a2c8-46ff-81fb-7c9ef1db3d85-12579-pc-sec"", ""https://image.geeko.ltd/small/b082c1d7-a2c8-46ff-81fb-7c9ef1db3d85-12579-pc-0"", ""https://image.geeko.ltd/small/b082c1d7-a2c8-46ff-81fb-7c9ef1db3d85-12579-pc-1"", ""https://image.geeko.ltd/small/b082c1d7-a2c8-46ff-81fb-7c9ef1db3d85-12579-pc-2"", ""https://image.geeko.ltd/small/b082c1d7-a2c8-46ff-81fb-7c9ef1db3d85-12579-pc-3"", ""https://image.geeko.ltd/small/b082c1d7-a2c8-46ff-81fb-7c9ef1db3d85-12579-pc-4""","L(8-10), M(6), S(4), XL(12)","L, M, S, XL","L(12-14), M(10), S(8), XL(16)","L(12-14), M(10), S(8), XL(16)","L(40-42), M(38), S(36), XL(44)","G(L), M(M), P(S), GG(XL)","L(40-42), M(38), S(36), XL(44)","L, M, S, XL"," Romantic,Sexy", Sexy Sets, Lace, V-Neck, Spaghetti Strap, Regular, Plain," Cutout,Lace", Skinny, Home, 1*Lingerie Set, Slight Stretch, No," Hand wash, do not dry clean",
ChicMe ShapeSculpt Shapewear Bodysuit Butt Lifting Tummy Control Panties Body Shaper Stretch Slimming Bra Thong Body Suits,$11.05,$14.73,Black,SKU: AQ2024-bwls2-bk,"""https://image.geeko.ltd/small/00a8f4c5-85eb-4d45-a2f3-5c137010ce72-02484-pc"", ""https://image.geeko.ltd/small/00a8f4c5-85eb-4d45-a2f3-5c137010ce72-02484-pc"", ""https://image.geeko.ltd/small/00a8f4c5-85eb-4d45-a2f3-5c137010ce72-02484-pc-sec"", ""https://image.geeko.ltd/small/00a8f4c5-85eb-4d45-a2f3-5c137010ce72-02484-pc-0"", ""https://image.geeko.ltd/small/00a8f4c5-85eb-4d45-a2f3-5c137010ce72-02484-pc-1""","2XL, 3XL, L, M, S, XL",,,,,,,," Basics,Casual"," Push Up,Shapewear"," 85%Polyamide,15%Spandex",,,, Plain," Stretchy, tummy control for shaping & sculpting",," Daily,Wedding Guest", 1*Shapewear,, No," Hand wash, do not dry clean",
ChicMe ShapeSculpt Shapewear Bodysuit Butt Lifting Tummy Control Panties Body Shaper Stretch Slimming Bra Thong Body Suits,$11.05,$14.73,Nude,SKU: AQ2024-bwls2-nu,"""https://image.geeko.ltd/small/b138cfa4-e416-4ccc-bc35-ed07564bd698-02488-pc"", ""https://image.geeko.ltd/small/b138cfa4-e416-4ccc-bc35-ed07564bd698-02488-pc"", ""https://image.geeko.ltd/small/b138cfa4-e416-4ccc-bc35-ed07564bd698-02488-pc-sec"", ""https://image.geeko.ltd/small/b138cfa4-e416-4ccc-bc35-ed07564bd698-02488-pc-0"", ""https://image.geeko.ltd/small/b138cfa4-e416-4ccc-bc35-ed07564bd698-02488-pc-1"", ""https://image.geeko.ltd/small/b138cfa4-e416-4ccc-bc35-ed07564bd698-02488-pc-2"", ""https://image.geeko.ltd/small/b138cfa4-e416-4ccc-bc35-ed07564bd698-02488-pc-3""","2XL, 3XL, L, M, S, XL",,,,,,,," Basics,Casual"," Push Up,Shapewear"," 85%Polyamide,15%Spandex",,,, Plain," Stretchy, tummy control for shaping & sculpting",," Daily,Wedding Guest", 1*Shapewear,, No," Hand wash, do not dry clean",
Sheer Lace Flower Applique Lingerie Set,$5.62,$7.49,,SKU: DE4042-bwls1-w,"""https://image.geeko.ltd/small/a22d9c9c-3bc2-4dfe-a8ff-6eb11d912082-82912-pc"", ""https://image.geeko.ltd/small/a22d9c9c-3bc2-4dfe-a8ff-6eb11d912082-82912-pc-sec""","L(8-10), M(6), S(4)","L, M, S","L(12-14), M(10), S(8)","L(12-14), M(10), S(8)","L(40-42), M(38), S(36)","G(L), M(M), P(S)","L(40-42), M(38), S(36)","L, M, S", Sexy,," Lace, 100% Polyester", V-Neck, Spaghetti Strap, Regular, Patchwork,,, Bedroom, 1* Lingerie Set,,,,
Fluffy Embellished Velvet Christmas Set,$8.99,$11.99,,SKU: DE5100-bwls1-r,"""https://image.geeko.ltd/small/1cf4afed-e64e-4733-9bf3-51100797d432-71078-pc"", ""https://image.geeko.ltd/small/1cf4afed-e64e-4733-9bf3-51100797d432-71078-pc-sec""","L(8-10), M(6), S(4)","L, M, S","L(12-14), M(10), S(8)","L(12-14), M(10), S(8)","L(40-42), M(38), S(36)","G(L), M(M), P(S)","L(40-42), M(38), S(36)","L, M, S", Sexy,," Velvet,100% Polyester", Hooded, Sleeveless, Regular, Patchwork,,, Bedroom, Top & Underwear Sets,,,,
Crisscross Backless Embroidery Lace Crotchless Teddy,$5.20,$6.93,,SKU: JX0618-bwir2-wr,"""https://image.geeko.ltd/small/b9943314-0a23-4a9b-8b86-868b26887e38-14485-pc"", ""https://image.geeko.ltd/small/b9943314-0a23-4a9b-8b86-868b26887e38-14485-pc"", ""https://image.geeko.ltd/small/b9943314-0a23-4a9b-8b86-868b26887e38-14485-pc-sec"", ""https://image.geeko.ltd/small/b9943314-0a23-4a9b-8b86-868b26887e38-14485-pc-0"", ""https://image.geeko.ltd/small/b9943314-0a23-4a9b-8b86-868b26887e38-14485-pc-1"", ""https://image.geeko.ltd/small/b9943314-0a23-4a9b-8b86-868b26887e38-14485-pc-2"", ""https://image.geeko.ltd/small/b9943314-0a23-4a9b-8b86-868b26887e38-14485-pc-3""","2XL(16), L(8-10), M(6), S(4), XL(12)","2XL, L, M, S, XL","2XL(20), L(12-14), M(10), S(8), XL(16)","2XL(20), L(12-14), M(10), S(8), XL(16)","2XL(48), L(40-42), M(38), S(36), XL(44)","G2(2XL), G(L), M(M), P(S), GG(XL)","48(2XL), L(40-42), M(38), S(36), XL(44)","2XL, L, M, S, XL"," Romantic,Sexy", Teddies, Lace, Plunge, Sleeveless, Regular, Plain," Backless,Bowknot,Criss Cross,Embroidery,Lace,Scallop", Skinny, Home, 1*Teddy,, Yes," Hand wash, do not dry clean",
Bowknot Decor Crochet Lace Skinny Panty,$4.87,$6.49,,SKU: AQ3888-bwir2-bk,"""https://image.geeko.ltd/small/ed5043e3-36d7-4871-b977-4ac5d1845392-02241-pc"", ""https://image.geeko.ltd/small/ed5043e3-36d7-4871-b977-4ac5d1845392-02241-pc-sec"", ""https://image.geeko.ltd/small/ed5043e3-36d7-4871-b977-4ac5d1845392-02241-pc-0"", ""https://image.geeko.ltd/small/ed5043e3-36d7-4871-b977-4ac5d1845392-02241-pc-1"", ""https://image.geeko.ltd/small/ed5043e3-36d7-4871-b977-4ac5d1845392-02241-pc-2"", ""https://image.geeko.ltd/small/ed5043e3-36d7-4871-b977-4ac5d1845392-02241-pc-3""","L(8-10), M(6), S(4), XL(12)","L, M, S, XL","L(12-14), M(10), S(8), XL(16)","L(12-14), M(10), S(8), XL(16)","L(40-42), M(38), S(36), XL(44)","G(L), M(M), P(S), GG(XL)","L(40-42), M(38), S(36), XL(44)","L, M, S, XL", Chic, Panties, Lace,,, Regular, Plain, Lace, Skinny, Daily, 1*Panty,,,,
Eyelash Lace See Through Lingerie Set,$6.74,$8.99,,SKU: DE3902-bwls1-bk,"""https://image.geeko.ltd/small/bb42456f-754e-4e86-97fb-94184802b2b3-95749-pc"", ""https://image.geeko.ltd/small/bb42456f-754e-4e86-97fb-94184802b2b3-95749-pc-sec""","L(8-10), M(6), S(4)","L, M, S","L(12-14), M(10), S(8)","L(12-14), M(10), S(8)","L(40-42), M(38), S(36)","G(L), M(M), P(S)","L(40-42), M(38), S(36)","L, M, S", Sexy,, Lace/Polyester, Sweetheart Neck, Spaghetti Strap, Regular, Solid,,, Bedroom, 1*Woman Lingerie Sets,,,,
Sheer Mesh Bandage Teddy Bodysuit,$6.74,$8.99,,SKU: DE5085-bwls1-wr,"""https://image.geeko.ltd/small/ecf5bf66-3603-45a9-b98c-3016ae34aefc-10281-pc"", ""https://image.geeko.ltd/small/ecf5bf66-3603-45a9-b98c-3016ae34aefc-10281-pc-sec""","L(8-10), M(6), S(4)","L, M, S","L(12-14), M(10), S(8)","L(12-14), M(10), S(8)","L(40-42), M(38), S(36)","G(L), M(M), P(S)","L(40-42), M(38), S(36)","L, M, S", Sexy,, Contrast Mesh, Square Neck, Thick Strap, Regular, Patchwork,,, Bedroom, 1*Woman Lingerie,,,,
Fluffy Splicing Lace Sheer Babydoll Dress,$6.74,$8.99,,SKU: DE5081-bwls1-r,"""https://image.geeko.ltd/small/092f178e-5eea-48f6-a93e-117e7191e47d-38799-pc"", ""https://image.geeko.ltd/small/092f178e-5eea-48f6-a93e-117e7191e47d-38799-pc-sec""","L(8-10), M(6), S(4)","L, M, S","L(12-14), M(10), S(8)","L(12-14), M(10), S(8)","L(40-42), M(38), S(36)","G(L), M(M), P(S)","L(40-42), M(38), S(36)","L, M, S", Sexy,," Lace, 100% Polyester", V-Neck, Spaghetti Strap, Mini, Patchwork, Lace,, Bedroom, 1* Dress,,,,
Floral Lace Halter Ring Bandage Sleeveless Bra Top,$5.85,$7.8,,SKU: S02100-bwir2-bk,"""https://image.geeko.ltd/small/ecbccf19-f1ae-4e3e-a046-b9de3533e6ca-34771-pc"", ""https://image.geeko.ltd/small/ecbccf19-f1ae-4e3e-a046-b9de3533e6ca-34771-pc-sec"", ""https://image.geeko.ltd/small/ecbccf19-f1ae-4e3e-a046-b9de3533e6ca-34771-pc-0""","L(8-10), M(6), S(4), XL(12)","L, M, S, XL","L(12-14), M(10), S(8), XL(16)","L(12-14), M(10), S(8), XL(16)","L(40-42), M(38), S(36), XL(44)","G(L), M(M), P(S), GG(XL)","L(40-42), M(38), S(36), XL(44)","L, M, S, XL"," Casual,Sexy", Regular, Polyester, Halter, Sleeveless, Regular, Plain, Lace, Regular, Daily,,,,, No
Solid Cut-out Skinny Glitter Stockings,$5.20,$6.93,,SKU: kd17-bwir2-bk,"""https://image.geeko.ltd/small/d2b41570-010c-4080-b8eb-930b5d68f18e-04579-pc"", ""https://image.geeko.ltd/small/d2b41570-010c-4080-b8eb-930b5d68f18e-04579-pc-sec"", ""https://image.geeko.ltd/small/d2b41570-010c-4080-b8eb-930b5d68f18e-04579-pc-0""",M(6),M,M(10),M(10),M(38),M(M),M(38),M, Sexy, Regular, Polyester,,, Long," Plain,Glitter", Cutout,, Daily,,,,, No
Eyelash Lace & Mesh Splicing Halter Teddies,$6.74,$8.99,,SKU: DE4900-bwls1-bk,"""https://image.geeko.ltd/small/d8613892-450a-4363-9f44-e2947c8d61a1-53966-pc"", ""https://image.geeko.ltd/small/d8613892-450a-4363-9f44-e2947c8d61a1-53966-pc-sec""","L(8-10), M(6), S(4)","L, M, S","L(12-14), M(10), S(8)","L(12-14), M(10), S(8)","L(40-42), M(38), S(36)","G(L), M(M), P(S)","L(40-42), M(38), S(36)","L, M, S", Sexy,, Polyester/Lace, Halter, Sleeveless, Mini, Lace,,, beadroom, 1* Lingerie,,,,
