Product Name,Discount Price,Actual Price,Color,SKU,Image URLs,US Size,CA Size,UK Size,AU Size,EU Size,BR Size,FR Size,RU Size,Style,Type,Material,Neckline,Sleeve Style,Length,Pattern Type,Decoration,Fit Type,Occasion,Package Include,Fabric Elasticity,Sheer,Care Instructions,With Belt
Floral Embroidery Contrast Lace Babydoll,$7.47,$9.96,Pink,SKU: LY030-bwir2-pi,"""https://image.geeko.ltd/small/746eebc2-8921-41c7-80f2-d51d649742ec-20498-pc"", ""https://image.geeko.ltd/small/746eebc2-8921-41c7-80f2-d51d649742ec-20498-pc"", ""https://image.geeko.ltd/small/746eebc2-8921-41c7-80f2-d51d649742ec-20498-pc-sec"", ""https://image.geeko.ltd/small/746eebc2-8921-41c7-80f2-d51d649742ec-20498-pc-0"", ""https://image.geeko.ltd/small/746eebc2-8921-41c7-80f2-d51d649742ec-20498-pc-1"", ""https://image.geeko.ltd/small/746eebc2-8921-41c7-80f2-d51d649742ec-20498-pc-2""","L(8-10), M(6), S(4), XL(12)","L, M, S, XL","L(12-14), M(10), S(8), XL(16)","L(12-14), M(10), S(8), XL(16)","L(40-42), M(38), S(36), XL(44)","G(L), M(M), P(S), GG(XL)","L(40-42), M(38), S(36), XL(44)","L, M, S, XL"," Romantic,Sexy", Babydolls," 96%Polyester,4%Elastane", Low Cut, Spaghetti Strap, Mini, Floral," Bowknot,Contrast Lace,Embroidery,Sheer Mesh", Regular, Christmas, 1*Babydoll, Slight Stretch, No," Hand wash, do not dry clean",
Floral Lace Sheer Teddy Bodysuit,$5.62,$7.49,,SKU: DE2978-bwls1-nu,"""https://image.geeko.ltd/small/9b7391bd-2fdd-4ab1-9a5f-db47ebc9432d-17286-pc"", ""https://image.geeko.ltd/small/9b7391bd-2fdd-4ab1-9a5f-db47ebc9432d-17286-pc-sec""","L(8-10), M(6), S(4)","L, M, S","L(12-14), M(10), S(8)","L(12-14), M(10), S(8)","L(40-42), M(38), S(36)","G(L), M(M), P(S)","L(40-42), M(38), S(36)","L, M, S", Sexy,," Lace, 100% Polyester", V-Neck, Spaghetti Strap, Regular, Lace,,, Bedroom, 1*Woman Lingerie,,,,
1Pair Lace Patch Sheer Mesh Stockings,$4.37,$5.83,Black,SKU: HY00600-bwir2-bk,"""https://image.geeko.ltd/small/50dfb9c5-6b9b-488a-8e2a-1e3999fb6747-68884-pc"", ""https://image.geeko.ltd/small/50dfb9c5-6b9b-488a-8e2a-1e3999fb6747-68884-pc-sec"", ""https://image.geeko.ltd/small/50dfb9c5-6b9b-488a-8e2a-1e3999fb6747-68884-pc-0"", ""https://image.geeko.ltd/small/50dfb9c5-6b9b-488a-8e2a-1e3999fb6747-68884-pc-1"", ""https://image.geeko.ltd/small/50dfb9c5-6b9b-488a-8e2a-1e3999fb6747-68884-pc-2""",One Size,One Size,One Size,One Size,One Size,One Size,One Size,One Size," Chic,Sexy", Stockings, 100%Polyamide,,,, Plain,,," Daily,Night Out", 1Pair Stockings,,,,
1Pair Lace Patch Sheer Mesh Stockings,$4.37,$5.83,Red,SKU: HY00600-bwir2-r,"""https://image.geeko.ltd/small/2a7d1c56-f897-4588-a68d-c9acae1dd1c6-69098-pc"", ""https://image.geeko.ltd/small/2a7d1c56-f897-4588-a68d-c9acae1dd1c6-69098-pc-sec"", ""https://image.geeko.ltd/small/2a7d1c56-f897-4588-a68d-c9acae1dd1c6-69098-pc-0"", ""https://image.geeko.ltd/small/2a7d1c56-f897-4588-a68d-c9acae1dd1c6-69098-pc-1""",One Size,One Size,One Size,One Size,One Size,One Size,One Size,One Size," Chic,Sexy", Stockings, 100%Polyamide,,,, Plain,,," Daily,Night Out", 1Pair Stockings,,,,
High Waist Lace-up Floral Lace Panty,$5.98,$7.97,,SKU: HYMY01-bwir2-w,"""https://image.geeko.ltd/small/755baa1c-1394-439b-8489-d1ed40048cad-01413-pc"", ""https://image.geeko.ltd/small/755baa1c-1394-439b-8489-d1ed40048cad-01413-pc-sec"", ""https://image.geeko.ltd/small/755baa1c-1394-439b-8489-d1ed40048cad-01413-pc-0"", ""https://image.geeko.ltd/small/755baa1c-1394-439b-8489-d1ed40048cad-01413-pc-1"", ""https://image.geeko.ltd/small/755baa1c-1394-439b-8489-d1ed40048cad-01413-pc-2"", ""https://image.geeko.ltd/small/755baa1c-1394-439b-8489-d1ed40048cad-01413-pc-3"", ""https://image.geeko.ltd/small/755baa1c-1394-439b-8489-d1ed40048cad-01413-pc-4"", ""https://image.geeko.ltd/small/755baa1c-1394-439b-8489-d1ed40048cad-01413-pc-5"", ""https://image.geeko.ltd/small/755baa1c-1394-439b-8489-d1ed40048cad-01413-pc-6"", ""https://image.geeko.ltd/small/755baa1c-1394-439b-8489-d1ed40048cad-01413-pc-7""","2XL(16), L(8-10), M(6), S(4), XL(12)","2XL, L, M, S, XL","2XL(20), L(12-14), M(10), S(8), XL(16)","2XL(20), L(12-14), M(10), S(8), XL(16)","2XL(48), L(40-42), M(38), S(36), XL(44)","G2(2XL), G(L), M(M), P(S), GG(XL)","48(2XL), L(40-42), M(38), S(36), XL(44)","2XL, L, M, S, XL", Sexy, Panties, Lace,,, Regular, Sheer," Lace-up,Lace", Skinny, Home, 1*Panty,,,,
Sexy See-through Fishnet Sling Bra Sets,,$10.17,,SKU: LH003-bwir2-bk,"""https://image.geeko.ltd/small/a9143fd1-93ec-4a85-9604-e9cfdfc61f6d-01836-pc"", ""https://image.geeko.ltd/small/a9143fd1-93ec-4a85-9604-e9cfdfc61f6d-01836-pc-sec"", ""https://image.geeko.ltd/small/a9143fd1-93ec-4a85-9604-e9cfdfc61f6d-01836-pc-0""","L(8-10), M(6), S(4), XL(12)","L, M, S, XL","L(12-14), M(10), S(8), XL(16)","L(12-14), M(10), S(8), XL(16)","L(40-42), M(38), S(36), XL(44)","G(L), M(M), P(S), GG(XL)","L(40-42), M(38), S(36), XL(44)","L, M, S, XL"," Casual,Sexy", Sexy Sets, Polyester, V-Neck, Sleeveless, Regular, Patchwork, Fishnet, Regular, Daily, 2PCS,,,, No
Sheer Eyelash Lace Teddy Bodysuit,$6.74,$8.99,,SKU: DE3792-bwls1-w,"""https://image.geeko.ltd/small/55175f2a-af94-4c41-85a3-2f31eb798c89-16841-pc"", ""https://image.geeko.ltd/small/55175f2a-af94-4c41-85a3-2f31eb798c89-16841-pc-sec""","L(8-10), M(6), S(4)","L, M, S","L(12-14), M(10), S(8)","L(12-14), M(10), S(8)","L(40-42), M(38), S(36)","G(L), M(M), P(S)","L(40-42), M(38), S(36)","L, M, S", Sexy,, Polyester/Lace, V-Neck, Sleeveless, Regular, Lace,,, Club, 1* Lingerie,,,,
Sheer Leopard Teddy Bodysuit,$6.74,$8.99,,SKU: DE5463-bwls1-bk,"""https://image.geeko.ltd/small/97c1911d-cf82-4738-ba42-4eaaf2f0c66c-58130-pc"", ""https://image.geeko.ltd/small/97c1911d-cf82-4738-ba42-4eaaf2f0c66c-58130-pc-sec""","L(8-10), M(6), S(4)","L, M, S","L(12-14), M(10), S(8)","L(12-14), M(10), S(8)","L(40-42), M(38), S(36)","G(L), M(M), P(S)","L(40-42), M(38), S(36)","L, M, S", Sexy,," Lace, 100% Polyester", V-Neck, Spaghetti Strap, Regular, Leopard,,, Bedroom, 1*Woman Lingerie,,,,
Criss Cross Backless Fishnet Bodystockings,$6.49,$8.65,,SKU: SL1039-bwir2-bk,"""https://image.geeko.ltd/small/f66c7f02-82bb-4222-91ef-2241288d06fc-12537-pc"", ""https://image.geeko.ltd/small/f66c7f02-82bb-4222-91ef-2241288d06fc-12537-pc-sec"", ""https://image.geeko.ltd/small/f66c7f02-82bb-4222-91ef-2241288d06fc-12537-pc-0"", ""https://image.geeko.ltd/small/f66c7f02-82bb-4222-91ef-2241288d06fc-12537-pc-1"", ""https://image.geeko.ltd/small/f66c7f02-82bb-4222-91ef-2241288d06fc-12537-pc-2""",S(4),S,S(8),S(8),S(36),P(S),S(36),S," Romantic,Sexy", Bodystockings," 87%Nylon,13%Spandex", Plunge, Sleeveless, Long, Plain," Backless,Criss Cross,Fishnet", Skinny, Home, 1*Bodystockings (Without Lingerie),,,,
3PCS Floral Embroidered Lace Garter Lingerie Set,$9.42,$12.56,,SKU: ODF0123-bwir2-bk,"""https://image.geeko.ltd/small/6143dee6-329e-4f42-817c-bf9a36fc0fba-01544-pc"", ""https://image.geeko.ltd/small/6143dee6-329e-4f42-817c-bf9a36fc0fba-01544-pc-sec"", ""https://image.geeko.ltd/small/6143dee6-329e-4f42-817c-bf9a36fc0fba-01544-pc-0"", ""https://image.geeko.ltd/small/6143dee6-329e-4f42-817c-bf9a36fc0fba-01544-pc-1"", ""https://image.geeko.ltd/small/6143dee6-329e-4f42-817c-bf9a36fc0fba-01544-pc-2"", ""https://image.geeko.ltd/small/6143dee6-329e-4f42-817c-bf9a36fc0fba-01544-pc-3"", ""https://image.geeko.ltd/small/6143dee6-329e-4f42-817c-bf9a36fc0fba-01544-pc-4"", ""https://image.geeko.ltd/small/6143dee6-329e-4f42-817c-bf9a36fc0fba-01544-pc-5"", ""https://image.geeko.ltd/small/6143dee6-329e-4f42-817c-bf9a36fc0fba-01544-pc-6"", ""https://image.geeko.ltd/small/6143dee6-329e-4f42-817c-bf9a36fc0fba-01544-pc-7""","L(8-10), M(6), S(4), XL(12)","L, M, S, XL","L(12-14), M(10), S(8), XL(16)","L(12-14), M(10), S(8), XL(16)","L(40-42), M(38), S(36), XL(44)","G(L), M(M), P(S), GG(XL)","L(40-42), M(38), S(36), XL(44)","L, M, S, XL"," Romantic,Sexy", Sexy Sets, 100%Polyester," Boat Neck,V-Neck", Spaghetti Strap, Regular, Floral," Embroidery,Lace,Lace-up", Skinny, Christmas, 3PCS Lingerie Set (without stockings), Slight Stretch, Semi-Sheer," Hand wash, do not dry clean",
