Product Name,Discount Price,Actual Price,Color,SKU,Image URLs,US Size,CA Size,UK Size,AU Size,EU Size,BR Size,FR Size,RU Size,Style,Type,Material,Neckline,Sleeve Style,Length,Pattern Type,Decoration,Fit Type,Occasion,Package Include,Fabric Elasticity,Sheer,Care Instructions,With Belt,Sleeve Type,Waist Line
Ombre Tropical Print One Shoulder Sleeveless Cutout Bodycon Maxi Long Dress,$6.28,$8.37,,SKU: ODS2267A19-bwla2-y,"""https://image.geeko.ltd/small/21ac66f7-3b67-41bd-80d3-0080e3bf7bca-02627-pc"", ""https://image.geeko.ltd/small/21ac66f7-3b67-41bd-80d3-0080e3bf7bca-02627-pc"", ""https://image.geeko.ltd/small/21ac66f7-3b67-41bd-80d3-0080e3bf7bca-02627-pc-sec"", ""https://image.geeko.ltd/small/21ac66f7-3b67-41bd-80d3-0080e3bf7bca-02627-pc-0"", ""https://image.geeko.ltd/small/21ac66f7-3b67-41bd-80d3-0080e3bf7bca-02627-pc-1"", ""https://image.geeko.ltd/small/21ac66f7-3b67-41bd-80d3-0080e3bf7bca-02627-pc-2"", ""https://image.geeko.ltd/small/21ac66f7-3b67-41bd-80d3-0080e3bf7bca-02627-pc-3""","L(8-10), M(6), S(4), XL(12), XXL(14)","L, M, S, XL, XXL","L(12-14), M(10), S(8), XL(16), XXL(18)","L(12-14), M(10), S(8), XL(16), XXL(18)","L(40-42), M(38), S(36), XL(44), XXL(46)","G(L), M(M), P(S), GG(XL), EG(XXL)","L(40-42), M(38), S(36), XL(44), XXL(46)","L, M, S, XL, XXL", Chic, Bodycon," 90%Polyester,10%Elastane", One Shoulder, Sleeveless, Midi, Tropical, Cutout, Skinny," Daily,Vacation", 1* Dress, High Stretch, No, Machine wash or professional dry clean,,,
Tribal Print Ruffle Hem Dress,$9.39,$12.52,,SKU: ODS2244A-bwla-mu,"""https://image.geeko.ltd/small/41065edf-1da2-4eb3-8d8c-b0145fdaa22b-48093-pc"", ""https://image.geeko.ltd/small/41065edf-1da2-4eb3-8d8c-b0145fdaa22b-48093-pc-sec"", ""https://image.geeko.ltd/small/41065edf-1da2-4eb3-8d8c-b0145fdaa22b-48093-pc-0"", ""https://image.geeko.ltd/small/41065edf-1da2-4eb3-8d8c-b0145fdaa22b-48093-pc-1"", ""https://image.geeko.ltd/small/41065edf-1da2-4eb3-8d8c-b0145fdaa22b-48093-pc-2"", ""https://image.geeko.ltd/small/41065edf-1da2-4eb3-8d8c-b0145fdaa22b-48093-pc-3"", ""https://image.geeko.ltd/small/41065edf-1da2-4eb3-8d8c-b0145fdaa22b-48093-pc-4""","L(8-10), M(6), S(4), XL(12)","L, M, S, XL","L(12-14), M(10), S(8), XL(16)","L(12-14), M(10), S(8), XL(16)","L(40-42), M(38), S(36), XL(44)","G(L), M(M), P(S), GG(XL)","L(40-42), M(38), S(36), XL(44)","L, M, S, XL"," Boho,Casual,Vintage", A Line," 97%Polyester,3%Elastane", V-Neck, Spaghetti Strap, Mini, Tribal, Ruffles, Regular," Daily,Vacation", 1* Dress, Slight Stretch, No, Machine wash or professional dry clean,,,
Tropical Print Halter Ruched Maxi Dress,$7.22,$9.63,Green,SKU: LZR18175-bwla2-gr,"""https://image.geeko.ltd/small/8ecbae10-a6ff-4649-8fed-7e917f47abff-45049-pc"", ""https://image.geeko.ltd/small/8ecbae10-a6ff-4649-8fed-7e917f47abff-45049-pc"", ""https://image.geeko.ltd/small/8ecbae10-a6ff-4649-8fed-7e917f47abff-45049-pc-sec"", ""https://image.geeko.ltd/small/8ecbae10-a6ff-4649-8fed-7e917f47abff-45049-pc-0""","L(8-10), M(6), S(4), XL(12)","L, M, S, XL","L(12-14), M(10), S(8), XL(16)","L(12-14), M(10), S(8), XL(16)","L(40-42), M(38), S(36), XL(44)","G(L), M(M), P(S), GG(XL)","L(40-42), M(38), S(36), XL(44)","L, M, S, XL", Chic, Bodycon," 95%Polyester,5%Elastane", Halter, Sleeveless, Maxi, Tropical, Ruched, Skinny," Beach,Vacation", 1* Dress, Medium Stretch, No, Machine wash or professional dry clean,,,
Tropical Print Halter Ruched Maxi Dress,$7.22,$9.63,Yellow,SKU: LZR18175-bwla2-y,"""https://image.geeko.ltd/small/8c306040-ce79-4e42-a63d-583083e9dbbf-37162-pc"", ""https://image.geeko.ltd/small/8c306040-ce79-4e42-a63d-583083e9dbbf-37162-pc"", ""https://image.geeko.ltd/small/8c306040-ce79-4e42-a63d-583083e9dbbf-37162-pc-sec"", ""https://image.geeko.ltd/small/8c306040-ce79-4e42-a63d-583083e9dbbf-37162-pc-0"", ""https://image.geeko.ltd/small/8c306040-ce79-4e42-a63d-583083e9dbbf-37162-pc-1"", ""https://image.geeko.ltd/small/8c306040-ce79-4e42-a63d-583083e9dbbf-37162-pc-2"", ""https://image.geeko.ltd/small/8c306040-ce79-4e42-a63d-583083e9dbbf-37162-pc-3""","L(8-10), M(6), S(4), XL(12)","L, M, S, XL","L(12-14), M(10), S(8), XL(16)","L(12-14), M(10), S(8), XL(16)","L(40-42), M(38), S(36), XL(44)","G(L), M(M), P(S), GG(XL)","L(40-42), M(38), S(36), XL(44)","L, M, S, XL", Chic, Bodycon," 95%Polyester,5%Elastane", Halter, Sleeveless, Maxi, Tropical, Ruched, Skinny," Beach,Vacation", 1* Dress, Medium Stretch, No, Machine wash or professional dry clean,,,
Long Sleeve Buttoned Ruffle Hem Shirt Dress,$9.92,$13.23,,SKU: ODS4161-bwla2-bl,"""https://image.geeko.ltd/small/c55e7d04-6925-4da5-ac8d-7811e3f5abd5-17993-pc"", ""https://image.geeko.ltd/small/c55e7d04-6925-4da5-ac8d-7811e3f5abd5-17993-pc"", ""https://image.geeko.ltd/small/c55e7d04-6925-4da5-ac8d-7811e3f5abd5-17993-pc-sec"", ""https://image.geeko.ltd/small/c55e7d04-6925-4da5-ac8d-7811e3f5abd5-17993-pc-0"", ""https://image.geeko.ltd/small/c55e7d04-6925-4da5-ac8d-7811e3f5abd5-17993-pc-1"", ""https://image.geeko.ltd/small/c55e7d04-6925-4da5-ac8d-7811e3f5abd5-17993-pc-2"", ""https://image.geeko.ltd/small/c55e7d04-6925-4da5-ac8d-7811e3f5abd5-17993-pc-3""","L(8-10), M(6), S(4), XL(12)","L, M, S, XL","L(12-14), M(10), S(8), XL(16)","L(12-14), M(10), S(8), XL(16)","L(40-42), M(38), S(36), XL(44)","G(L), M(M), P(S), GG(XL)","L(40-42), M(38), S(36), XL(44)","L, M, S, XL", Chic, A Line, 100%Polyester, Turn-down Collar, Long Sleeve, Mini, Plain," Button,Ruffles", Regular," Daily,Vacation", 1* Dress, Slight Stretch, No, Machine wash or professional dry clean,,,
Paisley Print Shirred Short Sleeve Dress,$18.09,$24.12,,SKU: ODF4014-bwla2-gr,"""https://image.geeko.ltd/small/1951f728-f0de-4a28-8349-b548dd5bcc6a-54347-pc"", ""https://image.geeko.ltd/small/1951f728-f0de-4a28-8349-b548dd5bcc6a-54347-pc"", ""https://image.geeko.ltd/small/1951f728-f0de-4a28-8349-b548dd5bcc6a-54347-pc-sec"", ""https://image.geeko.ltd/small/1951f728-f0de-4a28-8349-b548dd5bcc6a-54347-pc-0"", ""https://image.geeko.ltd/small/1951f728-f0de-4a28-8349-b548dd5bcc6a-54347-pc-1"", ""https://image.geeko.ltd/small/1951f728-f0de-4a28-8349-b548dd5bcc6a-54347-pc-2"", ""https://image.geeko.ltd/small/1951f728-f0de-4a28-8349-b548dd5bcc6a-54347-pc-3""","L(8-10), M(6), S(4), XL(12)","L, M, S, XL","L(12-14), M(10), S(8), XL(16)","L(12-14), M(10), S(8), XL(16)","L(40-42), M(38), S(36), XL(44)","G(L), M(M), P(S), GG(XL)","L(40-42), M(38), S(36), XL(44)","L, M, S, XL", Chic, A Line, 100%Polyester, V-Neck, Short Sleeve, Maxi, Paisley, Shirred, Regular, Vacation, 1* Dress, Slight Stretch, No, Machine wash or professional dry clean,,,
Glitter Long Sleeve Ruched Party Dress,$9.98,$13.31,,SKU: LZS3316Q-bwdl2-bk,"""https://image.geeko.ltd/small/aabca7ec-56b3-4d84-9c0f-c01a3161dd08-03346-pc"", ""https://image.geeko.ltd/small/aabca7ec-56b3-4d84-9c0f-c01a3161dd08-03346-pc"", ""https://image.geeko.ltd/small/aabca7ec-56b3-4d84-9c0f-c01a3161dd08-03346-pc-sec"", ""https://image.geeko.ltd/small/aabca7ec-56b3-4d84-9c0f-c01a3161dd08-03346-pc-0""","L(8-10), L(8-10), M(6), M(6), S(4), S(4), XL(12), XL(12)","L, L, M, M, S, S, XL, XL","L(12-14), L(12-14), M(10), M(10), S(8), S(8), XL(16), XL(16)","L(12-14), L(12-14), M(10), M(10), S(8), S(8), XL(16), XL(16)","L(40-42), L(40-42), M(38), M(38), S(36), S(36), XL(44), XL(44)","G(L), G(L), M(M), M(M), P(S), P(S), GG(XL), GG(XL)","L(40-42), L(40-42), M(38), M(38), S(36), S(36), XL(44), XL(44)","L, L, M, M, S, S, XL, XL"," Chic,Sexy", Bodycon," 95%Polyester,5%Elastane", V-Neck, Long Sleeve, Mini, Plain, Ruched, Skinny, Party, 1* Dress, Medium Stretch,,,,,
Layered Pearls Strap Pleated Casual Dress,$12.14,$16.19,,SKU: LZS4845L-bwla2-lp,"""https://image.geeko.ltd/small/9b6acf2b-8ef5-4ba9-8936-43104de2cf95-54402-pc"", ""https://image.geeko.ltd/small/9b6acf2b-8ef5-4ba9-8936-43104de2cf95-54402-pc"", ""https://image.geeko.ltd/small/9b6acf2b-8ef5-4ba9-8936-43104de2cf95-54402-pc-sec"", ""https://image.geeko.ltd/small/9b6acf2b-8ef5-4ba9-8936-43104de2cf95-54402-pc-0""","L(8-10), M(6), S(4), XL(12)","L, M, S, XL","L(12-14), M(10), S(8), XL(16)","L(12-14), M(10), S(8), XL(16)","L(40-42), M(38), S(36), XL(44)","G(L), M(M), P(S), GG(XL)","L(40-42), M(38), S(36), XL(44)","L, M, S, XL", Casual," Layered/Tiered,Pleated", 100%Polyester, Scoop Neck, Spaghetti Strap, Mini, Plain, Pearls, Regular, Daily, 1* Dress, Slight Stretch, No, Machine wash or professional dry clean,,,
Ruffle Frill Hem Asymmetrical Maxi Dress,$16.51,$22.01,,SKU: ODT99517-bwla2-pi,"""https://image.geeko.ltd/small/4ade3a60-6ebc-49e9-8337-fef097f2a98b-02603-pc"", ""https://image.geeko.ltd/small/4ade3a60-6ebc-49e9-8337-fef097f2a98b-02603-pc-sec"", ""https://image.geeko.ltd/small/4ade3a60-6ebc-49e9-8337-fef097f2a98b-02603-pc-0"", ""https://image.geeko.ltd/small/4ade3a60-6ebc-49e9-8337-fef097f2a98b-02603-pc-1"", ""https://image.geeko.ltd/small/4ade3a60-6ebc-49e9-8337-fef097f2a98b-02603-pc-2"", ""https://image.geeko.ltd/small/4ade3a60-6ebc-49e9-8337-fef097f2a98b-02603-pc-3""","L(8-10), M(6), S(4), XL(12)","L, M, S, XL","L(12-14), M(10), S(8), XL(16)","L(12-14), M(10), S(8), XL(16)","L(40-42), M(38), S(36), XL(44)","G(L), M(M), P(S), GG(XL)","L(40-42), M(38), S(36), XL(44)","L, M, S, XL", Chic, Asymmetrical, 100%Polyester, Off the Shoulder, Short Sleeve, Maxi, Plain," Frill Hem,Ruffles", Regular, Daily, 1* Dress(With Belt), High Stretch, No, Machine wash or professional dry clean, Yes,,
Striped Button Down Shirt Dress Back Shirred Long Sleeve Side Drawstring Mini Dresses,$12.42,$16.56,Green,SKU: LZR18504-bwla2-gr,"""https://image.geeko.ltd/small/e34c7843-fa9a-4b47-84d1-c9e4c737031e-02995-pc"", ""https://image.geeko.ltd/small/e34c7843-fa9a-4b47-84d1-c9e4c737031e-02995-pc"", ""https://image.geeko.ltd/small/e34c7843-fa9a-4b47-84d1-c9e4c737031e-02995-pc-sec"", ""https://image.geeko.ltd/small/e34c7843-fa9a-4b47-84d1-c9e4c737031e-02995-pc-0"", ""https://image.geeko.ltd/small/e34c7843-fa9a-4b47-84d1-c9e4c737031e-02995-pc-1"", ""https://image.geeko.ltd/small/e34c7843-fa9a-4b47-84d1-c9e4c737031e-02995-pc-2"", ""https://image.geeko.ltd/small/e34c7843-fa9a-4b47-84d1-c9e4c737031e-02995-pc-3"", ""https://image.geeko.ltd/small/e34c7843-fa9a-4b47-84d1-c9e4c737031e-02995-pc-4""","L(8-10), M(6), S(4), XL(12)","L, M, S, XL","L(12-14), M(10), S(8), XL(16)","L(12-14), M(10), S(8), XL(16)","L(40-42), M(38), S(36), XL(44)","G(L), M(M), P(S), GG(XL)","L(40-42), M(38), S(36), XL(44)","L, M, S, XL"," Casual,Chic", Asymmetrical, 100%Polyester, Turn-down Collar, Long Sleeve, Mini, Striped," Button,Drawstring", Regular, Daily, 1* Dress, Slight Stretch, No, Machine wash or professional dry clean,,,
