Name,Price,Images,Details
Large Small Lazy Sofa Cover Chairs Without Filler Linen Cloth Lounger Seat Bean Bag Pouf Puff Couch Tatami Living Room,US $7.07,"https://ae-pic-a1.aliexpress-media.com/kf/S331c40c4a2114a78b945d8c39e62351e1.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sccbceeb00b1247f89e3772f3d61c2c940.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S1a7a9a94f1ae4dce88ad576d77edc4a9W.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S4fbd87b96d744d83b68a89bdec7efc36g.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Scd38b6d7607748f391367ea8cb5fcfc3w.jpg_220x220q75.jpg_.avif","['Hign-concerned Chemical', 'None', 'Installation Method', 'self-contained', 'Model Number', 'Bean Bag Sofas Chair Cover Only', 'Origin', 'Mainland China', 'For The Number', 'SINGLE', 'Material', 'Fabric', 'Feature', 'Without Filler', 'Package Included', 'only Bean Bag sofa cover', 'Note', 'Just Cover NO filling']"
Inflatable Lazy Sofa Chair PVC Flocking Foldable Sofa With Slip-on Lunch Lounge Chair Set,US $53.16,"https://ae-pic-a1.aliexpress-media.com/kf/S986b0c9c6327469d887474fd24f2f313V.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S71494c5aac414454872845972d7b2a6eu.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S91fefca505dd45f090862e18aa31ab40O.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S3316984328a74f04b68215cc12e1cda9R.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S672287133a2c47fa941f69917694d0e66.jpg_220x220q75.jpg_.avif","['Hign-concerned Chemical', 'None', 'Installation Method', 'Assembly', 'is_SofaBed', 'No', 'Sofa Width', '＜2000mm', 'Filling', 'a', 'Fabric', 'Composite Fabrics', 'is_customized', 'Yes', 'Model Number', 'MTJ-05', 'General Use', 'Home Furniture', 'Specific Use', 'Living Room Sofa', 'With Storage', 'No', 'Origin', 'Mainland China', 'Style', 'Minimalist Modern', 'Size', '116*98*83CM', 'Type', 'Living Room Furniture', 'Combination', 'SINGLE', 'Material', 'PVC', 'Appearance', 'Modern Style', 'CN', 'Zhejiang', 'Place Of Origin', 'china', 'Style', 'Corner Sofa']"
"CX268KF Minimalist multi functional foldable sofa bed,dual-use, economical, small-sized rental room，apartment, fabric sofa",US $149.86,"https://ae-pic-a1.aliexpress-media.com/kf/S104ce0cfaf4c423fa3ef18c38b373d92K.png_220x220.png_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S104ce0cfaf4c423fa3ef18c38b373d92K.png_220x220.png_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S4b3b96b1b2f34c9faf97249b4c64a3dbP.png_220x220.png_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S36ac83afcf084876a07ec9d116bba969J.png_220x220.png_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S5c7e664198e942b692df5bebcc77c072C.png_220x220.png_.avif","['Hign-concerned Chemical', 'None', 'Installation Method', 'Assembly', 'is_SofaBed', 'YES', 'Sofa Width', '＜2000mm', 'Filling', 'sponge', 'Fabric', 'Composite Fabrics', 'is_customized', 'Yes', 'General Use', 'Home Furniture', 'Specific Use', 'Living Room Sofa', 'With Storage', 'Yes', 'Origin', 'Mainland China', 'Style', 'Minimalist Modern', 'Size', '1700cm', 'Type', 'Living Room Furniture', 'Combination', 'SINGLE', 'Material', 'Fabric', 'Appearance', 'Modern Style', 'CN', 'Hebei', 'Style', 'SOFA BED']"
Nordic Modern Single Sofa Small-sized Dual-use Tatami for Living Room Bedroom Leisure Chairs Comfortable Furniture 60x60x40cm,US $88.46,"https://ae-pic-a1.aliexpress-media.com/kf/Sb3b647b30c344f0bbbd73e503adb08bdH.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sf8ad58c902e646279c0155f9b2066e37J.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sf5c7b013ed434cc1aa1074fde0fe801aI.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S537b82c7831a4848964ae9e8b5b14403x.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sfc3415785c0043ffb78931d7c5a05b8eB.jpg_220x220q75.jpg_.avif","['Hign-concerned Chemical', 'None', 'Installation Method', 'Assembly', 'Sofa Width', '＜2000mm', 'Filling', 'sponge', 'Fabric', 'Velvet', 'General Use', 'Home Furniture', 'Specific Use', 'Living Room Sofa', 'With Storage', 'No', 'Origin', 'Mainland China', 'Style', 'Minimalist Modern', 'Type', 'Living Room Furniture', 'Material', 'Fabric', 'Appearance', 'Classical,Modern Style,Traditional,Scandinavia,Modern Morocco', 'CN', 'Guangdong', 'Style', 'SOFA BED']"
"03 Home sofa fabric, available in multiple colors, randomly send samples",US $4.16,https://ae-pic-a1.aliexpress-media.com/kf/S74262483f22741afa2cad2e81862aeddk.jpg_220x220q75.jpg_.avif,"['Hign-concerned Chemical', 'None', 'Installation Method', 'self-contained', 'Sofa Width', '＜2000mm', 'General Use', 'Home Furniture', 'Specific Use', 'Living Room Sofa', 'Origin', 'Mainland China', 'Type', 'Living Room Furniture', 'Appearance', 'Modern Style', 'CN', 'Guangdong']"
GUIG Little Monster Beanbag Couch Can Lie On The Balcony Tatami Cushion Small Bedroom Single Sofa Chair Cama Sofa Living Room,US $31.48,"https://ae-pic-a1.aliexpress-media.com/kf/S20749fbdaeff448683fff90c5fb7da51Q.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Se0553130e07a4203923f9951d97907212.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S669c1e59b6a749338985b12bc44721f0y.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S29475944ed54492ab673c51cb2fdd4b4V.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Se3eda266ed3d4e3fbea200ec3054c872x.jpg_220x220q75.jpg_.avif","['Hign-concerned Chemical', 'None', 'Installation Method', 'self-contained', 'is_SofaBed', 'YES', 'Sofa Width', '＜2000mm', 'Filling', 'sponge', 'Fabric', 'Hemp', 'is_customized', 'Yes', 'Model Number', 'GUIG073', 'General Use', 'Home Furniture', 'Specific Use', 'Living Room Sofa', 'With Storage', 'No', 'Origin', 'Mainland China', 'Style', 'Minimalist Modern', 'Brand Name', 'GUIG', 'Material', 'Fabric', 'Appearance', 'Modern Style', 'CN', 'Zhejiang', 'Style', 'L-shaped', 'SKU', 'GUIG073']"
Luxury Italian living room sofas modular Electric Recliner sofa bed Multi-functional leather home theater sofa l shape furniture,"US $1,373.13","https://ae-pic-a1.aliexpress-media.com/kf/S76d3c50a75934a2dbdc360587a243f01s.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S76d3c50a75934a2dbdc360587a243f01s.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sa257765d415d4aa5b90ad96c4f712209M.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S778ba7d7fb2a4616a559034fb35c6e04r.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S2c45c759cd07402bb134420074998b97A.jpg_220x220q75.jpg_.avif","['Hign-concerned Chemical', 'None', 'Installation Method', 'Assembly', 'is_SofaBed', 'YES', 'Sofa Width', '＜2000mm', 'Filling', 'sponge', 'is_customized', 'Yes', 'Model Number', 'X-201', 'General Use', 'Home Furniture', 'Specific Use', 'Living Room Sofa', 'Origin', 'Mainland China', 'Style', 'Minimalist Modern', 'Brand Name', 'KOMBAT', 'Type', 'Living Room Furniture', 'Combination', 'L-shaped', 'Material', 'Genuine Leather', 'Appearance', 'Modern Style', 'CN', 'Tianjin', 'Style', 'Corner Sofa']"
Modern Smart Electric Sofa Bed Nordic Luxury Reclining Retractable Living Room Sofa Lazy Puff Home Furniture Sofa Cama FYRS,"US $2,512.25","https://ae-pic-a1.aliexpress-media.com/kf/S9375d7e03f584210bbeb068a5453470eU.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S9375d7e03f584210bbeb068a5453470eU.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sa1db8f31cbb249889e2a1071b62362dei.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S8aabad3dc60d432dbceddc05b63b89e5N.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sdc57db663c8349d188f76944b2cc18205.jpg_220x220q75.jpg_.avif","['Hign-concerned Chemical', 'None', 'Installation Method', 'self-contained', 'Sofa Width', '2000mm~2400mm,＞2400mm', 'Filling', 'Emulsion', 'Fabric', 'Synthetic leather', 'General Use', 'Home Furniture', 'Specific Use', 'Living Room Sofa', 'Origin', 'Mainland China', 'Style', 'Minimalist Modern', 'Type', 'Living Room Furniture', 'Material', 'Wood', 'Appearance', 'Modern Style,Scandinavia,Modern Morocco', 'CN', 'Guangdong', 'Place Of Origin', 'CN', 'Style', 'SOFA BED']"
Bauhaus LC3 Leather Single Sofa Small Living Room Casual Down Italian Minimalist Single Double Straight Row Sofa Chair Furniture,US $431.36,"https://ae-pic-a1.aliexpress-media.com/kf/S94eb52dc2eac4013aa6a42d18db3dffdO.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S94eb52dc2eac4013aa6a42d18db3dffdO.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S189eaee0c44040dfac28da76bc4361f9Y.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S5dbf1309bfb64f5ea0b5cc9ef49ff4f5a.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S402f753a963b4deeb320b1357acf5ebcV.jpg_220x220q75.jpg_.avif","['Hign-concerned Chemical', 'None', 'Installation Method', 'self-contained', 'Sofa Width', '＜2000mm', 'Fabric', 'Composite Fabrics', 'General Use', 'Home Furniture', 'Specific Use', 'Living Room Sofa', 'Origin', 'Mainland China', 'Type', 'Living Room Furniture', 'Appearance', 'Modern Style', 'CN', 'Guangdong', 'Leather material', 'first layer dermis', 'Filler hardness', 'Moderate softness and hardness', 'Structural process', 'Leather Art', 'filler', 'sponge + down', 'Sofa combination', 'straight row']"
"Caterpillar Internet celebrity lazy sofa reclining sleepable bedroom balcony tatami single sofa ins wind sofa, 99% praise",US $174.76,"https://ae-pic-a1.aliexpress-media.com/kf/Sdd310fa7f6ab4916aac368f80351eaf8Z.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S2a35245d55624cc7ac38cc1d381d7585N.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sa077bb1f78344075aec389036382acd1t.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sc97dd3f7a35f4143ae427ef90a808cd2j.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sfd9ac6e88afd46adbda7e6c4bf81d11d0.jpg_220x220q75.jpg_.avif","['Hign-concerned Chemical', 'None', 'Installation Method', 'self-contained', 'is_SofaBed', 'YES', 'Sofa Width', '＜2000mm', 'Filling', 'sponge', 'Fabric', 'Composite Fabrics', 'is_customized', 'Yes', 'Model Number', 'sf25113', 'General Use', 'Home Furniture', 'Specific Use', 'Living Room Sofa', 'With Storage', 'Yes', 'Origin', 'Mainland China', 'Style', 'Minimalist Modern', 'Brand Name', 'YQXH', 'Size', '70X90X85cm/70X93X95cm', 'Type', 'Living Room Furniture', 'Combination', 'SINGLE', 'Material', 'Genuine Leather', 'Appearance', 'Modern Style,Scandinavia,Modern Morocco', 'CN', 'Sichuan', 'Place Of Origin', 'China', 'Style', 'SOFA BED', 'Pattern Type', 'solid color', 'brand', 'Other home', 'Finish fabric', 'microfiber leather', 'filler', 'sponge', 'Lazy sofa frame material', 'other', 'Whether to support customization', 'Customization is not supported.', 'Is it removable and washable?', 'removable and washable', 'style', 'Simple and modern', 'Applicable number of people', '1 person', 'pattern', 'solid color', 'Sofa cover material', 'Suede', 'Is there a liner?', 'It has a liner.', 'Is it packaged?', 'whole package', 'place of origin', 'Chinese mainland', 'place of delivery', 'Shandong Province']"
