Product Name,Price,Product Image,Produkttypen,Bitte beachten Sie,Für,Obermaterialien,Schuhsohle,Komforteigenschaften,Ausstattungen,Schuhtechnologie,Verschluss,Innenausstattung,Siegel,Serie,Obermaterial,Innenfutter,Ausstattung,Produkttyp,vegan,Innenausstattungen,Schuhtechnologien,Farbe,Stil,Serien,Stile,Bemerkung,Schuhweite,Muster,Verschlüsse,Farben
Nike Court Vision Low Next Nature,"40,92 €",https://cdn.idealo.com/folder/Product/201579/7/201579788/s1_produktbild_gross/nike-court-vision-low-next-nature.jpg,"Low-Top-Sneaker, Retro-Sneaker",,Herren,,Gummi,atmungsaktiv,,,mit Schnürung,,,Nike Court,Synthetik,Textil,Overlays,,,,,,,,,,,,,
New Balance 9060,"99,99 €",https://cdn.idealo.com/images/product/202134844/de_DE/0/gross.jpg,,Die Angebote können verschiedene Größen beinhalten.,Unisex,"Leder, Veloursleder, Mesh",Gummi,atmungsaktiv,,New Balance ABZORB,mit Schnürung,,"Sustainable Apparel Coalition, Leather Working Group, Better Cotton Initiative, Fair Labor Association",,,,,Low-Top-Sneaker,,,,,,,,,,,,
Adidas VL Court Bold Damen,"49,99 €",https://cdn.idealo.com/folder/Product/204318/0/204318059/s1_produktbild_gross/adidas-vl-court-bold-damen.jpg,"Plateau-Sneaker, Low-Top-Sneaker",Die Angebote können verschiedene Größen beinhalten.,Damen,,Gummi,,,,mit Schnürung,,,,Leder,Textil,,,,,,,,,,,,,,
Nike Air Max LTD 3,"85,00 €",https://cdn.idealo.com/folder/Product/4742/7/4742787/s1_produktbild_gross/nike-air-max-ltd-3.jpg,"Retro-Sneaker, Low-Top-Sneaker",Die Angebote können verschiedene Größen beinhalten.,Herren,"Leder, Kunstleder",Gummi,atmungsaktiv,"gepolsterte Zunge, Gummi-Zehenkappe",Nike Air Sole (Dämpfung),mit Schnürung,,,,,,,,,,,,,"Nike Air, Nike Air Max",,,,,,
New Balance 530 white/natural indigo,"88,49 €",https://cdn.idealo.com/folder/Product/200192/7/200192714/s1_produktbild_gross/new-balance-530-white-natural-indigo.jpg,"Retro-Sneaker, Low-Top-Sneaker, Chunky-Sneaker",Die Angebote können verschiedene Größen beinhalten.,Unisex,"Textil, Mesh",Kautschuk,"atmungsaktiv, gepolstert","Zuglasche, verstärkte Schuhspitze",New Balance ABZORB,mit Schnürung,gepolsterter Knöchelbereich,"Sustainable Apparel Coalition, Leather Working Group, Better Cotton Initiative, Fair Labor Association",,,,,,,,,weiß,Casual,,,,,,,
Nike Air Force 1 '07 (CW2288-111) white/white,"94,99 €",https://cdn.idealo.com/folder/Product/201420/9/201420905/s1_produktbild_gross/nike-air-force-1-07-cw2288-111-white-white.jpg,"Retro-Sneaker, Low-Top-Sneaker",Die Angebote können verschiedene Größen beinhalten.,Herren,,Kautschuk,"atmungsaktiv, leichtgewichtig, gepolstert",,Nike Air Sole (Dämpfung),mit Schnürung,gepolsterter Knöchelbereich,,Nike Air Force 1,Leder,Textil,gepolsterte Zunge,,,,,weiß,,,"All White, Casual",,,,,
New Balance 2002R,"63,74 €",https://cdn.idealo.com/folder/Product/202005/7/202005713/s1_produktbild_gross/new-balance-2002r.jpg,"Chunky-Sneaker, Low-Top-Sneaker",Die Angebote können verschiedene Größen beinhalten.,Unisex,,Gummi,gepolstert,,New Balance ABZORB,mit Schnürung,,"Sustainable Apparel Coalition, Leather Working Group, Better Cotton Initiative, Fair Labor Association",,,"Mesh, Textil",verstärkte Schuhspitze,,,,,,,,,,,,,
New Balance 550,"41,99 €",https://cdn.idealo.com/folder/Product/201646/1/201646117/s1_produktbild_gross/new-balance-550.jpg,"Retro-Sneaker, Winter-Sneaker, Low-Top-Sneaker",Die Angebote können verschiedene Größen beinhalten.,Herren,"Leder, Synthetik, Mesh",Gummi,gefüttert,,,mit Schnürung,gepolsterter Knöchelbereich,"Sustainable Apparel Coalition, Leather Working Group, Fair Labor Association, Better Cotton Initiative",New Balance 550,,Textil,,,,,,,,,,,,,,
New Balance 740 Unisex,"83,96 €",https://cdn.idealo.com/folder/Product/205032/8/205032894/s1_produktbild_gross/new-balance-740-unisex.jpg,,Die Angebote können verschiedene Größen beinhalten.,,,Gummi,gedämpft,,,mit Schnürung,,,,Mesh,Mesh,,Low-Top-Sneaker,,,,,,,,,,,,
Adidas Samba OG ftwr white/core black/clear granite,"79,00 €",https://cdn.idealo.com/folder/Product/6200/0/6200012/s1_produktbild_gross/adidas-samba-og-ftwr-white-core-black-clear-granite.jpg,"Retro-Sneaker, Low-Top-Sneaker",Die Angebote können verschiedene Größen beinhalten.,Unisex,,Gummi,gepolstert,,,mit Schnürung,Ortholite Einlegesohle,"Certification LEED, Leather Working Group, Fair Labor Association, Better Cotton Initiative, Fair Wear Foundation",Adidas Samba,Leder,Synthetik,,,,,,weiß,,,,,,,,
Nike V2K Run,"59,99 €",https://cdn.idealo.com/folder/Product/204607/1/204607152/s1_produktbild_gross/nike-v2k-run.jpg,,Die Angebote können verschiedene Größen beinhalten.,,,,,,,mit Schnürung,,"Certification LEED, Sustainable Apparel Coalition, Leather Working Group, Fair Labor Association, Better Cotton Initiative",,,,,Low-Top-Sneaker,,,,,,,,,,,,
Asics Gel-Quantum 360 VIII,"84,99 €",https://cdn.idealo.com/folder/Product/204128/2/204128270/s1_produktbild_gross/asics-gel-quantum-360-viii.jpg,"Low-Top-Sneaker, Retro-Sneaker",Die Angebote können verschiedene Größen beinhalten.,Unisex,,,atmungsaktiv,,,mit Schnürung,,"Sustainable Apparel Coalition, Leather Working Group, Better Cotton Initiative, bluesign",Asic Gel-Quantum,Mesh,,,,,,"FF BLAST ECO, TRUSSTIC, DIVISION GEL",,,,,,,,,
New Balance GM 500,"49,99 €",https://cdn.idealo.com/folder/Product/4042/6/4042617/s1_produktbild_gross/new-balance-gm-500.jpg,,Die Angebote können verschiedene Größen beinhalten.,Herren,"Textil, Synthetik, Mesh",Gummi,,,,mit Schnürung,,"Leather Working Group, Better Cotton Initiative, Sustainable Apparel Coalition, Fair Labor Association",New Balance 500,,,,Low-Top-Sneaker,,,,,,,,,,,,
AUTRY Medalist Low (AULM),"127,49 €",https://cdn.idealo.com/folder/Product/201827/3/201827353/s1_produktbild_gross/autry-medalist-low-aulm.jpg,,Die Angebote können verschiedene Größen beinhalten.,Herren,"Leder, Veloursleder",Gummi,,,,mit Schnürung,,,,,,,Low-Top-Sneaker,,,,,,,,,,,,
Converse Chuck Taylor All Star Ox,"32,20 €",https://cdn.idealo.com/folder/Product/2867/5/2867512/s1_produktbild_gross/converse-chuck-taylor-all-star-ox.jpg,,Die Angebote können verschiedene Größen beinhalten.,,"Canvas, Textil",Gummi,"flexibel, atmungsaktiv",,,mit Schnürung,,,Converse All Star,,Textil,Overlays,Low-Top-Sneaker,,,,,,,,"Schnürart: 7-Loch-Schnürung, 6-Loch-Schnürung / Ausstattung: Belüftungsösen, Metallösen",,,,
Skechers Graceful - Get Connected,"23,96 €",https://cdn.idealo.com/folder/Product/6772/2/6772275/s1_produktbild_gross/skechers-graceful-get-connected.jpg,,Die Angebote können verschiedene Größen beinhalten.,Damen,,Synthetik,"atmungsaktiv, gepolstert",,Skechers Memory Foam,mit Schnürung,Memory-Foam,Certification LEED,,Mesh,Textil,Zuglasche,Low-Top-Sneaker,,,,,,,,,,,,
Puma Suede XL Unisex,"30,00 €",https://cdn.idealo.com/folder/Product/203832/6/203832668/s1_produktbild_gross/puma-suede-xl-unisex.jpg,,Die Angebote können verschiedene Größen beinhalten.,Unisex,,Gummi,,,,mit Schnürung,,Leather Working Group,Puma Suede,Veloursleder,Textil,,Low-Top-Sneaker,nein,,,,,,,,,,,
Adidas SL 72 RS,"50,99 €",https://cdn.idealo.com/folder/Product/203708/8/203708839/s1_produktbild_gross/adidas-sl-72-rs.jpg,"Low-Top-Sneaker, Retro-Sneaker",Die Angebote können verschiedene Größen beinhalten.,,"Leder, Nylon",Gummi,,"Zehenschutzkappe, verstärkte Schuhspitze",,mit Schnürung,gepolsterter Knöchelbereich,"Certification LEED, Leather Working Group, Fair Labor Association, Better Cotton Initiative, Fair Wear Foundation",,,Textil,,,,,,,,,,,,,,
Nike P-6000,"79,00 €",https://cdn.idealo.com/folder/Product/6610/2/6610284/s1_produktbild_gross/nike-p-6000.jpg,"Low-Top-Sneaker, Retro-Sneaker, Chunky-Sneaker",Die Angebote können verschiedene Größen beinhalten.,,"Textil, Synthetik, Leder",Gummi,,,,mit Schnürung,,,,,Textil,,,,,,,,,,,,,,
Asics Gel-Kayano 14,"106,24 €",https://cdn.idealo.com/folder/Product/201069/0/201069077/s1_produktbild_gross/asics-gel-kayano-14.jpg,"Retro-Sneaker, Low-Top-Sneaker",Die Angebote können verschiedene Größen beinhalten.,,,"Gummi, EVA",atmungsaktiv,,,mit Schnürung,gepolsterter Knöchelbereich,,,,Textil,Overlays,,,,,,,,,,,,,
New Balance 327,"76,95 €",https://cdn.idealo.com/folder/Product/200648/4/200648439/s1_produktbild_gross/new-balance-327.jpg,,Die Angebote können verschiedene Größen beinhalten.,Herren,"Nylon, Veloursleder",,,,,mit Schnürung,,"Sustainable Apparel Coalition, Leather Working Group, Better Cotton Initiative, Fair Labor Association",,,,,Low-Top-Sneaker,,,,,,,,,,,,
Converse Chuck Taylor All Star Lift High Top black/white/white,"51,99 €",https://cdn.idealo.com/folder/Product/6275/5/6275566/s1_produktbild_gross/converse-chuck-taylor-all-star-lift-high-top-black-white-white.jpg,,Die Angebote können verschiedene Größen beinhalten.,Damen,"Textil, Canvas",Gummi,"flexibel, atmungsaktiv",,,mit Schnürung,,,Converse All Star,,Textil,Gummi-Zehenkappe,Plateau-Sneaker,,,,schwarz,,,,,,,,
Skechers Summits - High Range,"48,95 €",https://cdn.idealo.com/folder/Product/202482/6/202482613/s1_produktbild_gross/skechers-summits-high-range.jpg,,Die Angebote können verschiedene Größen beinhalten.,Herren,,Gummi,,,Skechers Air-Cooled Memory Foam®,ohne Verschluss,Memory-Foam,,,Synthetik,Textil,Zuglasche,Slip-ons,ja,,,,,,,,,,,
Adidas Samba XLG,"72,74 €",https://cdn.idealo.com/folder/Product/204390/2/204390283/s1_produktbild_gross/adidas-samba-xlg.jpg,"Low-Top-Sneaker, Retro-Sneaker",,Unisex,,Gummi,,,,mit Schnürung,,"Certification LEED, Leather Working Group, Fair Labor Association, Better Cotton Initiative, Fair Wear Foundation",Adidas Samba,,Leder,gepolsterte Zunge,,,,,,,,,,,,,
Nike Air Max 270,"99,90 €",https://cdn.idealo.com/folder/Product/6065/6/6065629/s1_produktbild_gross/nike-air-max-270.jpg,,Die Angebote können verschiedene Größen beinhalten.,,"Mesh, Synthetik",Gummi,"sockenähnliche Passform, atmungsaktiv",,Nike Air Sole (Dämpfung),ohne Verschluss,,,Nike Air Max 270,,Textil,Zuglasche,Low-Top-Sneaker,,,,,,,,,,,,
New Balance 1906R,"83,29 €",https://cdn.idealo.com/folder/Product/202634/8/202634892/s1_produktbild_gross/new-balance-1906r.jpg,"Retro-Sneaker, Low-Top-Sneaker",Die Angebote können verschiedene Größen beinhalten.,Herren,"Synthetik, Mesh",Gummi,atmungsaktiv,"verstärkte Schuhspitze, gepolsterte Zunge",New Balance ABZORB,mit Schnürung,,"Sustainable Apparel Coalition, Leather Working Group, Fair Labor Association, Better Cotton Initiative",,,Textil,,,,,,,,,,,,,,
Adidas Campus 00s core black/ftwr white/off white,"74,99 €",https://cdn.idealo.com/folder/Product/202286/4/202286453/s1_produktbild_gross/adidas-campus-00s-core-black-ftwr-white-off-white.jpg,,Die Angebote können verschiedene Größen beinhalten.,Herren,,Kautschuk,leichtgewichtig,,,mit Schnürung,,"Certification LEED, Fair Wear Foundation, Leather Working Group, Better Cotton Initiative, Fair Labor Association",Adidas Campus,Veloursleder,Textil,,Low-Top-Sneaker,nein,,,schwarz,,,,,,,,
Nike Air Max SC,"57,17 €",https://cdn.idealo.com/folder/Product/201395/3/201395360/s1_produktbild_gross/nike-air-max-sc.jpg,,Die Angebote können verschiedene Größen beinhalten.,Herren,"Leder, Mesh, Textil",Gummi,atmungsaktiv,,Nike Air Sole (Dämpfung),mit Schnürung,,,Nike Air Max,,,,Low-Top-Sneaker,,,,,,,,,,,,
New Balance 574 Women,"54,99 €",https://cdn.idealo.com/folder/Product/3833/7/3833713/s1_produktbild_gross/new-balance-574-women.jpg,"Retro-Sneaker, Low-Top-Sneaker",Die Angebote können verschiedene Größen beinhalten.,Damen,,Gummi,atmungsaktiv,,,mit Schnürung,,"Sustainable Apparel Coalition, Fair Labor Association",New Balance 574,,,verstärkte Schuhspitze,,,,"New Balance ENCAP, New Balance SL-2 (Schuhleisten)",,,,,,,,,
Adidas Campus 00s Women,"67,99 €",https://cdn.idealo.com/folder/Product/202286/4/202286444/s1_produktbild_gross/adidas-campus-00s-women.jpg,,Die Angebote können verschiedene Größen beinhalten.,Damen,,Gummi,,,,mit Schnürung,,"Certification LEED, Leather Working Group, Fair Labor Association, Better Cotton Initiative, Fair Wear Foundation",Adidas Campus,Veloursleder,,,Low-Top-Sneaker,,,,,,,,,normal,,,
Nike Initiator Damen,"55,15 €",https://cdn.idealo.com/folder/Product/203810/8/203810831/s1_produktbild_gross/nike-initiator-damen.jpg,,,Damen,,Gummi,,,,,,,,Kunstleder,,,Low-Top-Sneaker,,,,,,,,,,,,
New Balance 530 munsell white/silver metallic,"88,49 €",https://cdn.idealo.com/folder/Product/200598/1/200598185/s1_produktbild_gross/new-balance-530-munsell-white-silver-metallic.jpg,"Retro-Sneaker, Low-Top-Sneaker, Chunky-Sneaker",Die Angebote können verschiedene Größen beinhalten.,Unisex,"Textil, Mesh",Kautschuk,"atmungsaktiv, gepolstert","Zuglasche, verstärkte Schuhspitze",New Balance ABZORB,mit Schnürung,gepolsterter Knöchelbereich,"Sustainable Apparel Coalition, Leather Working Group, Better Cotton Initiative, Fair Labor Association",,,,,,,,,weiß,,,,,,,,
Adidas Stan Smith,"19,32 €",https://cdn.idealo.com/folder/Product/401/9/401928/s1_produktbild_gross/adidas-stan-smith.jpg,"Retro-Sneaker, Low-Top-Sneaker",Die Angebote können verschiedene Größen beinhalten.,,,Gummi,,,,mit Schnürung,,,Adidas Stan Smith,,Textil,,,,,,,,,,,,,,
Nike Initiator,"55,99 €",https://cdn.idealo.com/folder/Product/203707/6/203707644/s1_produktbild_gross/nike-initiator.jpg,,Die Angebote können verschiedene Größen beinhalten.,Herren,"Textil, Synthetik",Gummi,"gepolstert, atmungsaktiv",,,mit Schnürung,,,,,,verstärkte Schuhspitze,Low-Top-Sneaker,,,,,,,,,,,,
New Balance RC42,"44,97 €",https://cdn.idealo.com/folder/Product/204157/1/204157100/s1_produktbild_gross/new-balance-rc42.jpg,"Retro-Sneaker, Low-Top-Sneaker",Die Angebote können verschiedene Größen beinhalten.,Unisex,,Gummi,,,,mit Schnürung,,,,,Textil,,,,,,,,,,,,,,
Adidas VL Court 3.0,"19,32 €",https://cdn.idealo.com/folder/Product/203524/5/203524507/s1_produktbild_gross/adidas-vl-court-3-0.jpg,,Die Angebote können verschiedene Größen beinhalten.,Herren,"Leder, Veloursleder","Gummi, Synthetik",gepolstert,,,mit Schnürung,,,,,Textil,verstärkte Schuhspitze,Low-Top-Sneaker,,,,,,,,,,,,
Nike Air Max 97,"116,28 €",https://cdn.idealo.com/folder/Product/362/6/362602/s1_produktbild_gross/nike-air-max-97.jpg,,Die Angebote können verschiedene Größen beinhalten.,,"Synthetik, Mesh",Gummi,,,,mit Schnürung,,,Nike Air Max 97,,Textil,Zuglasche,Low-Top-Sneaker,,,,,,,,,,,,
Adidas Campus 00s grey three/ftw white/off white,"84,90 €",https://cdn.idealo.com/folder/Product/202286/4/202286447/s1_produktbild_gross/adidas-campus-00s-grey-three-ftw-white-off-white.jpg,,Die Angebote können verschiedene Größen beinhalten.,Herren,,Kautschuk,leichtgewichtig,,,mit Schnürung,,"Certification LEED, Leather Working Group, Better Cotton Initiative, Fair Labor Association, Fair Wear Foundation",Adidas Campus,Veloursleder,Textil,,Low-Top-Sneaker,nein,,,grau,,,,,,,,
Nike Air Max 270 Women,"80,00 €",https://cdn.idealo.com/folder/Product/6065/5/6065514/s1_produktbild_gross/nike-air-max-270-women.jpg,,Die Angebote können verschiedene Größen beinhalten.,Damen,"Mesh, Synthetik",Gummi,sockenähnliche Passform,,,ohne Verschluss,,,Nike Air Max 270,,Textil,Zuglasche,Low-Top-Sneaker,,,,,,,,,,,,
Adidas VL Court 3.0 Women,"19,32 €",https://cdn.idealo.com/folder/Product/203524/5/203524511/s1_produktbild_gross/adidas-vl-court-3-0-women.jpg,,Die Angebote können verschiedene Größen beinhalten.,Damen,"Veloursleder, Glattleder",Gummi,gepolstert,,,mit Schnürung,,,,,Textil,verstärkte Schuhspitze,Low-Top-Sneaker,,,,,,,,,,,,
Nike Dunk Low Women,"49,99 €",https://cdn.idealo.com/folder/Product/203204/8/203204860/s1_produktbild_gross/nike-dunk-low-women.jpg,"Low-Top-Sneaker, Retro-Sneaker",Die Angebote können verschiedene Größen beinhalten.,Damen,"Textil, Leder, Synthetik",Gummi,"gefüttert, leichtgewichtig","Overlays, gepolsterte Zunge",,mit Schnürung,gepolsterter Knöchelbereich,"Certification LEED, Sustainable Apparel Coalition, Leather Working Group, Fair Labor Association, Better Cotton Initiative",Nike Dunk,,Textil,,,nein,,,,,,,,,,,
Adidas Samba,"64,79 €",https://cdn.idealo.com/folder/Product/401/9/401967/s1_produktbild_gross/adidas-samba.jpg,"Retro-Sneaker, Low-Top-Sneaker",Die Angebote können verschiedene Größen beinhalten.,Herren,"Leder, Synthetik",Gummi,,,,mit Schnürung,,"Certification LEED, Leather Working Group, Fair Labor Association, Better Cotton Initiative, Fair Wear Foundation",Adidas Samba,,Textil,verstärkte Schuhspitze,,,,,,,,,,,,,
Nike Air Presto,"79,00 €",https://cdn.idealo.com/folder/Product/4779/4/4779414/s1_produktbild_gross/nike-air-presto.jpg,,Die Angebote können verschiedene Größen beinhalten.,Unisex,"Synthetik, Mesh",Gummi,"atmungsaktiv, sockenähnliche Passform","Reflektoren, Overlays, Zuglasche",,mit Schnürung,,,Nike Air,,,,Low-Top-Sneaker,,,,,,,,,,,,
Adidas Gazelle Bold Originals Women bliss pink/dark blue/gold metallic,"59,99 €",https://cdn.idealo.com/folder/Product/203328/4/203328469/s1_produktbild_gross/adidas-gazelle-bold-originals-women-pink-glow-victory-blue-gum.jpg,"Low-Top-Sneaker, Plateau-Sneaker",Die Angebote können verschiedene Größen beinhalten.,Damen,,Gummi,atmungsaktiv,,,mit Schnürung,,"Certification LEED, Leather Working Group, Fair Labor Association, Better Cotton Initiative, Fair Wear Foundation",Adidas Gazelle,Veloursleder,Synthetik,,,,,,rosa,,,,,,,,
Nike Air Max SC Women,"53,95 €",https://cdn.idealo.com/folder/Product/201255/7/201255775/s1_produktbild_gross/nike-air-max-sc-women.jpg,,,Damen,"Leder, Mesh, Textil",Gummi,"atmungsaktiv, gepolstert",,Nike Air Sole (Dämpfung),mit Schnürung,,,Nike Air Max,,Textil,,Retro-Sneaker,,,,,,,,,,,,
Adidas UltraBOOST 1.0,"102,90 €",https://cdn.idealo.com/folder/Product/202265/9/202265911/s1_produktbild_gross/adidas-ultraboost-1-0.jpg,,Die Angebote können verschiedene Größen beinhalten.,Herren,,Kautschuk,"leichtgewichtig, atmungsaktiv, flexibel",,Adidas Boost,mit Schnürung,,"Certification LEED, Leather Working Group, Better Cotton Initiative, Fair Labor Association",,Primeknit,,Zuglasche,Low-Top-Sneaker,,,,,,,,,,unifarben,,
Asics Gel-NYC (1201A789) cream/oyster grey,"127,08 €",https://cdn.idealo.com/folder/Product/202763/5/202763585/s1_produktbild_gross/asics-gel-nyc-1201a789-cream-oyster-grey.jpg,,Die Angebote können verschiedene Größen beinhalten.,,,,,,,,,"bluesign, Sustainable Apparel Coalition, Leather Working Group, Better Cotton Initiative",,,,,Low-Top-Sneaker,,,,grau,,,,,,,,
Nike Air Force 1 '07 Women,"44,38 €",https://cdn.idealo.com/folder/Product/1511/5/1511583/s1_produktbild_gross/nike-air-force-1-07-women.jpg,"Low-Top-Sneaker, Retro-Sneaker",Die Angebote können verschiedene Größen beinhalten.,Damen,,Gummi,,,,mit Schnürung,,,Nike Air Force 1,Leder,Synthetik,,,,,,,,,,,,,,
Adidas Sambae Women,"61,59 €",https://cdn.idealo.com/folder/Product/204390/3/204390322/s1_produktbild_gross/adidas-sambae-women.jpg,,Die Angebote können verschiedene Größen beinhalten.,Damen,"Nubuk, Leder",Gummi,,,,mit Schnürung,,,Adidas Samba,,Textil,,Low-Top-Sneaker,nein,,,,,,,,normal,,,
New Balance 997H,"45,95 €",https://cdn.idealo.com/folder/Product/6466/3/6466325/s1_produktbild_gross/new-balance-997h.jpg,"Low-Top-Sneaker, Retro-Sneaker",Die Angebote können verschiedene Größen beinhalten.,,"Mesh, Synthetik, Veloursleder",Gummi,"leichtgewichtig, atmungsaktiv","Zuglasche, Gummi-Zehenkappe, Overlays",New Balance ENCAP,mit Schnürung,gepolsterter Knöchelbereich,"Sustainable Apparel Coalition, Leather Working Group, Better Cotton Initiative, Fair Labor Association",New Balance 997,,,,,,,,,,,,,,,,
Skechers Uno - Stand On Air (52458),"44,99 €",https://cdn.idealo.com/folder/Product/200833/7/200833707/s1_produktbild_gross/skechers-uno-stand-on-air-52458.jpg,,Die Angebote können verschiedene Größen beinhalten.,Herren,,Gummi,gepolstert,,,mit Schnürung,,,,Synthetik,"Synthetik, Textil",,Low-Top-Sneaker,,"gepolsterter Knöchelbereich, Memory-Foam, Wechselfußbett",,,,,,,,unifarben,,
Vans Knu Skool,"44,90 €",https://cdn.idealo.com/folder/Product/202707/7/202707760/s1_produktbild_gross/vans-knu-skool.jpg,"Low-Top-Sneaker, Retro-Sneaker",Die Angebote können verschiedene Größen beinhalten.,,"Textil, Canvas, Veloursleder",Gummi,,"Zuglasche, gepolsterte Zunge",,mit Schnürung,,,Vans Old Skool,,Textil,,,,,,,,,,,,,,
Converse Chuck 70 Vintage Canvas,"39,99 €",https://cdn.idealo.com/folder/Product/202138/1/202138144/s1_produktbild_gross/converse-chuck-70-vintage-canvas.jpg,"Retro-Sneaker, High-Top-Sneaker",Die Angebote können verschiedene Größen beinhalten.,Unisex,,Gummi,"flexibel, atmungsaktiv",,,mit Schnürung,Ortholite Einlegesohle,,Converse Chuck 70,Canvas,Mesh,,,,,,,,,,,,,,
Puma Club II Era,"28,02 €",https://cdn.idealo.com/folder/Product/204518/7/204518773/s1_produktbild_gross/puma-club-ii-era.jpg,,Die Angebote können verschiedene Größen beinhalten.,Unisex,"Wildleder, Leder",Gummi,mit Einlegesohle,,,mit Schnürung,,Leather Working Group,,,Textil,,Low-Top-Sneaker,nein,,,,,,,,,,,
On THE ROGER Advantage,"103,99 €",https://cdn.idealo.com/folder/Product/201231/7/201231704/s1_produktbild_gross/on-the-roger-advantage.jpg,,Die Angebote können verschiedene Größen beinhalten.,Herren,"Leder, Synthetik, Mesh, Textil","Gummi, Synthetik",,,,,gepolsterter Knöchelbereich,,,,Textil,,Low-Top-Sneaker,,,,,,,,,,,"mit Schnürung, ohne Verschluss",
Reebok Classic Leather (GY0955) Core Black/Core Black/Pure Grey 5,"53,50 €",https://cdn.idealo.com/folder/Product/201958/4/201958499/s1_produktbild_gross/reebok-classic-leather-gy0955-core-black-core-black-pure-grey-5.jpg,"Retro-Sneaker, Low-Top-Sneaker",Die Angebote können verschiedene Größen beinhalten.,,,Gummi,flexibel,,,mit Schnürung,Wechselfußbett,,Reebok Classic Leather,Leder,Textil,Overlays,,,,,schwarz,All Black,,,,,,,
Polo Ralph Lauren Masters CRT,"93,99 €",https://cdn.idealo.com/folder/Product/203591/8/203591835/s1_produktbild_gross/polo-ralph-lauren-masters-crt.jpg,,,Herren,,Synthetik,,,,,,,,Leder,,,Low-Top-Sneaker,,,,,,,,,,,,
Paul Green Platform Trainers (5017),"81,50 €",https://cdn.idealo.com/folder/Product/201077/3/201077324/s1_produktbild_gross/paul-green-platform-trainers-5017.jpg,"Plateau-Sneaker, Low-Top-Sneaker",Die Angebote können verschiedene Größen beinhalten.,Damen,,Gummi,"leichtgewichtig, gepolstert",,,mit Schnürung,gepolsterter Knöchelbereich,,,Leder,Leder,Zuglasche,,nein,,,,,,,,,,,
Asics GEL-1130 Women (1202A164),"67,49 €",https://cdn.idealo.com/folder/Product/201581/3/201581370/s1_produktbild_gross/asics-gel-1130-women-1202a164.jpg,,Die Angebote können verschiedene Größen beinhalten.,Damen,"Synthetik, Mesh",Gummi,atmungsaktiv,,,mit Schnürung,,"bluesign, Sustainable Apparel Coalition, Leather Working Group, Better Cotton Initiative",,,Textil,Overlays,Low-Top-Sneaker,,,,,,,,,,,,
Nike Vomero Zoom 5,"79,99 €",https://cdn.idealo.com/folder/Product/202666/9/202666971/s1_produktbild_gross/nike-vomero-zoom-5.jpg,,Die Angebote können verschiedene Größen beinhalten.,Unisex,"Synthetik, Textil, Mesh",Gummi,,,Nike Zoom,,,"Certification LEED, Sustainable Apparel Coalition, Leather Working Group, Fair Labor Association, Better Cotton Initiative",Nike Zoom,,Mesh,verstärkte Schuhspitze,Chunky-Sneaker,,,,,,,,,,,,
Adidas NMD_R1 Primeblue,"97,00 €",https://cdn.idealo.com/folder/Product/201481/0/201481006/s1_produktbild_gross/adidas-nmd_r1-primeblue.jpg,,Die Angebote können verschiedene Größen beinhalten.,,,Gummi,"atmungsaktiv, leichtgewichtig",,,mit Schnürung,,"Certification LEED, Leather Working Group, Better Cotton Initiative, Fair Labor Association",Adidas NMD,Textil,Textil,verstärkte Schuhspitze,Low-Top-Sneaker,,,,,,,,,,,,
New Balance 574 Core black with white,"71,50 €",https://cdn.idealo.com/folder/Product/201834/3/201834385/s1_produktbild_gross/new-balance-574-core-black-with-white.jpg,"Retro-Sneaker, Low-Top-Sneaker","Der Schuh fällt klein aus., Die Angebote können verschiedene Größen beinhalten.",Herren,,Gummi,atmungsaktiv,,,mit Schnürung,,"Sustainable Apparel Coalition, Leather Working Group, Better Cotton Initiative, Fair Labor Association",New Balance 574,,Synthetik,verstärkte Schuhspitze,,,,"New Balance ENCAP, New Balance SL-2 (Schuhleisten)",schwarz,Casual,,,,,,,
Skechers Slip-ins: GO WALK Flex - Grand Entry Women (124836),"43,95 €",https://cdn.idealo.com/folder/Product/203736/2/203736232/s1_produktbild_gross/skechers-slip-ins-go-walk-flex-grand-entry-women-124836.jpg,"Low-Top-Sneaker, Slip-ons",Die Angebote können verschiedene Größen beinhalten.,Damen,"Synthetik, Mesh",Gummi,flexibel,,,ohne Verschluss,,,Skechers Go Walk,,"Mesh, Synthetik",verstärkte Schuhspitze,,,,"Skechers Air-Cooled Memory Foam®, Skechers Memory Foam",,,,,,,,,
Vans Sk8-Hi,"28,99 €",https://cdn.idealo.com/folder/Product/464/4/464499/s1_produktbild_gross/vans-sk8-hi.jpg,"Retro-Sneaker, High-Top-Sneaker",Die Angebote können verschiedene Größen beinhalten.,,,Gummi,,,,mit Schnürung,,,Vans Sk8-Hi,Textil,Textil,,,,,,,,,,,,,,
Converse Chuck Taylor All Star Hi - black (M9160),"46,50 €",https://cdn.idealo.com/folder/Product/362/9/362950/s1_produktbild_gross/converse-chuck-taylor-all-star-hi-black-m9160.jpg,,Die Angebote können verschiedene Größen beinhalten.,,"Canvas, Textil",Gummi,"flexibel, atmungsaktiv",,,mit Schnürung,,,Converse All Star,,Textil,,High-Top-Sneaker,,,,schwarz,Schwarz-Weiß,,,"Schnürart: 7-Loch-Schnürung, 8-Loch-Schnürung / Ausstattung: Belüftungsösen, Metallösen",,,,
