Product Name,Price,Product Image,Produkttypen,Bitte beachten Sie,Für,Obermaterialien,Schuhsohle,Komforteigenschaften,Ausstattungen,Schuhtechnologie,Verschluss,Innenausstattung,Siegel,Serie,Obermaterial,Innenfutter,Ausstattung,Produkttyp,vegan,Innenausstattungen,Schuhtechnologien,Farbe,Stil,Serien,Stile,Bemerkung,Schuhweite,Muster,Verschlüsse,Farben
Asics Gel 1130 (1201B019) white/black/white,"96,00 €",https://cdn.idealo.com/folder/Product/203758/0/203758036/s1_produktbild_gross/asics-gel-1130-1201b019-white-black-white.jpg,,Die Angebote können verschiedene Größen beinhalten.,Herren,,Gummi,,,,mit Schnürung,,"Sustainable Apparel Coalition, Leather Working Group, Better Cotton Initiative, bluesign",,Synthetik,,,Low-Top-Sneaker,,,,weiß,,,,,,,,
Skechers Slip-ins: Summits - Diamond Dream Women,"50,49 €",https://cdn.idealo.com/folder/Product/203729/7/203729757/s1_produktbild_gross/skechers-slip-ins-summits-diamond-dream-women.jpg,"Slip-ons, Low-Top-Sneaker",Die Angebote können verschiedene Größen beinhalten.,Damen,"Mesh, Synthetik",Synthetik,"atmungsaktiv, leichtgewichtig, flexibel",,,ohne Verschluss,Memory-Foam,,,,Textil,,,ja,,"Skechers Air-Cooled Memory Foam®, Skechers Memory Foam",,,,,,,,,
New Balance 530 Women,"60,99 €",https://cdn.idealo.com/folder/Product/4805/2/4805252/s1_produktbild_gross/new-balance-530-women.jpg,"Low-Top-Sneaker, Retro-Sneaker",Die Angebote können verschiedene Größen beinhalten.,Damen,,,,,New Balance ENCAP,mit Schnürung,,"Leather Working Group, Better Cotton Initiative, Sustainable Apparel Coalition, Fair Labor Association",,,,,,,,,,,,,,,,,
Adidas SL72 OG,"60,00 €",https://cdn.idealo.com/folder/Product/204157/0/204157031/s1_produktbild_gross/adidas-sl72-og.jpg,"Retro-Sneaker, Low-Top-Sneaker",Die Angebote können verschiedene Größen beinhalten.,Unisex,"Nylon, Wildleder",Gummi,"atmungsaktiv, leichtgewichtig","Zehenschutzkappe, verstärkte Schuhspitze",,mit Schnürung,,"Certification LEED, Leather Working Group, Fair Labor Association, Better Cotton Initiative, Fair Wear Foundation",,,Textil,,,,,,,,,,,,,,
Nike Air Jordan 1 Mid (DQ8426),"84,00 €",https://cdn.idealo.com/folder/Product/203224/6/203224632/s1_produktbild_gross/nike-air-jordan-1-mid-dq8426.jpg,"High-Top-Sneaker, Retro-Sneaker",Die Angebote können verschiedene Größen beinhalten.,Unisex,"Leder, Nubuk",Gummi,atmungsaktiv,,,mit Schnürung,,,Nike Jordan,,Textil,verstärkte Schuhspitze,,,,,,,,,,,,,
Asics Japan S,"30,79 €",https://cdn.idealo.com/folder/Product/6767/3/6767348/s1_produktbild_gross/asics-japan-s.jpg,,Die Angebote können verschiedene Größen beinhalten.,,,Gummi,"atmungsaktiv, flexibel, gepolstert",,,mit Schnürung,,"Sustainable Apparel Coalition, bluesign",,Kunstleder,Textil,,Low-Top-Sneaker,,,,,,,,,,,,
Skechers Uno (177094),"46,46 €",https://cdn.idealo.com/folder/Product/202088/7/202088760/s1_produktbild_gross/skechers-uno-177094.jpg,,Die Angebote können verschiedene Größen beinhalten.,Damen,,Gummi,gepolstert,,,mit Schnürung,Memory-Foam,,,,Textil,,Low-Top-Sneaker,,,,,,,,,normal,unifarben,,
New Balance CT302,"55,97 €",https://cdn.idealo.com/folder/Product/202064/4/202064401/s1_produktbild_gross/new-balance-ct302.jpg,"Plateau-Sneaker, Low-Top-Sneaker",Die Angebote können verschiedene Größen beinhalten.,Unisex,,Gummi,,,,mit Schnürung,,"Sustainable Apparel Coalition, Leather Working Group, Better Cotton Initiative, Fair Labor Association",,Leder,,,,,,,,,,,,,,,
Adidas Forum Low CL,"30,00 €",https://cdn.idealo.com/folder/Product/202117/0/202117040/s1_produktbild_gross/adidas-forum-low-cl.jpg,,Die Angebote können verschiedene Größen beinhalten.,Unisex,,Gummi,,,,mit Schnürung,,"Certification LEED, Leather Working Group, Fair Labor Association, Better Cotton Initiative, Fair Wear Foundation",Adidas Forum,Leder,Textil,verstärkte Schuhspitze,Low-Top-Sneaker,,,,,,,,,,,,
Nike Air Max Plus III,"129,00 €",https://cdn.idealo.com/folder/Product/6985/4/6985470/s1_produktbild_gross/nike-air-max-plus-iii.jpg,,Die Angebote können verschiedene Größen beinhalten.,Herren,"Mesh, Synthetik",Gummi,,,,mit Schnürung,,,Nike Air Max,,Textil,,Low-Top-Sneaker,,,,,,,,,,,,
New Balance 327 (MS327) white/black,"79,99 €",https://cdn.idealo.com/folder/Product/202083/4/202083438/s1_produktbild_gross/new-balance-327-ms327-white-black.jpg,,Die Angebote können verschiedene Größen beinhalten.,Herren,"Nylon, Veloursleder",,,,,mit Schnürung,,"Sustainable Apparel Coalition, Leather Working Group, Better Cotton Initiative, Fair Labor Association",,,,,Low-Top-Sneaker,,,,beige,Schwarz-Weiß,,,,,,,
Adidas Grand Court Base 00s,"42,39 €",https://cdn.idealo.com/folder/Product/205087/4/205087481/s1_produktbild_gross/adidas-grand-court-base-00s.jpg,,Die Angebote können verschiedene Größen beinhalten.,Unisex,,Gummi,,,,mit Schnürung,,,,Wildleder,Textil,,Low-Top-Sneaker,nein,,,,,,,,,,,
Nike Dunk Low Retro grey,"79,99 €",https://cdn.idealo.com/folder/Product/202316/0/202316094/s1_produktbild_gross/nike-dunk-low-retro-grey.jpg,"Retro-Sneaker, Low-Top-Sneaker",Die Angebote können verschiedene Größen beinhalten.,Herren,,"Gummi, Schaumstoff",,,,mit Schnürung,,,Nike Dunk,Leder,,,,,,,grau,,,,,,,,
Adidas Ozweego,"39,95 €",https://cdn.idealo.com/folder/Product/6692/5/6692591/s1_produktbild_gross/adidas-ozweego.jpg,"Low-Top-Sneaker, Chunky-Sneaker",Die Angebote können verschiedene Größen beinhalten.,,"Mesh, Veloursleder",Gummi,atmungsaktiv,,Adidas ADIPRENE +,mit Schnürung,,,,,Textil,Overlays,,,,,,,,,,,,,
Nike Initiator Women white/photon dust/metallic silver,"69,99 €",https://cdn.idealo.com/folder/Product/204315/4/204315402/s1_produktbild_gross/nike-initiator-women-white-photon-dust-metallic-silver.jpg,,,Damen,,Gummi,"atmungsaktiv, leichtgewichtig, flexibel",,,,,"Certification LEED, Sustainable Apparel Coalition, Leather Working Group, Fair Labor Association, Better Cotton Initiative",,,,,Low-Top-Sneaker,,,,weiß,,,,Zwischensohle: Schaumstoff,,,,
Adidas VS Pace 2.0,"28,30 €",https://cdn.idealo.com/folder/Product/202296/4/202296418/s1_produktbild_gross/adidas-vs-pace-2-0.jpg,,Die Angebote können verschiedene Größen beinhalten.,Herren,,Gummi,,,,mit Schnürung,,"Certification LEED, Leather Working Group, Better Cotton Initiative, Fair Labor Association",,Kunstleder,Textil,Zuglasche,Low-Top-Sneaker,,,,,,,,,,,,
Nike Air VaporMax Plus,"169,99 €",https://cdn.idealo.com/folder/Product/6001/4/6001434/s1_produktbild_gross/nike-air-vapormax-plus.jpg,,Die Angebote können verschiedene Größen beinhalten.,Herren,"Synthetik, Veloursleder",Gummi,,,,mit Schnürung,,,Nike Air Max,,Textil,Zuglasche,Low-Top-Sneaker,,,,,,,,,,,,
