Name,Discounted Price,Original Price,Images,Details,Ingredients,Directions,Warnings,Highlights,Gluten Free,Milk Free
"Nutella & Go Hazelnut and Cocoa Spread with Breadsticks, Snack Cup",,$2.89, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_53eb90b2-7727-4213-8e22-1b5dfb5dc830.jpeg 4x,"Dip into wow with Nutella & GO! You can enjoy a playful break with your favorite spread wherever you are with Nutella & GO! snack packs. No mess. No knife to spread it. Each snack pack is filled with the rich, creamy hazelnut spread that you know and love, plus a serving of crispy breadsticks or pretzels. Beloved worldwide, Nutella is famous for its authentic hazelnut and cocoa taste, and made even more irresistible by its unique creaminess. Dip into delicious and enjoy the delectable experience with a smile, anytime and anywhere.,• Dip into wow with this Nutella & GO! snack pack,• Rich, creamy hazelnut spread with crispy breadsticks for dipping,• Sweet and salty snacking combo for on the go or at home,• Perfect for lunch box or after-school snack for kids,• These holiday treats make great stocking stuffers for kids","Nutella: Sugar, Palm Oil, Hazelnuts, Skim Milk, Cocoa, Lecithin As Emulsifier, Natural Flavor*. Breadsticks: Enriched Flour (wheat Flour, Niacin, Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Palm Oil, Salt, Malt Extract, Baker's Yeast.","For best results, do no not refrigerate.","Contains tree nuts (hazelnuts), milk, soy, wheat (gluten).",,,
Lunchables Turkey & American Cheese Cracker Stackers Kids Lunch Snack Meal Kit & Capri Sun,,$5.69," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7c428a15-240e-48fb-8dd5-74173dd03adf.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_880fde1e-fa25-44fd-a6d8-585598b7b33b.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0939851c-b5e2-42bb-9246-52723d457242.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0832d02b-b71d-47ca-86e4-00c90e5b55ba.jpg 4x","Powering kids forward, our Lunchables Turkey and American Cracker Stackers is the perfect option for a convenient food kids will enjoy any time of day! Our kit features real, epic food including white meat only Oscar Mayer lean turkey, Kraft American pasteurized prepared cheese product, crackers, a juicy Capri Sun Pacific Cooler drink and a delectable Reese’s Peanut Butter Cup for a dessert treat. Great for on the go, each ingredient comes in its own individual compartment in our serving tray, making it easy and fun to build your own unique combinations. Every 8.9 ounce box contains 11 grams of protein and 1 grab of fiber per serving. Keep our convenient single-serve, on-the-go package refrigerated until it's time for school, lunchtime or everyday snacking.,• One 8.9 oz Lunchables Turkey and American Cracker Stackers Meal Kit,• Features real, epic food including white meat only Oscar Mayer lean turkey, Kraft American pasteurized prepared cheese product and crackers,• Includes one Capri Sun Pacific Cooler beverage and one Reese’s Peanut Butter Cup,• Built to be eaten, Lunchables come conveniently packaged for an easy addition to a school lunch or on-the-go snacking,• Each Lunchables kit is a good source of protein packed with 11 grams of protein per serving,• Our Lunchables meal kit brings buildability to life, letting kids assemble their own food,• Keep our convenient on-the-go package refrigerated until it's time for school, mealtime or everyday snacking,• Lunchables Turkey and American 8.9 ounce box contains 11 grams of protein and 1 grab of fiber per serving,• SNAP & EBT eligible food item","Mixed Fruit Flavored Juice Drink Blend From Concentrate (filtered Water; Sugar; Pear, Grape And Orange Juice Concentrates; Monk Fruit Concentrate; Citric Acid; Pineapple And Apple Juice Concentrates; Natural Flavor; Mushroom Extract [to Protect Quality]), Roast White Turkey - Cured - Smoke Flavor Added (white Turkey, Water, Potassium Lactate, Contains Less Than 2% Of Modified Cornstarch, Dextrose, Salt, Carrageenan, Sodium Phosphates, Sodium Diacetate, Potassium Salts, Sodium Ascorbate, Natural And Artificial Flavor, Sodium Nitrite, Smoke Flavor), American Pasteurized Prepared Cheese Product (milk, Water, Milkfat, Milk Protein Concentrate, Whey, Whey Protein Concentrate, Sodium Citrate, Salt, Lactic Acid, Sorbic Acid As A Preservative, Cheese Culture, Enzymes, Oleoresin Paprika [color], Annatto [color], With Sunflower Lecithin Added For Slice Separation), Crackers (enriched Flour [wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid], Palm Oil, Sugar, Salt, Baking Soda, Whey [from Milk), Soy Lecithin, Natural Flavor), Peanut Butter Cup (milk Chocolate [sugar, Cocoa Butter, Chocolate, Nonfat Milk, Milk Fat, Lactose, Lecithin [soy], Pgpr [emulsifier], Peanuts, Sugar, Dextrose, Salt, Tbhq And Citric Acid To Maintain Freshness)",Keep Refrigerated.,"American pasteurized prepared cheese product - contains: milk,crackers - contains: wheat, soy, milk,peanut butter cup - contains: milk, soy, peanuts.",,,
Lunchables Turkey & Cheddar Cheese with Crackers Kids Lunch Snack Kit,,$4.49," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_72177475-b95d-4d1e-b910-8e99bdd81dc1.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c0430045-bd38-4e15-ad00-5012379c8bf3.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_66dc4bb9-9eeb-4b96-9ec3-c6eb8cbe6ff5.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_cc35678b-fc66-476a-b50a-802b1f5b2e65.jpg 4x","Built to be eaten, our Lunchables Turkey and Cheddar Cheese Cracker Stackers Snack Kit tray is the perfect option for a convenient snack kids will enjoy any time of day! Our snack kit features real, epic food including white meat only Oscar Mayer lean turkey, Kraft cheddar pasteurized prepared cheese product and crackers. Great for on the go, each ingredient comes in its own individual compartment in our serving tray, making it easy and fun to build your own unique combinations. Every 3.2 ounce plastic tray contains 13 grams of protein per serving. Always remember to keep your Lunchables turkey and cheddar refrigerated until you are ready to experience a delicious snack.,• One 3.2 oz Lunchables Turkey and Cheddar Cheese Tray,• Features real, epic food including white meat only Oscar Mayer lean turkey, Kraft cheddar pasteurized prepared cheese product and crackers,• Built to be eaten, Lunchables come conveniently packaged for an easy school lunch or on-the-go snacking,• Our Lunchables snack kit brings buildability to life, letting kids assemble their own snack,• Each kids snack kit is a good source of protein packed with 13 grams of protein per serving,• Keep our convenient on-the-go plastic package refrigerated until it's time for school, mealtime or everyday snacking,• SNAP & EBT eligible food item","Roast White Turkey - Cured - Smoke Flavor Added (white Turkey, Water, Potassium Lactate, Contains Less Than 2% Of Modified Cornstarch, Dextrose, Salt, Carrageenan, Sodium Phosphates, Sodium Diacetate, Potassium Salts, Sodium Ascorbate, Natural And Artificial Flavor, Sodium Nitrite, Smoke Flavor); Cheddar Pasteurized Prepared Cheese Product (milk, Water, Milkfat, Milk Protein Concentrate, Whey, Whey Protein Concentrate, Sodium Citrate, Salt, Lactic Acid, Sorbic Acid As A Preservative, Cheese Culture, Oleoresin Paprika [color], Enzymes, Annatto [color], With Sunflower Lecithin Added For Slice Separation), Crackers (enriched Flour [wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid], Vegetable Oil Shortening (canola Oil And/or Fractionated Palm Oil, And/or Soybean Oil, And/or Palm Oil), Sugar, Contains Less Than 2% Of Salt, Baking Soda, Soy Lecithin, Natural Type Flavor),",Keep Refrigerated.,"Contains: milk; Contains: wheat, soy.",,,
"Bumble Bee Salad Kit, Chicken, Original",$2.69,$4.19, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3e52a19c-d359-44df-a399-4f82e82750be.jpeg 4x,"Salad Kit, Chicken,What's Inside: 6 - Buttery Crackers. 1 - Handy Spoon. 1 - Bumble Bee Chicken Salad. Bee Well for Life - Est. 1899. Mmm - So snackalicious. Feeling hungry? Craving protein? In a rush? We gotcha covered. Bumble Bee Snack on the Run! kits have it all. Tasty protein (Chicken salad is a good source of protein. Please see back panel for full nutritional facts). Great flavors. Crisp crackers. And a handy spoon for instant gratification. Already mixed - Ready-to-go. Open up and say yum. Stack 'em. Snack 'em. Love 'em. It's what's inside that counts. Premium chicken. So tender. So chunky. bumblebee.com. For inquiries concerning product, include number shown on carton and can end.","Chicken Salad - Cooked Chicken, Light Mayonnaise Dressing (water, Soybean Oil, Distilled Vinegar, Modified Foo Starch, Egg Yolks, Salt), Celery, Sugar, Water Chestnut, Textured Soy Flour, Contains 2% Or Less Water, Glucono Delta Lactone, Onion, Salt,crackers - Enriched Flour (wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate (b1), Riboflavin (b2), Folic Acid), Canola Oil, Sugar, Contains 2% Or Less Salt, Corn Syrup, Baking Soda, Butter (cream, Natural Flavor), Soy Lecithin, Monocalcium Phosphate",Refrigerate canned product in separate container after opening.,"Chicken Salad: Contains: egg, soy. Crackers: Contains: milk, soy, wheat.",,,
Hillshire Farm Snacking Small Plates Genoa Salame and White Cheddar Cheese,,$5.39, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6d7fa49c-e078-4388-a1fd-b738053f850f.jpeg 4x,"Hillshire Snacking Small Plates feature mild Genoa salami, natural white cheddar cheese, and crisp toasted rounds. Try pairing these snack plates with a fruity Bellini to enhance the flavors of the mild sliced salami and sharp white cheddar cheese slices. Perfectly portioned for snacking on the go, our Genoa Salami Small Plate has 16 grams of protein in each ready to eat serving., One 2.76 oz Small Plates, Genoa Salami Deli Lunch Meat and White Cheddar Cheese, Features mild Genoa salami, sharp white cheddar cheese, and crisp toasted rounds, Chef-inspired ingredients and flavors for an elevated snacking experience, Excellent source of protein - 16 grams per serving, Ready-to-eat straight from the refrigerator, Single serving for the perfect snack","Genoa Salame Ingredients: Pork, Salt, 2% Or Less Of: Dextrose, Spices, Rosemary Extract, Sodium Ascorbate, Granulated Garlic, Lactic Acid Starter Culture, Sodium Nitrite, Natural* White Cheddar Cheese Ingredients: Cultured Pasteurized Milk, Salt, Enzymes, Toasted Rounds Ingredients: Wheat Flour, Sunflower Oil, Sea Salt, Isolated Oat Product, Salt, Yeast, Dextrose, Distilled Vinegar, Rosemary Extract (to Preserve Freshness), Ascorbic Acid (antioxidant), *minimally Processed",Unspecified: Not Applicable.,"Contains: milk.,contains: wheat.",,,
Lunchables Ham & American Cheese Cracker Stackers Kids Lunch Snack Meal Kit with Capri Sun,,$5.69," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9a2ae2b2-3107-421c-b158-578780de6bc7.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_43c6a01d-b970-480e-9f57-7c053e2404fb.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c55f8f23-c89a-4347-b867-4297b479f83b.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_91d16a95-1532-48db-8417-00ec785fbbfc.jpg 4x","Powering kids forward, our Lunchables Ham and American Cracker Stacker Kit is the perfect option for a convenient meal kids will enjoy any time of day! Our lunch kit features real, epic food including water added Oscar Mayer lean ham, Kraft American pasteurized prepared cheese product, crackers, a juicy Capri Sun Fruit Punch drink and a delectable chocolate chip cookie for a dessert treat. Great for on the go, each ingredient comes in its own individual compartment in our serving tray, making it easy and fun to build your own unique combinations. Every 9.1 ounce box contains 10 grams of protein and 1 gram of fiber per serving. Keep our convenient single-serve, on-the-go package refrigerated until it's time for school, lunchtime or everyday snacking.,• One 9.1 oz box Lunchables Ham and American Cheese Cracker Stackers Meal Kit,• Features real, epic food including water added Oscar Mayer lean ham, Kraft American pasteurized prepared cheese product and crackers,• Includes one Capri Sun Fruit Punch beverage and chocolate chip cookies,• Built to be eaten, Lunchables come conveniently packaged for an easy school lunch or on-the-go snacking,• Each kids meal kit is a good source of protein packed with 10 grams of protein and 1 gram of fiber per serving,• Our Lunchables meal kit brings buildability to life, letting kids assemble their own meal,• Keep our convenient on-the-go package refrigerated until it's time for school, mealtime or everyday snacking,• SNAP & EBT eligible food item","Fruit Punch Flavored Juice Drink Blend From Concentrate (filtered Water, Sugar, Pear, Grape And Orange Juice Concentrates, Citric Acid, Monk Fruit Concentrate, Apple And Pineapple Juice Concentrates, Natural Flavor, Mushroom Extract [to Protect Quality]), Cooked Ham - Water Added - Chopped And Formed - Smoke Flavor Added (ham, Water, Contains Less Than 2% Of Sodium Lactate, Salt, Modified Cornstarch, Potassium Salts, Sodium Phosphates, Sugar, Sodium Diacetate, Sodium Ascorbate, Sodium Nitrite, Flavor, Smoke Flavor), Chocolate Chip Cookie (unbleached Enriched Flour [wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid], Semisweet Chocolate Chips [sugar, Chocolate, Cocoa Butter, Dextrose, Milk, Soy Lecithin, Vanillin], Sugar, Canola Oil, Palm Oil, High Fructose Corn Syrup, Leavening [baking Soda, Ammonium Phosphate], Salt, Natural Flavor), American Pasteurized Prepared Cheese Product (milk, Water, Milkfat, Milk Protein Concentrate, Whey, Whey Protein Concentrate, Sodium Citrate, Salt, Lactic Acid, Sorbic Acid As A Preservative, Cheese Culture, Enzymes, Oleoresin Paprika [color], Annatto [color], With Sunflower Lecithin Added For Slice Separation), Crackers (enriched Flour [wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid], Vegetable Oil Shortening [canola Oil And/or Fractionated Palm Oil, And/or Soybean Oil, And/or Palm Oil], Sugar, Contains Less Than 2% Of Salt, Baking Soda, Soy Lecithin, Natural Type Flavor)",Keep Refrigerated.,"Chocolate chip cookie - contains: wheat, milk, soy,american pasteurized prepared cheese product - contains: milk,crackers - contains: wheat, soy.",,,
"Oscar Mayer Oven Roasted Turkey Breast Sliced Lunch Meat, for a Low Carb Lifestyle",,$9.59," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_82f604ff-aa36-4c1d-99e6-49e942dd0295.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8c2aba70-1dbf-475f-917a-77771a787668.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_68339026-ef2b-4e25-a7e5-68fbc3aa6a5e.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0732b3f7-0d59-4711-8cd2-34de9cf3dc4e.jpg 4x","Make a delicious deli sandwich at home with Oscar Mayer Deli Fresh Oven Roasted Turkey Breast Sliced Lunch Meat. Our quality turkey deli meat is made with no artificial preservatives and no added nitrates or nitrites. Fully cooked and ready to eat, our turkey slices have a rich, classic turkey flavor that's perfect for a sandwich, salad, or cheese and crackers. Oscar Mayer lunch meat is great for those following a low carb lifestyle. Keep our 9 ounce package of deli turkey refrigerated to maintain freshness. If you enjoy our oven roasted deli turkey, be sure to try the other varieties of Oscar Mayer turkey lunch meat.,• One 9 oz. plastic tray of Oscar Mayer Deli Fresh Oven Roasted Turkey Breast Sliced Lunch Meat,• Oscar Mayer Deli Fresh Oven Roasted Turkey Breast Sliced Lunch Meat is made from turkey,• Sliced oven roasted turkey breast,• Ideal for those following a low carb lifestyle,• Our sliced turkey has a deliciously rich, classic turkey flavor,• Oven roasted turkey slices are fully cooked and ready to eat,• Add a few slices of oven roasted turkey lunch meat to sandwiches, wraps, deli platters, salads, or cheese and crackers,• So many ways to keep it Oscar with our wide range of cold cuts, bacons, hot dogs and meat snack plates,• SNAP & EBT eligible food item","Turkey Breast, Water, Modified Cornstarch, Contains Less Than 2% Of Vinegar, Salt, Cultured Dextrose*, Sugar, Sodium Phosphates, Carrageenan, Caramel Color.","Keep Refrigerated.,Once Opened, Use Within 7 Days.",Do not microwave in package.,Gluten Free,,
Lunchables Ham & Cheddar Cheese Cracker Stackers Snack Kit Kids Lunch with Vanilla Cookies,,$4.49," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9137def1-409b-47c6-9c38-dea7eff9cb7c.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e34f0608-686f-4e94-8b5c-9699a8f6aafc.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_67816b26-08d7-42b7-ab8d-5bba3f83a2db.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e83eafb7-5ebb-4c5d-988c-13f7e68e0692.jpg 4x","Built to be eaten, our Lunchables Ham and Cheddar Cracker Stackers Snack Kit tray is the perfect option for a convenient snack kids will enjoy any time of day! Our snack kit features real, epic food including water added Oscar Mayer lean ham, Kraft cheddar pasteurized cheese product and crackers. Great for on the go, each ingredient comes in its own individual compartment in our serving tray, making it easy and fun to build your own unique combinations. Enjoy sweet vanilla creme cookies for a dessert treat. Every 3.5 ounce plastic tray contains 11 grams of protein per serving. Always remember to keep your Lunchables ham and cheddar refrigerated until you are ready to experience a delicious snack.,• One 3.5 oz Lunchables Ham and Cheddar Cheese Cracker Stackers Tray,• Features real, epic food including water added Oscar Mayer lean ham, Kraft cheddar pasteurized cheese product and crackers,• Includes vanilla creme cookies,• Built to be eaten, Lunchables come conveniently packaged for an easy school lunch or on-the-go snacking,• Our Lunchables snack kit brings buildability to life, letting kids assemble their own snack,• Each kids snack kit is a good source of protein with 11 grams of protein per serving,• Keep our convenient on-the-go plastic package refrigerated until it's time for school, mealtime or everyday snacking,• SNAP & EBT eligible food item","Vanilla Creme Sandwich Cookie (unbleached Enriched Flour [wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate (vitamin B1), Riboflavin (vitamin B2), Folic Acid], Sugar, Soybean Oil, Palm Oil, High Fructose Corn Syrup, Cornstarch, Salt, Leavening [sodium Bicarbonate, Monocalcium Phosphate], Natural And Artificial Flavor, Soy Lecithin [emulsifier], Beta Carotene [for Color]), Contains: Wheat, Soy; Cooked Ham-water Added-chopped And Formed - Smoke Flavor Added (ham, Water, Contains Less Than 2% Of Sodium Lactate, Salt, Modified Cornstarch, Potassium Salts, Sodium Phosphates, Sugar, Sodium Diacetate, Sodium Ascorbate, Sodium Nitrite, Flavor, Smoke Flavor); Cheddar Pasteurized Prepared Cheese Product (milk, Water, Milkfat, Milk Protein Concentrate, Whey, Whey Protein Concentrate, Sodium Citrate, Salt, Lactic Acid, Sorbic Acid As A Preservative, Cheese Culture, Oleoresin Paprika [color], Enzymes, Annatto [color], With Sunflower Lecithin Added For Slice Separation), Contains: Milk; Crackers (enriched Flour [wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid], Palm Oil, Sugar, Salt, Baking Soda, Whey [from Milk], Soy Lecithin, Natural Flavor),",Keep Refrigerated.,"Contains: wheat, soy, milk.",,,
Hillshire Farm Snacking Small Plates Italian Dry Salame and Gouda Cheese,,$5.39," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_862c2bbb-c2f4-428c-b275-151b5afa7aec.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8e8d7cff-df9d-4645-9dee-aa3f9393e582.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_51dd6116-9265-4080-833a-3e262f71191c.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e9f6f813-6dcc-497e-ad45-60d1f4175357.jpg 4x","Hillshire Snacking Small Plates for a grown up twist on snack time. Our Italian dry salami snack pack features Italian dry sliced salami, natural Gouda cheese slices, and crisp toasted rounds. Perfectly portioned for snacking on the go, our Italian Dry Salami Small Plate has 16 grams of protein in each ready to eat serving., One 2.76 oz Small Plates, Italian Dry Salame Deli Lunch Meat and Gouda Cheese, Features Italian dry salame, creamy Gouda cheese, and crisp toasted rounds, Chef-inspired ingredients and flavors for an elevated snacking experience, Excellent source of protein - 16 grams per serving, Ready-to-eat straight from the refrigerator, Single serving for the perfect snack","Italian Dry Salame - Pork, Dextrose, Salt, Contains 2% Or Less Of: Spices, Wine, Rosemary Extract, Lactic Acid Starter Culture, Sodium Ascorbate, Granulated Garlic, Sodium Nitrite. Natural* Gouda Cheese Cultured Pasteurized Milk, Salt, Enzymes, Annatto Color. Toasted Rounds - Wheat Flour, Sunflower Oil, Sea Salt, Isolated Oat Product, Salt, Yeast, Dextrose, Distilled Vinegar, Rosemary Extract (to Preserve Freshness), Ascorbic Acid (antioxidant).",Unspecified: Not applicable.,Natural* gouda cheese - contains: milk toasted rounds - contains: wheat * minimally processed. No artificial ingredients.,,,
Armour LunchMaker Ham,,$2.29," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_be8003b6-36ed-49a8-9840-17046d7ee976.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6e11561c-a944-4751-8176-0272e881e8a2.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c4f2a0c7-ea93-4255-9a18-62b1c7adde32.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b6a692b1-8a0c-40eb-b509-8d73e90a0c08.png 4x","• Includes one 2.4 oz package of Armour LunchMakers Ham and Cheese Portable Meal Kit with Crunch Bar,• The ready to eat packaged meals are ideal for school lunches or on the go snacking,• Lunch snacks include ham lunch meat, American cheese, crackers and Crunch Bar,• Armour LunchMakers provides a delicious meal option that is a good source of protein and calcium,• One LunchMakers lunch kit for kids serves one person,Armour LunchMakers Ham and Cheese Portable Meal Kit with Crunch Bar includes everything you need for a fun snack at home or on the go. These lunch snack meals include ham deli meat, American cheese slices and crackers for delicious sandwich stacking, plus a Crunch Bar serves as a scrumptious dessert. These Armour Lunch cheese and crackers snacks provide a delicious meal or snacktime option that is a good source of both protein and calcium. LunchMakers to go snacks require no meal preparation, making them ideal for kids, whether they're at home, at school lunch or on the go.","Cooked Ham Water Added Chopped And Formed: Cured With Water, Salt, Dextrose, Contains 2% Or Less Of Potassium Lactate, Sodium Diacetate, Sodium Lactate, Modified Food Starch, Sodium Phosphates, Sodium Erythorbate, Sodium Nitrite, Light Pasteurized Process American Cheese: Milk, Water, Milk Protein Concentrate*, Whey*, Modified Food Starch*, Sodium Citrate, Salt, Lactic Acid, Potassium Citrate, Cheese Culture, Sorbic Acid (preservative), Enzymes, Color Added, Buttercrisp Crackers: Enriched Flour (wheat Flour, Niacin, Reduced Iron, Vitamin B1 [thiamine Mononitrate], Vitamin B2 [riboflavin], Folic Acid), Canola Oil With Tbhq For Freshness, Sugar, Contains 2% Or Less Of Salt, Corn Syrup, Leavening (baking Soda, Sodium Acid Pyrophosphate, Monocalcium Phosphate), Butter (cream, Salt), Soy Lecithin, Crunch Bar: Milk Chocolate (sugar, Chocolate, Cocoa Butter, Nonfat Milk, Milkfat, Lactose, Soy Lecithin, Natural Flavor), Crisped Rice (rice Flour, Sugar, Barley Malt, Salt), *ingredient Not In Regular Pasteurized Process American Cheese",STORE AND USE PER PACKAGE INSTRUCTIONS,"Contains: wheat, milk, soy. Nestle crunch bar: milk chocolate (sugar, chocolate, cocoa butter, nonfat milk, milkfat, lactose, soy lecithin, vanillin - an artificial flavor), crisped rice (rice flour, sugar, barley malt, salt). May contain peanuts, nuts and wheat. Contains: milk, peanuts, soy, tree nuts, wheat.",,,
